word,frequency,happiness_score
poetry,1,6.4
ago,1,4.88
education,1,6.88
broken,1,3.02
administration,1,4.84
choose,1,5.94
option,1,5.94
bedroom,1,6.8
wanted,1,5.08
parts,1,5.24
hiding,1,4.34
valley,1,6.26
strange,1,4.36
urine,1,3.47
selling,1,5.76
lasts,1,5.98
shift,1,5.26
talent,1,7.06
ohhh,1,5.08
sentence,1,5.22
gets,1,5.84
fled,1,3.98
action,1,5.98
rape,1,1.44
andrew,1,5.22
efforts,1,5.6
minor,1,4.66
environment,1,6.22
knowledge,1,7.24
kitchen,1,6.04
sends,1,5.92
diet,1,4.62
blues,1,4.56
gave,1,6.26
younger,1,6.4
meeting,1,5.46
seeds,1,6.39
creating,1,6.72
creature,1,5.3
avatar,1,6.0
image,1,5.94
hangover,1,2.92
bump,1,4.67
hit,1,4.58
statistics,1,5.04
plays,1,6.72
successful,1,8.16
argues,1,3.0
pour,1,5.18
gap,1,4.92
fills,1,5.51
size,1,5.04
lived,1,5.82
authors,1,6.22
farewell,1,3.86
georgia,1,5.44
routine,1,5.1
covering,1,5.36
recorded,1,5.58
preserved,1,6.1
cara,1,5.58
voted,1,6.12
ride,1,6.14
tyler,1,5.28
steven,1,5.5
perspective,1,6.04
details,1,5.74
soldier,1,5.12
tony,1,5.52
access,1,5.88
offers,1,6.48
tied,1,4.4
pot,1,5.58
limited,1,4.22
naked,1,5.9
roses,1,7.52
designated,1,5.64
russians,1,5.2
chess,1,6.3
competing,1,5.02
depression,1,1.98
grandfather,1,7.38
memorial,1,4.96
holocaust,1,2.22
account,1,5.5
brand,1,5.58
destroy,1,2.52
opportunity,1,7.14
marked,1,4.92
fun,1,7.96
restored,1,6.48
checks,1,5.84
continuing,1,5.76
rent,1,3.84
meet,1,6.38
soviet,1,4.64
birth,1,7.12
finish,1,6.72
migration,1,5.7
bird,1,6.64
began,1,5.98
affecting,1,5.31
slept,1,6.62
ate,1,6.18
decided,1,5.94
strict,1,4.13
ministers,1,5.4
dependence,1,4.67
mutual,1,6.14
taken,1,4.28
feet,1,5.58
match,1,5.96
perfect,1,7.42
someday,1,5.28
payments,1,5.76
suburban,1,5.58
abuse,1,1.88
reported,1,5.12
possible,1,6.24
marry,1,6.98
knew,1,5.94
harmony,1,7.0
sealed,1,5.1
arguments,1,3.04
breaking,1,3.98
birthday,1,7.78
late,1,3.46
loneliness,1,2.66
catherine,1,5.54
prince,1,6.44
towns,1,6.06
album,1,6.6
vienna,1,5.92
complex,1,5.04
pacific,1,6.16
promised,1,6.68
harbor,1,6.06
grammy,1,6.24
sky,1,7.76
tradition,1,6.4
ground,1,5.26
math,1,5.46
press,1,5.36
signed,1,5.72
critics,1,3.8
weak,1,2.84
philharmonic,1,5.88
happy,1,8.3
farms,1,6.36
reverse,1,4.5
wind,1,5.8
capital,1,5.92
massive,1,5.34
launch,1,6.4
enemy,1,2.64
stuff,1,5.58
row,1,4.94
cop,1,4.44
ended,1,3.84
rally,1,5.7
building,1,5.94
push,1,4.44
named,1,5.58
actor,1,6.2
band,1,6.42
tales,1,6.5
investigations,1,4.52
potentially,1,5.96
mourns,1,2.86
paintings,1,6.9
doubts,1,3.3
pro,1,5.88
given,1,5.74
fed,1,5.78
gym,1,5.96
storage,1,5.44
offices,1,5.0
shut,1,3.56
countries,1,5.68
dice,1,5.62
se,1,4.88
praise,1,7.52
partner,1,6.7
edge,1,4.98
heavily,1,4.74
ebay,1,5.78
nightmares,1,2.56
groups,1,5.66
embrace,1,6.22
endowment,1,5.82
tap,1,5.4
february,1,5.08
summit,1,5.52
supporting,1,6.48
database,1,5.68
stopped,1,3.86
fatal,1,1.8
francisco,1,5.6
attacked,1,2.52
college,1,6.94
lying,1,2.58
intimate,1,6.76
raw,1,4.24
rural,1,5.78
surviving,1,6.0
pressure,1,3.66
tool,1,5.26
blowing,1,5.18
muscle,1,6.06
mind,1,6.04
bull,1,4.62
broadway,1,6.36
amazon,1,6.8
pardon,1,5.8
ex,1,4.18
bak,1,4.76
lee,1,5.3
ties,1,5.24
difficulties,1,3.08
missed,1,3.68
tragic,1,2.34
eaten,1,6.5
floor,1,5.16
asking,1,5.26
think,1,6.2
imagine,1,7.18
smaller,1,4.74
recover,1,6.64
natural,1,6.56
virtual,1,5.62
cup,1,5.66
chasing,1,4.7
true,1,7.08
apartment,1,5.6
dreamed,1,6.87
reach,1,5.74
essence,1,6.1
afghanistan,1,3.56
striking,1,4.7
crying,1,2.04
sympathy,1,5.36
rev,1,5.1
twist,1,5.21
older,1,4.74
vulnerable,1,3.34
surrender,1,4.08
instructions,1,5.46
offering,1,6.32
fear,1,2.32
pioneer,1,6.28
layer,1,5.64
everyday,1,5.74
waking,1,5.72
mental,1,4.8
improve,1,6.44
arabia,1,5.4
offense,1,3.56
rights,1,6.48
es,1,4.8
angels,1,7.66
hall,1,5.36
terry,1,5.42
buses,1,5.02
golf,1,5.56
traveled,1,6.42
arrived,1,6.14
saved,1,6.88
boxing,1,4.56
snowed,1,5.62
extra,1,6.52
kennedy,1,5.58
offensive,1,3.02
shoes,1,6.06
por,1,4.76
wells,1,5.48
gain,1,6.4
patrick,1,5.52
alabama,1,5.48
boot,1,5.0
wear,1,5.94
marine,1,5.72
assumptions,1,4.82
question,1,4.98
viewers,1,5.86
letting,1,5.18
youth,1,6.62
resolve,1,6.32
mass,1,5.44
survivors,1,6.66
motive,1,5.35
charges,1,3.94
indicted,1,3.6
raised,1,6.56
banned,1,2.88
looking,1,5.94
symbol,1,5.64
richmond,1,5.46
harder,1,4.44
proved,1,6.26
zero,1,3.44
african,1,5.66
salt,1,5.68
nurse,1,6.2
wrap,1,5.72
electrical,1,5.54
reports,1,5.0
term,1,4.94
switch,1,5.02
produces,1,6.22
door,1,5.38
mourn,1,2.72
toast,1,6.86
virgin,1,6.0
magic,1,6.8
transportation,1,6.16
driven,1,5.96
aim,1,5.86
deserved,1,6.08
planet,1,6.52
treasure,1,7.4
tennis,1,6.4
comfortable,1,7.32
francis,1,5.32
ill,1,2.42
territory,1,5.12
enters,1,6.1
discuss,1,5.96
visits,1,6.4
albums,1,6.92
secretary,1,5.42
nerves,1,4.47
remote,1,5.48
boots,1,6.08
belief,1,6.08
maryland,1,5.84
massachusetts,1,5.58
oregon,1,6.0
cutting,1,4.08
cost,1,4.1
rates,1,4.84
prices,1,4.38
makes,1,5.56
problems,1,2.92
responsible,1,5.8
spread,1,5.48
netflix,1,5.96
providing,1,6.16
prayer,1,6.48
challenge,1,5.78
happiness,1,8.44
negative,1,2.42
jack,1,5.5
parent,1,7.04
cheap,1,5.48
airport,1,5.88
block,1,4.02
draws,1,6.18
require,1,4.44
worried,1,2.42
dim,1,3.9
positions,1,5.52
awful,1,2.92
requires,1,4.68
scheme,1,4.82
islands,1,6.58
dia,1,5.2
fail,1,1.96
au,1,4.92
fabulous,1,7.38
privacy,1,5.88
danger,1,2.82
cooked,1,6.54
beloved,1,7.34
gov,1,4.62
plot,1,5.26
rise,1,6.36
central,1,5.6
mayor,1,5.26
oakland,1,5.4
harry,1,5.24
trials,1,4.74
beans,1,6.0
worship,1,6.32
laurie,1,5.48
starring,1,6.06
gin,1,5.9
nuevo,1,5.68
literary,1,6.46
satellite,1,5.72
sending,1,5.8
theological,1,5.55
sons,1,6.78
sense,1,6.3
smiling,1,7.58
knows,1,6.12
tiny,1,4.9
glorious,1,7.74
stranger,1,4.16
nightmare,1,2.32
novelist,1,6.42
brazilian,1,6.06
silent,1,5.12
parties,1,7.42
agenda,1,4.94
bake,1,6.68
psychiatric,1,4.24
upper,1,5.82
opens,1,5.92
indian,1,6.26
liked,1,7.16
age,1,4.88
worse,1,2.7
governor,1,5.14
facts,1,6.06
michigan,1,5.32
property,1,5.86
soon,1,6.34
creation,1,6.78
adventure,1,7.3
copyright,1,5.14
remains,1,4.42
leadership,1,6.5
hospitals,1,3.54
light,1,6.4
frustration,1,2.34
crowded,1,3.71
bags,1,5.58
didn,1,4.8
blanket,1,6.54
considered,1,5.9
shed,1,5.22
ghost,1,3.64
leg,1,5.62
rain,1,6.36
pounds,1,5.3
river,1,6.68
proposal,1,6.6
pocket,1,5.7
shattered,1,3.6
cream,1,6.8
babies,1,7.46
trips,1,6.98
agreed,1,6.98
nations,1,6.0
exports,1,5.94
cozy,1,6.94
havoc,1,3.04
presents,1,7.2
abandoned,1,2.54
cheese,1,6.88
treasury,1,5.74
championship,1,7.32
drama,1,5.22
india,1,6.42
companion,1,7.24
cake,1,7.58
heat,1,4.16
