word,frequency,happiness_score
dance,3,7.36
child,3,7.24
head,3,5.96
opposition,3,3.48
friends,3,7.92
murder,3,1.48
suspect,3,3.14
dark,3,3.82
magazine,3,5.9
wins,3,7.44
feeling,3,5.7
rule,3,4.52
area,3,5.44
passes,3,5.44
defense,3,5.18
manhattan,3,5.7
job,3,5.96
page,3,5.62
marriage,3,6.7
missing,3,2.98
place,3,5.56
needed,3,5.46
come,3,5.82
blood,3,3.82
john,3,5.08
past,3,4.62
station,3,5.16
strikes,3,4.02
sanctions,3,3.86
data,3,5.7
square,3,5.48
address,3,5.6
bear,3,5.86
start,3,6.1
pictures,3,7.06
fashion,3,6.36
brought,3,5.9
justice,3,6.74
political,3,4.12
daughter,3,7.04
using,3,5.0
forever,3,6.46
electric,3,5.66
goals,2,6.98
bar,2,5.82
boom,2,5.12
appeal,2,5.62
hoped,2,6.28
diary,2,5.94
inflation,2,2.64
pizza,2,7.16
racist,2,2.08
female,2,6.88
labor,2,4.22
taiwan,2,5.36
grand,2,7.06
citizen,2,5.92
threat,2,2.36
doesn,2,4.71
soldiers,2,5.38
worker,2,5.56
film,2,6.56
states,2,5.64
started,2,6.0
blue,2,5.66
monday,2,4.3
detailed,2,5.72
aimed,2,5.52
royal,2,5.82
arrive,2,6.32
crash,2,2.6
bus,2,5.1
injured,2,2.22
chance,2,6.44
yorkers,2,5.42
harris,2,4.84
tv,2,6.7
concerns,2,4.06
darkness,2,3.82
lights,2,6.32
fighting,2,2.76
finally,2,5.58
legal,2,5.18
el,2,4.8
pick,2,5.6
voting,2,6.02
strength,2,7.4
son,2,7.12
target,2,5.36
unit,2,5.5
louis,2,5.14
kids,2,7.38
nets,2,5.22
coalition,2,5.46
republican,2,4.42
pound,2,4.98
guns,2,2.98
trying,2,5.78
camp,2,6.26
green,2,6.78
sees,2,5.76
nature,2,7.24
celebrity,2,6.02
wild,2,5.5
plant,2,6.74
tips,2,6.28
drive,2,6.08
built,2,6.24
falling,2,3.28
violence,2,1.86
bigger,2,6.38
important,2,6.32
mexico,2,5.84
longer,2,5.18
heritage,2,6.68
cut,2,3.42
ok,2,5.94
department,2,5.26
future,2,6.76
island,2,6.78
boat,2,6.08
eat,2,7.04
mouse,2,5.36
lines,2,5.26
felt,2,5.48
minds,2,6.16
markets,2,6.1
families,2,7.54
celebrating,2,8.0
frank,2,5.94
sleep,2,7.16
bring,2,5.3
help,2,6.08
mothers,2,7.36
musical,2,7.22
asian,2,6.32
cap,2,5.56
taxes,2,2.7
corporate,2,4.7
jesus,2,6.52
breaks,2,4.42
pass,2,5.9
bitter,2,3.0
positive,2,7.8
comfort,2,7.5
narrative,2,6.16
pitch,2,5.62
season,2,5.96
eggs,2,6.02
wait,2,3.74
german,2,5.34
tried,2,5.48
cathedral,2,6.14
walk,2,6.02
waves,2,6.4
safety,2,6.18
sought,2,5.06
wish,2,6.92
league,2,5.8
word,2,5.56
songs,2,6.96
learn,2,6.7
stage,2,5.72
arts,2,6.58
wall,2,4.98
subway,2,5.32
hero,2,7.8
spirits,2,6.24
failed,2,1.84
actress,2,6.4
fraud,2,2.3
plead,2,3.67
killer,2,2.42
oscar,2,6.1
speech,2,5.32
talking,2,6.46
nuclear,2,3.28
companies,2,5.26
exposed,2,4.2
rate,2,5.34
plans,2,6.2
testimony,2,5.12
influence,2,5.64
die,2,1.74
voice,2,5.76
caught,2,3.54
heart,2,7.22
guy,2,5.92
win,2,8.12
drivers,2,5.24
vacation,2,7.92
kentucky,2,5.8
homeless,2,2.16
communities,2,5.98
hospital,2,3.5
real,2,6.78
adult,2,6.14
mother,2,7.68
miracle,2,7.64
performed,2,6.36
loss,2,2.56
orlando,2,5.92
nashville,2,5.82
farmers,2,6.34
turned,2,5.24
night,2,6.22
left,2,4.64
brave,2,7.02
warming,2,5.58
pants,2,5.92
asks,2,5.24
speak,2,5.9
business,2,5.94
atlanta,2,5.3
empire,2,5.28
anger,2,2.3
struggling,2,2.72
pills,2,4.1
ban,2,2.66
save,2,6.54
owner,2,6.1
glass,2,5.76
force,2,4.0
academic,2,5.96
freezing,2,3.22
jobs,2,6.32
baseball,2,5.84
lonely,2,2.86
living,2,6.68
drops,2,4.96
bell,2,5.58
means,2,5.64
swift,2,5.94
taylor,2,5.52
keeping,2,6.1
strategy,2,6.24
democracy,2,6.36
beginning,2,6.04
write,2,5.8
disney,2,6.62
continues,2,5.66
returning,2,5.58
happened,2,5.02
airlines,2,5.6
stock,2,5.8
ideas,2,7.16
architect,2,6.36
release,2,6.1
japan,2,6.0
thank,2,7.4
musicians,2,7.26
young,2,6.82
puts,2,5.1
normal,2,5.98
steps,2,5.38
freedom,2,7.9
media,2,5.62
moment,2,5.68
draft,2,5.02
daily,2,5.4
beat,2,4.2
cowboys,2,6.22
paperbacks,2,6.48
small,2,4.52
canceled,2,3.24
era,2,5.56
center,2,5.3
gone,2,3.42
deadly,2,2.9
awards,2,7.18
response,2,5.68
pieces,2,4.76
expect,2,5.9
tyson,2,4.96
quiz,2,5.3
news,2,5.6
variety,2,6.78
likely,2,6.44
prep,2,5.5
sexual,2,6.2
consequences,2,4.02
december,2,6.34
beautiful,2,7.92
view,2,5.72
midnight,2,6.18
ball,2,6.08
monster,2,3.46
cinema,2,6.94
turning,2,5.32
mall,2,5.9
clean,2,6.9
makers,2,5.76
stocks,2,5.36
national,2,5.98
old,2,3.98
style,2,6.76
saudi,2,4.58
appeals,2,5.58
google,2,7.2
resort,2,7.1
turkish,2,5.56
arms,2,5.38
