pub_date,headline,happs_score
2019-05-31,"North Korea Executed and Purged Top Nuclear Negotiators, South Korean Report Says",5.174
2019-05-28,"Attacks by Extremists on Afghan Schools Triple, Report Says",4.836666666666667
2019-05-14,New Report Shows How a Pro-Iran Group Spread Fake News Online,5.42
2019-05-10,"Prince Charles Misused Influence to Shield Cleric, Abuse Inquiry Reports",4.9475
2019-05-09,Pope Issues First Rules for Catholic Church Worldwide to Report Sex Abuse,5.185
2019-05-07,Myanmar Releases Reuters Journalists Jailed for Reporting on Rohingya Crackdown,5.373333333333334
2019-04-24,"U.S. and Afghan Forces Killed More Civilians Than Taliban Did, Report Finds",4.784999999999999
2019-04-10,"Global Executions Fall 31 Percent, Driven by Iran, Report Finds",5.28
2019-04-04,"Ethiopian Airlines Pilots Followed Boeing’s Safety Procedures Before Crash, Report Shows",5.499999999999999
2019-04-03,"Praise for the Mueller Report, From an Unlikely Source: Oleg Deripaska",5.203333333333333
2019-03-31,Report Says Algeria’s President Is Preparing to Resign,5.303333333333333
2019-03-28,Tunisia Commission Releases Final Report on 50 Years of Dictatorship,5.325714285714285
2019-03-25,Russians Hope Mueller Report Opens Door to Improved U.S. Ties,5.715
2019-03-20,Russia Changes Economic Reporting. The Results Improve.,5.359999999999999
2019-03-20,Report Says U.S. Airstrikes Have Killed 14 Civilians in Somalia,4.76
2019-03-10,13 Civilians Reported Killed in U.S. Airstrikes in Afghanistan,4.4799999999999995
2019-03-05,Clash Over Israeli Settlements Has a New Front: A Delayed U.N. Report,5.015000000000001
2019-03-05,"South Asia Is Smothered in Toxic Air, Report Finds",5.626666666666666
2019-03-05,Denmark’s ‘Pervasive Rape Culture’ Is Detailed in New Report,4.903333333333333
2019-02-28,"Trump Declares ISIS ‘100%’ Defeated in Syria. ‘100% Not True,’ Ground Reports Say.",4.609999999999999
2019-02-28,"Fabien Clain, Prominent French Voice of ISIS, Is Reported Killed in Syria",5.035
2019-02-24,"Amid Afghan Peace Talks, U.N. Reports Record Civilian Deaths in 2018",5.214285714285714
2019-02-21,"Social Media Posts Reveal NATO Soldiers’ Activities, Report Says",5.4399999999999995
2019-02-19,"Murders of Religious Minorities in India Go Unpunished, Report Finds",5.508571428571428
2019-02-14,Sweden Investigates Its Ambassador to China After Report of Secret Talks to Free Publisher,5.507692307692308
