abstract,document_type,_id,keywords,news_desk,print_page,print_section,pub_date,section_name,snippet,source,subsection_name,type_of_material,uri,web_url,word_count,byline.original,headline.main,headline.kicker,headline.print_headline,multimedia.caption,multimedia.credit,multimedia.default.url,multimedia.default.height,multimedia.default.width,multimedia.thumbnail.url,multimedia.thumbnail.height,multimedia.thumbnail.width,headline,text
Problems at the Shrewsbury and Telford Hospital Trust over 40 years led to what some say may be the biggest maternity scandal in the history of the National Health Service.,article,nyt://article/a9726063-dd72-5a99-b0c5-9e04e2e57855,"[{'name': 'Subject', 'value': 'Malpractice', 'rank': 1}, {'name': 'Organization', 'value': 'National Health Service', 'rank': 2}, {'name': 'Organization', 'value': 'Shrewsbury and Telford Hospital NHS Trust', 'rank': 3}, {'name': 'Subject', 'value': 'Pregnancy and Childbirth', 'rank': 4}, {'name': 'Location', 'value': 'Great Britain', 'rank': 5}, {'name': 'Subject', 'value': 'Hospitals', 'rank': 6}, {'name': 'Subject', 'value': 'Stillbirth', 'rank': 7}, {'name': 'Subject', 'value': 'Infant Mortality', 'rank': 8}]",Foreign,9,A,2019-11-21 20:00:37+00:00,World,Problems at the Shrewsbury and Telford Hospital Trust over 40 years led to what some say may be the biggest maternity scandal in the history of the National Health Service.,The New York Times,Europe,News,nyt://article/a9726063-dd72-5a99-b0c5-9e04e2e57855,https://www.nytimes.com/2019/11/21/world/europe/britain-nhs-deaths.html,815,By Ceylan Yeginsu,"Dozens of Babies Died Because of U.K. Hospital Failings, Report Finds",,Report Faults U.K. Hospital Failings for Infant Deaths,The Royal Shrewsbury Hospital's maternity care has come under scrutiny.,Christopher Furlong/Getty Images,https://static01.nyt.com/images/2019/11/21/world/21nhs-hospital/merlin_164791782_1375dc77-b5ed-45a3-9c00-73c72b15ad4e-articleLarge.jpg,400,600,https://static01.nyt.com/images/2019/11/21/world/21nhs-hospital/merlin_164791782_1375dc77-b5ed-45a3-9c00-73c72b15ad4e-thumbStandard.jpg,75,75,"Dozens of Babies Died Because of U.K. Hospital Failings, Report Finds","Dozens of Babies Died Because of U.K. Hospital Failings, Report Finds Problems at the Shrewsbury and Telford Hospital Trust over 40 years led to what some say may be the biggest maternity scandal in the history of the National Health Service. Problems at the Shrewsbury and Telford Hospital Trust over 40 years led to what some say may be the biggest maternity scandal in the history of the National Health Service."
"Several current and former Iraqi officials, named in leaked spy cables, said they had not provided Tehran with sensitive information.",article,nyt://article/7d3f7477-9bab-5843-bacb-e6a2ab4f063d,"[{'name': 'Location', 'value': 'Iraq', 'rank': 1}, {'name': 'Location', 'value': 'Iran', 'rank': 2}, {'name': 'Subject', 'value': 'Espionage and Intelligence Services', 'rank': 3}, {'name': 'Person', 'value': 'Abadi, Haider al-', 'rank': 4}, {'name': 'Person', 'value': 'Mahdi, Adel Abdul', 'rank': 5}, {'name': 'Person', 'value': 'Suleimani, Qassim', 'rank': 6}, {'name': 'Organization', 'value': 'Quds Force', 'rank': 7}, {'name': 'Subject', 'value': 'Politics and Government', 'rank': 8}]",Foreign,9,A,2019-11-19 01:13:48+00:00,World,"Several current and former Iraqi officials, named in leaked spy cables, said they had not provided Tehran with sensitive information.",The New York Times,Middle East,News,nyt://article/7d3f7477-9bab-5843-bacb-e6a2ab4f063d,https://www.nytimes.com/2019/11/18/world/middleeast/iraqi-iran-spy-cables.html,754,By Alissa J. Rubin,"Iraq Officials, Responding to Times Report, Deny Aiding Iran",,Iraq Officials Deny Aiding Iran,,,,0,0,,0,0,"Iraq Officials, Responding to Times Report, Deny Aiding Iran","Iraq Officials, Responding to Times Report, Deny Aiding Iran Several current and former Iraqi officials, named in leaked spy cables, said they had not provided Tehran with sensitive information. Several current and former Iraqi officials, named in leaked spy cables, said they had not provided Tehran with sensitive information."
The document on Moscow’s meddling in British politics prepared by Parliament last year is becoming a hot issue as bits and pieces begin to leak out.,article,nyt://article/22dd29d7-73a3-5f48-a382-563a392e3f02,"[{'name': 'Subject', 'value': 'Cyberwarfare and Defense', 'rank': 1}, {'name': 'Subject', 'value': 'Great Britain Withdrawal from EU (Brexit)', 'rank': 2}, {'name': 'Organization', 'value': 'Conservative Party (Great Britain)', 'rank': 3}, {'name': 'Person', 'value': 'Browder, William F', 'rank': 4}, {'name': 'Person', 'value': 'Clinton, Hillary Rodham', 'rank': 5}, {'name': 'Person', 'value': 'Grieve, Dominic (1956- )', 'rank': 6}, {'name': 'Person', 'value': 'Johnson, Boris', 'rank': 7}, {'name': 'Location', 'value': 'London (England)', 'rank': 8}]",Foreign,9,A,2019-11-11 19:52:53+00:00,World,The document on Moscow’s meddling in British politics prepared by Parliament last year is becoming a hot issue as bits and pieces begin to leak out.,The New York Times,Europe,News,nyt://article/22dd29d7-73a3-5f48-a382-563a392e3f02,https://www.nytimes.com/2019/11/11/world/europe/hillary-clinton-boris-johnson-brexit-russia-election.html,1294,By Mark Landler and Stephen Castle,Hillary Clinton Raps Boris Johnson Over His Suppression of a Russia Report,,Clinton Balks at Suppression of U.K. Russia Report,Prime Minister Boris Johnson of Britain during a campaign event last week.,Frank Augstein/Associated Press,https://static01.nyt.com/images/2019/11/11/world/11uk-russia/11uk-russia-articleLarge.jpg,400,600,https://static01.nyt.com/images/2019/11/11/world/11uk-russia/11uk-russia-thumbStandard.jpg,75,75,Hillary Clinton Raps Boris Johnson Over His Suppression of a Russia Report,Hillary Clinton Raps Boris Johnson Over His Suppression of a Russia Report The document on Moscow’s meddling in British politics prepared by Parliament last year is becoming a hot issue as bits and pieces begin to leak out. The document on Moscow’s meddling in British politics prepared by Parliament last year is becoming a hot issue as bits and pieces begin to leak out.
"Fewer people might have died in a 2017 fire in a London high-rise if they had not been told to stay put, a government analysis concluded.",article,nyt://article/fcb2a7d5-d1b2-5d37-922e-7c12da7d56fe,"[{'name': 'Subject', 'value': 'Grenfell Tower Fire (June, 2017)', 'rank': 1}, {'name': 'Subject', 'value': 'Fires and Firefighters', 'rank': 2}, {'name': 'Subject', 'value': 'Politics and Government', 'rank': 3}, {'name': 'Location', 'value': 'London (England)', 'rank': 4}]",Foreign,9,A,2019-10-29 11:43:09+00:00,World,"Fewer people might have died in a 2017 fire in a London high-rise if they had not been told to stay put, a government analysis concluded.",The New York Times,Europe,News,nyt://article/fcb2a7d5-d1b2-5d37-922e-7c12da7d56fe,https://www.nytimes.com/2019/10/29/world/europe/grenfell-tower-fire-report.html,770,By Richard Pérez-Peña,Grenfell Tower Report Faults Fire Brigade’s Response,,Bad Advice and No Escape Plan: Grenfell Tower Report Faults Fire Brigade,"The burnt remains of Grenfell Tower in July 2017. The fire, the deadliest in Britain in more than a century, killed 72 people.",Andrew Testa for The New York Times,https://static01.nyt.com/images/2019/10/29/world/29grenfell1/merlin_124225526_37a6021c-7a29-4bfc-b90c-8716f9ffed94-articleLarge.jpg,401,600,https://static01.nyt.com/images/2019/10/29/world/29grenfell1/merlin_124225526_37a6021c-7a29-4bfc-b90c-8716f9ffed94-thumbStandard.jpg,75,75,Grenfell Tower Report Faults Fire Brigade’s Response,"Grenfell Tower Report Faults Fire Brigade’s Response Fewer people might have died in a 2017 fire in a London high-rise if they had not been told to stay put, a government analysis concluded. Fewer people might have died in a 2017 fire in a London high-rise if they had not been told to stay put, a government analysis concluded."
"Abu Hassan al-Muhajir, spokesman of the Islamic State, is believed to have been killed a day after the American raid that left the group’s leader Abu Bakr al-Baghdadi dead.",article,nyt://article/4e878391-3f8d-5324-a96c-a6d844ce694e,"[{'name': 'Organization', 'value': 'Islamic State in Iraq and Syria (ISIS)', 'rank': 1}, {'name': 'Person', 'value': 'Baghdadi, Abu Bakr al-', 'rank': 2}, {'name': 'Person', 'value': 'al-Muhajir, Abu Hassan', 'rank': 3}, {'name': 'Location', 'value': 'Syria', 'rank': 4}]",Foreign,,,2019-10-27 22:57:48+00:00,World,"Abu Hassan al-Muhajir, spokesman of the Islamic State, is believed to have been killed a day after the American raid that left the group’s leader Abu Bakr al-Baghdadi dead.",The New York Times,Middle East,News,nyt://article/4e878391-3f8d-5324-a96c-a6d844ce694e,https://www.nytimes.com/2019/10/27/world/middleeast/al-baghdadi-successor-reported-killed.html,213,By Ben Hubbard and Karam Shoumali,Likely Successor to Dead ISIS Leader Also Reported Killed,,,"A frame from an April video posted on a militant web site shows Abu Bakr al-Baghdadi, leader of the Islamic State. A day after an American raid killed him, a separate attack was reported to have killed the man considered a likely successor.","Al-Furqan media, via Associated Press",https://static01.nyt.com/images/2019/10/28/world/28successor/merlin_160897452_6487dedf-82bf-4e95-aebc-24f73ae1fb0d-articleLarge.jpg,367,600,https://static01.nyt.com/images/2019/10/28/world/28successor/28successor-thumbStandard.jpg,75,75,Likely Successor to Dead ISIS Leader Also Reported Killed,"Likely Successor to Dead ISIS Leader Also Reported Killed Abu Hassan al-Muhajir, spokesman of the Islamic State, is believed to have been killed a day after the American raid that left the group’s leader Abu Bakr al-Baghdadi dead. Abu Hassan al-Muhajir, spokesman of the Islamic State, is believed to have been killed a day after the American raid that left the group’s leader Abu Bakr al-Baghdadi dead."
"Design flaws in the Boeing 737 Max led to the disaster last year, but an investigator said that without other factors “the crash would not have happened.”",article,nyt://article/de3ab3e1-3013-532b-b30b-54fd4435213e,"[{'name': 'Subject', 'value': 'Boeing 737 Max Groundings and Safety Concerns (2019)', 'rank': 1}, {'name': 'Organization', 'value': 'Lion Air', 'rank': 2}, {'name': 'Location', 'value': 'Indonesia', 'rank': 3}, {'name': 'Organization', 'value': 'Boeing Company', 'rank': 4}, {'name': 'Subject', 'value': 'Aviation Accidents, Safety and Disasters', 'rank': 5}, {'name': 'Subject', 'value': 'Airlines and Airplanes', 'rank': 6}]",Foreign,3,B,2019-10-25 14:11:27+00:00,World,"Design flaws in the Boeing 737 Max led to the disaster last year, but an investigator said that without other factors “the crash would not have happened.”",The New York Times,Asia Pacific,News,nyt://article/de3ab3e1-3013-532b-b30b-54fd4435213e,https://www.nytimes.com/2019/10/25/world/asia/lion-air-crash-report.html,731,By Muktita Suhartono and Austin Ramzy,Indonesian Report on Lion Air Crash Finds Numerous Problems,,Indonesia Assesses Fatal Crash,Indonesian Navy personnel recovering wreckage from Lion Air Flight 610 last November.,Ulet Ifansasti/Getty Images,https://static01.nyt.com/images/2019/10/25/world/25lionair1/merlin_146253450_d2e24049-13f1-4204-9b46-1039a2cceb90-articleLarge.jpg,400,600,https://static01.nyt.com/images/2019/10/25/world/25lionair1/25lionair1-thumbStandard.jpg,75,75,Indonesian Report on Lion Air Crash Finds Numerous Problems,"Indonesian Report on Lion Air Crash Finds Numerous Problems Design flaws in the Boeing 737 Max led to the disaster last year, but an investigator said that without other factors “the crash would not have happened.” Design flaws in the Boeing 737 Max led to the disaster last year, but an investigator said that without other factors “the crash would not have happened.”"
"The protests started over a small transit fare increase, but have gained momentum over stagnant wages despite economic growth.",article,nyt://article/c1baa463-4c0d-57b0-83c8-0cdf34cf79cb,"[{'name': 'Location', 'value': 'Chile', 'rank': 1}, {'name': 'Subject', 'value': 'Looting (Crime)', 'rank': 2}, {'name': 'Subject', 'value': 'Demonstrations, Protests and Riots', 'rank': 3}, {'name': 'Subject', 'value': 'Arson', 'rank': 4}, {'name': 'Subject', 'value': 'Prices (Fares, Fees and Rates)', 'rank': 5}, {'name': 'Subject', 'value': 'Vandalism', 'rank': 6}, {'name': 'Person', 'value': 'Pinera, Sebastian', 'rank': 7}, {'name': 'Subject', 'value': 'Transit Systems', 'rank': 8}, {'name': 'Location', 'value': 'Santiago (Chile)', 'rank': 9}, {'name': 'Location', 'value': 'Concepcion (Chile)', 'rank': 10}, {'name': 'Location', 'value': 'Valparaiso (Chile)', 'rank': 11}, {'name': 'Person', 'value': 'Rancagua (Chile)', 'rank': 12}, {'name': 'Location', 'value': 'Coquimbo (Chile)', 'rank': 13}, {'name': 'Location', 'value': 'Antofagasta (Chile)', 'rank': 14}, {'name': 'Subject', 'value': 'Subways', 'rank': 15}]",Foreign,12,A,2019-10-21 02:25:17+00:00,World,"The protests started over an increase in transit fares, but have escalated over anger that, despite economic growth, people’s lives have not improved.",The New York Times,Americas,News,nyt://article/c1baa463-4c0d-57b0-83c8-0cdf34cf79cb,https://www.nytimes.com/2019/10/20/world/americas/chile-protests-riots.html,867,By Pascale Bonnefoy and Clifford Krauss,"Chile Unrest Spreads, With 15 Deaths Reported in Violence",,11 Are Dead As Chileans Overwhelm City Streets,"A demonstrator threw a gas canister back at the police on the fourth day of protests in Santiago, Chile.",Tomas Munita for The New York Times,https://static01.nyt.com/images/2019/10/21/world/21chile-sub10/merlin_163088700_43d1a29c-6b66-4501-a53c-57b2e817c1b9-articleLarge.jpg,400,600,https://static01.nyt.com/images/2019/10/21/world/21chile-sub10/21chile-sub10-thumbStandard-v2.jpg,75,75,"Chile Unrest Spreads, With 15 Deaths Reported in Violence","Chile Unrest Spreads, With 15 Deaths Reported in Violence The protests started over a small transit fare increase, but have gained momentum over stagnant wages despite economic growth. The protests started over an increase in transit fares, but have escalated over anger that, despite economic growth, people’s lives have not improved."
"Four nations — Britain, Russia, South Africa and the United  States — may be withholding information that could help solve the mystery, a prominent jurist concluded.",article,nyt://article/fa73e469-bda9-5b76-a64c-799489cb44ef,"[{'name': 'Subject', 'value': 'Aviation Accidents, Safety and Disasters', 'rank': 1}, {'name': 'Subject', 'value': 'Mercenaries and Private Military Contractors', 'rank': 2}, {'name': 'Organization', 'value': 'United Nations', 'rank': 3}, {'name': 'Person', 'value': 'Hammarskjold, Dag', 'rank': 4}, {'name': 'Location', 'value': 'Africa', 'rank': 5}]",Foreign,6,A,2019-10-08 23:33:55+00:00,World,"Four nations — Britain, Russia, South Africa and the United  States — may be withholding information that could help solve the mystery, a prominent jursit concluded.",The New York Times,Africa,News,nyt://article/fa73e469-bda9-5b76-a64c-799489cb44ef,https://www.nytimes.com/2019/10/08/world/africa/dag-hammarskjold.html,869,By Rick Gladstone and Mike Ives,U.N. Report Bolsters Theory That Hammarskjold Plane Was Downed,,U.N. Seeks More Answers on a 1961 Plane Crash,"The wreckage of Dag Hammarskjold’s plane, which crashed in 1961 near Ndola, then part of Northern Rhodesia in what is now Zambia.",Associated Press,https://static01.nyt.com/images/2019/10/08/world/08Hammarskjold1/merlin_158818701_bff2d799-ca70-46fe-89e8-d6e76c1cc650-articleLarge.jpg,388,600,https://static01.nyt.com/images/2019/10/08/world/08Hammarskjold1/merlin_158818701_bff2d799-ca70-46fe-89e8-d6e76c1cc650-thumbStandard.jpg,75,75,U.N. Report Bolsters Theory That Hammarskjold Plane Was Downed,"U.N. Report Bolsters Theory That Hammarskjold Plane Was Downed Four nations — Britain, Russia, South Africa and the United  States — may be withholding information that could help solve the mystery, a prominent jurist concluded. Four nations — Britain, Russia, South Africa and the United  States — may be withholding information that could help solve the mystery, a prominent jursit concluded."
"North Korea blocks the windows of high-rise apartments in Pyongyang to prevent their residents from looking down, or spying, on the party and government buildings, a news report says.",article,nyt://article/8bb7819a-cd5d-5f68-8418-f48e47251b84,"[{'name': 'Subject', 'value': 'Espionage and Intelligence Services', 'rank': 1}, {'name': 'Organization', 'value': 'Daily NK', 'rank': 2}, {'name': 'Person', 'value': 'Kim Jong-un', 'rank': 3}, {'name': 'Person', 'value': 'Sigley, Alek', 'rank': 4}, {'name': 'Location', 'value': 'North Korea', 'rank': 5}]",Foreign,8,A,2019-10-04 20:02:41+00:00,World,"North Korea blocks the windows of high-rise apartments in Pyongyang to prevent their residents from looking down, or spying, on the party and government buildings, a news report says.",The New York Times,Asia Pacific,News,nyt://article/8bb7819a-cd5d-5f68-8418-f48e47251b84,https://www.nytimes.com/2019/10/04/world/asia/north-korea-blocks-windows-buildings.html,505,By Choe Sang-Hun,"North Korea Blocks Windows of Tall Buildings in Pyongyang to Prevent Spying, Reports Say",,North Korea Sacrifices Views for Secrecy,High-rise buildings in Pyongyang last year.,Danish Siddiqui/Reuters,https://static01.nyt.com/images/2019/10/04/world/04nkorea/merlin_143608950_76667c52-d787-4e76-ad42-e7bcc3c19b1b-articleLarge.jpg,383,600,https://static01.nyt.com/images/2019/10/04/world/04nkorea/04nkorea-thumbStandard.jpg,75,75,"North Korea Blocks Windows of Tall Buildings in Pyongyang to Prevent Spying, Reports Say","North Korea Blocks Windows of Tall Buildings in Pyongyang to Prevent Spying, Reports Say North Korea blocks the windows of high-rise apartments in Pyongyang to prevent their residents from looking down, or spying, on the party and government buildings, a news report says. North Korea blocks the windows of high-rise apartments in Pyongyang to prevent their residents from looking down, or spying, on the party and government buildings, a news report says."
"A cybersecurity firm says evidence suggests the Egyptian government carried out cyberattacks on journalists, academics, lawyers and rights activists.",article,nyt://article/162e14b0-30bc-568a-b89b-809615796504,"[{'name': 'Location', 'value': 'Egypt', 'rank': 1}, {'name': 'Subject', 'value': 'Politics and Government', 'rank': 2}, {'name': 'Person', 'value': 'Sisi, Abdel Fattah el-', 'rank': 3}, {'name': 'Subject', 'value': 'Mobile Applications', 'rank': 4}, {'name': 'Subject', 'value': 'Surveillance of Citizens by Government', 'rank': 5}, {'name': 'Subject', 'value': 'Political Prisoners', 'rank': 6}, {'name': 'Subject', 'value': 'Demonstrations, Protests and Riots', 'rank': 7}, {'name': 'Subject', 'value': 'Human Rights and Human Rights Violations', 'rank': 8}, {'name': 'Subject', 'value': 'Cyberwarfare and Defense', 'rank': 9}, {'name': 'Subject', 'value': 'Computer Security', 'rank': 10}, {'name': 'Organization', 'value': 'Amnesty International', 'rank': 11}, {'name': 'Organization', 'value': 'Check Point Software Technologies Ltd', 'rank': 12}, {'name': 'Organization', 'value': 'Google Play', 'rank': 13}, {'name': 'Location', 'value': 'Canada', 'rank': 14}]",Foreign,8,A,2019-10-03 09:38:05+00:00,World,"A cybersecurity firm says evidence suggests the Egyptian government carried out cyberattacks on journalists, academics, lawyers and rights activists.",The New York Times,Middle East,News,nyt://article/162e14b0-30bc-568a-b89b-809615796504,https://www.nytimes.com/2019/10/03/world/middleeast/egypt-cyber-attack-phones.html,1401,By Ronen Bergman and Declan Walsh,"Egypt Is Using Apps to Track and Target Its Citizens, Report Says",,"Egypt Is Using Apps to Track and Target Citizens, Cybersecurity Firm Says",A protest in Cairo last month calling for the removal of President Abdel Fattah el-Sisi.,Nariman El-Mofty/Associated Press,https://static01.nyt.com/images/2019/10/03/world/03egypt-cyber7/03egypt-cyber7-articleLarge.jpg,400,600,https://static01.nyt.com/images/2019/10/03/world/03egypt-cyber7/03egypt-cyber7-thumbStandard.jpg,75,75,"Egypt Is Using Apps to Track and Target Its Citizens, Report Says","Egypt Is Using Apps to Track and Target Its Citizens, Report Says A cybersecurity firm says evidence suggests the Egyptian government carried out cyberattacks on journalists, academics, lawyers and rights activists. A cybersecurity firm says evidence suggests the Egyptian government carried out cyberattacks on journalists, academics, lawyers and rights activists."
