word,count,happs_score,stddev
annual,3,5.28,1.0506
death,7,1.54,1.2811
toll,1,4.06,1.0956
claims,44,4.72,1.4434
said,2,5.38,0.901
claim,25,5.18,1.4941
responsibility,13,5.72,1.6542
deadly,4,2.9,1.8171
attack,13,2.42,1.4299
jordan,1,5.44,1.7515
germany,3,5.94,1.5703
releases,1,5.96,1.4702
berlin,1,5.26,1.5884
suspect,2,3.14,1.3095
involvement,1,5.64,1.3667
egypt,2,6.26,1.1572
church,2,5.48,1.8543
bombing,8,2.24,1.4786
come,1,5.82,1.0039
group,5,5.92,1.2095
south,7,6.16,1.6081
korean,1,5.48,1.4741
abuse,3,1.88,1.2395
power,3,6.68,1.4907
air,1,6.8,1.6537
torture,2,1.58,1.0515
claimed,2,5.4,1.178
new,13,6.82,1.1373
schools,1,5.98,1.4356
bomb,4,1.96,1.2771
killing,8,1.7,1.359
town,2,5.88,1.5338
stakes,1,4.78,0.9538
cradle,1,6.38,1.6091
british,5,5.66,1.6977
conservatives,1,4.08,1.9984
center,1,5.3,0.9949
video,1,6.48,1.111
violence,3,1.86,1.05
india,4,6.42,1.9804
line,1,4.98,1.2036
control,1,5.38,1.4831
hit,1,4.58,1.808
man,3,5.9,1.4033
role,2,5.68,0.8908
killings,2,1.8,1.5386
israel,3,4.78,1.7296
shot,1,2.5,1.6568
north,9,5.52,1.2162
successful,1,8.16,1.0759
nuclear,3,3.28,1.7847
test,2,4.06,1.4057
russia,4,5.5,1.374
credit,1,5.86,1.6661
senior,2,5.64,1.2081
leader,2,6.38,1.3384
truck,3,5.48,1.555
kills,2,1.78,1.2337
angry,1,2.32,1.2362
organ,2,5.46,1.6563
china,11,5.4,1.7023
chinese,14,5.64,1.4813
world,3,6.52,1.6567
questioned,1,4.24,1.2707
sweden,1,6.28,1.5124
rape,4,1.44,0.7866
says,27,5.28,1.1959
right,1,6.54,1.2651
road,1,5.86,1.0882
islamic,15,4.66,1.5201
state,53,5.28,0.9697
makes,1,5.56,1.248
facebook,1,6.08,1.9361
israelis,2,5.14,1.3554
hotel,3,6.16,1.5954
polish,1,6.16,1.3903
court,3,3.78,1.799
limits,2,4.0,1.1952
war,5,1.8,1.4142
demonstration,1,5.88,1.2185
afghanistan,2,3.56,1.7861
france,2,6.32,1.3768
liberal,1,5.8,2.1665
interference,1,4.71,1.7321
files,3,5.38,1.427
lawsuit,1,2.96,1.6157
sea,2,6.94,1.2843
malcolm,1,5.4,1.0102
victory,3,7.98,1.0784
australia,3,6.4,1.5908
election,2,5.18,1.3506
rival,3,3.68,1.5043
contest,1,5.78,1.4039
premier,1,6.2,1.0498
climate,3,5.8,1.4286
change,1,5.56,1.3426
identity,1,5.98,1.1156
investigating,1,4.84,1.1669
indian,4,6.26,1.7706
climbing,1,6.04,1.3838
christian,1,6.3,1.6444
minister,2,5.18,1.4097
sinai,1,4.76,1.1528
border,2,4.9,1.488
israeli,2,4.82,1.746
called,2,5.6,1.1066
water,3,6.7,1.2164
urged,2,4.54,1.2969
poison,1,1.94,1.1502
app,1,5.2,1.4286
palestinians,1,4.5,1.1995
enter,1,5.84,1.2835
talks,5,5.82,1.207
stake,2,5.02,1.1865
french,3,5.96,1.5381
police,9,4.58,1.8526
officer,1,5.22,1.6449
including,1,5.96,0.9026
attorney,1,4.12,1.3037
general,1,5.32,1.1328
worker,1,5.56,1.6308
wins,1,7.44,1.2643
case,1,5.02,1.3013
treatment,1,4.42,1.5398
sara,1,5.52,1.764
shop,1,6.76,1.0412
fall,1,4.04,1.9687
hold,1,5.7,1.2164
lesson,1,5.3,1.488
senate,1,4.7,1.4178
passes,1,5.44,1.4868
saudi,3,4.58,1.4299
arabia,1,5.4,1.6413
legal,1,5.18,1.746
beijing,1,5.24,1.685
tries,1,5.58,1.2631
whip,1,3.3,1.7409
support,1,6.44,1.4309
kerry,2,5.06,1.1851
iran,7,4.3,1.632
trade,2,6.18,1.0039
investment,1,5.82,1.8148
sails,1,6.38,1.3834
near,3,5.72,1.6041
island,1,6.78,1.5425
challenging,1,6.1,1.5419
korea,6,5.34,1.3793
arsenal,1,4.18,1.8371
just,1,5.76,1.6233
colonel,1,4.96,1.6031
killed,12,1.56,1.2316
