word,count,happs_score,stddev
says,17,5.28,1.1959
russian,31,5.52,1.7052
moscow,3,5.06,1.4201
claims,63,4.72,1.4434
seized,1,3.44,1.4591
town,3,5.88,1.5338
israeli,10,4.82,1.746
military,9,4.78,1.753
killed,11,1.56,1.2316
key,2,5.82,1.0631
weapons,4,2.4,1.6903
orders,2,4.24,1.4786
arrest,1,2.42,1.4859
opposition,2,3.48,1.2329
voters,1,5.58,1.3107
claim,21,5.18,1.4941
territory,1,5.12,1.1891
trump,1,5.3,1.7053
claimed,5,5.4,1.178
candidate,1,5.34,1.0994
treasure,1,7.4,1.7143
coast,1,6.44,1.3874
troops,3,5.16,2.0639
battle,3,2.98,1.7319
gaza,6,4.44,1.3874
draws,1,6.18,1.32
launched,2,6.1,1.0351
attack,9,2.42,1.4299
forgotten,1,3.18,1.2728
holy,1,6.64,1.7815
land,3,6.18,1.3354
amid,9,5.08,1.14
reports,21,5.0,1.5119
children,6,7.12,1.3498
stood,2,4.94,1.0768
false,4,3.18,1.3506
israel,6,4.78,1.7296
attacks,7,2.46,1.4598
shared,1,6.8,1.3401
include,2,5.94,1.2022
videos,3,6.52,1.581
game,1,6.92,1.6015
clip,1,5.36,1.2578
money,1,7.3,1.8434
russia,31,5.5,1.374
successfully,1,7.62,1.2599
tested,1,5.16,1.1132
president,3,5.86,2.1094
near,4,5.72,1.6041
anniversary,1,6.7,1.8434
illegal,1,2.86,1.3704
strikes,4,4.02,1.3626
region,2,5.14,1.143
releases,1,5.96,1.4702
new,11,6.82,1.1373
admiral,2,5.89,1.4024
puts,1,5.1,0.6468
video,2,6.48,1.111
indian,2,6.26,1.7706
tension,1,2.94,1.5832
india,5,6.42,1.9804
oil,3,4.88,1.6368
gas,3,4.76,1.6483
black,3,4.88,1.8366
sea,1,6.94,1.2843
aid,3,6.24,1.3637
additional,1,5.78,1.2501
missile,4,3.24,1.8905
victory,2,7.98,1.0784
election,2,5.18,1.3506
fraud,2,2.3,1.1824
accusations,1,3.16,1.5301
forces,4,4.18,1.5868
brief,1,5.5,1.2817
occupied,4,5.04,1.3395
naval,1,5.48,1.2493
vessel,1,5.78,1.2461
official,4,5.38,1.028
north,4,5.52,1.2162
korea,1,5.34,1.3793
soldier,1,5.12,1.5862
fled,1,3.98,1.1692
army,1,4.48,2.0126
affiliate,1,5.68,1.2526
responsibility,1,5.72,1.6542
deadly,6,2.9,1.8171
rally,2,5.7,1.2495
pakistan,2,3.94,1.1502
head,3,5.96,1.0683
presidential,2,5.94,1.5174
guard,1,4.88,1.6243
power,2,6.68,1.4907
lines,1,5.26,1.0063
contrast,1,4.94,1.4344
earlier,2,5.4,1.2289
brazil,1,6.1,1.359
bars,1,5.68,1.5836
office,1,5.12,1.6243
remarks,1,4.88,1.5732
trying,2,5.78,1.1657
fighting,4,2.76,1.5722
wagner,9,5.44,0.9723
nuclear,7,3.28,1.7847
control,4,5.38,1.4831
economic,1,5.36,1.6874
dies,1,2.08,1.5628
custody,2,4.36,1.6995
nato,5,4.92,1.7004
sees,2,5.76,1.4078
change,1,5.56,1.3426
started,1,6.0,1.069
receiving,1,6.54,1.2324
small,3,4.52,1.3589
advances,2,6.24,1.3486
village,1,6.28,1.1256
gains,2,6.82,1.4803
far,2,4.38,1.817
southeast,1,5.68,1.2196
upper,1,5.82,0.919
authorities,3,4.38,1.1586
areas,3,5.34,1.0224
taken,5,4.28,1.4714
face,1,6.12,1.1718
trial,2,3.96,1.6898
latest,3,6.06,1.3614
raising,1,6.26,1.2257
trip,2,7.0,1.5518
big,3,6.22,1.5022
win,1,8.12,1.0812
opportunity,1,7.14,1.7144
ruins,1,3.98,1.7617
party,1,7.58,1.4581
ahead,2,6.08,1.3679
greek,1,6.08,1.2591
leader,3,6.38,1.3384
tries,1,5.58,1.2631
saying,1,5.6,0.8571
controls,1,5.02,1.3323
chief,3,6.18,1.1551
founder,1,5.88,1.1183
shot,1,2.5,1.6568
sophisticated,1,6.02,1.7553
time,1,5.74,1.209
attempt,1,5.56,1.2961
kill,1,1.56,1.0529
comes,2,5.58,0.7584
aimed,1,5.52,1.581
spy,1,4.24,1.7677
agency,1,5.26,0.9216
leaders,4,5.88,1.3192
encouraged,1,6.98,1.237
protest,3,3.56,1.4591
shoot,1,3.46,1.6686
chinese,1,5.64,1.4813
defensive,1,4.0,1.5253
stop,1,3.9,1.3439
buying,1,6.4,1.2936
milk,1,6.22,1.9303
monkey,1,6.28,1.7148
labor,1,4.22,1.6199
west,3,5.68,1.3468
group,4,5.92,1.2095
strike,4,3.96,1.3547
target,1,5.36,1.5221
inside,1,5.4,0.7284
italy,1,6.18,1.4665
pro,1,5.88,1.3192
china,5,5.4,1.7023
lab,1,5.44,1.5407
likely,1,6.44,1.2149
caused,1,4.54,0.9082
tests,1,4.28,1.6787
safe,1,7.04,1.6157
country,2,6.28,1.7148
jewels,1,7.46,1.6153
crown,1,6.62,1.4693
diamond,1,7.52,1.7171
advance,1,6.58,1.3262
enter,1,5.84,1.2835
used,2,4.6,1.4846
banned,2,2.88,1.2879
mines,2,4.74,1.5493
city,5,5.76,1.546
report,36,4.76,1.3334
holocaust,2,2.22,1.7876
day,3,6.24,1.3637
war,4,1.8,1.4142
capture,1,4.18,1.6986
officials,11,4.76,1.3637
say,5,5.54,0.9941
eastern,5,5.76,1.4223
remains,2,4.42,1.4441
despite,2,4.48,1.3438
heavy,2,4.1,1.4178
competing,1,5.02,1.6597
surround,1,5.44,1.402
know,1,6.1,1.3887
prince,2,6.44,1.3426
harry,2,5.24,1.2545
memoir,1,5.96,1.2447
afghanistan,2,3.56,1.7861
losses,1,2.46,1.4458
waves,1,6.4,1.3997
work,1,5.24,2.105
director,2,5.8,1.4846
prisoner,1,2.86,1.8518
exchanges,1,5.66,1.1886
foreign,4,5.68,1.6956
minister,2,5.18,1.4097
meets,6,5.98,1.0971
middle,1,5.34,0.7174
east,2,5.82,1.2887
discuss,21,5.96,1.2282
intelligence,4,7.3,1.1995
met,1,5.82,0.919
possible,2,6.24,1.598
discussing,4,5.76,1.7209
conditions,1,4.78,1.4748
discussed,5,5.56,1.4591
efforts,3,5.6,1.4569
restore,1,6.14,1.1608
calm,1,6.36,1.6005
benefits,1,7.2,1.0498
daily,1,5.4,1.0302
surrender,1,4.08,1.6762
fate,1,4.78,1.2664
meet,4,6.38,1.2599
security,4,6.1,1.632
mission,1,5.68,1.3468
surfaces,1,5.48,1.2162
turkey,4,6.16,1.8111
grain,3,5.84,1.2675
adviser,2,5.48,1.821
pope,2,5.6,1.5649
francis,2,5.32,1.4348
diplomats,1,5.24,1.8578
deal,1,6.32,1.0774
bid,2,5.26,1.192
prime,1,6.46,1.2811
offer,1,6.62,1.028
accounts,1,4.96,1.4978
phone,2,6.44,1.4309
killing,1,1.7,1.359
germany,5,5.94,1.5703
poland,3,5.88,1.3346
support,3,6.44,1.4309
climate,1,5.8,1.4286
columnist,1,5.56,1.0134
times,1,5.58,1.1968
smoke,1,3.16,1.9416
episode,1,5.76,1.3024
european,3,5.94,1.1678
allies,2,6.5,1.2495
iran,6,4.3,1.632
white,2,6.28,1.5391
house,2,6.34,1.6239
gather,1,5.94,1.0768
human,2,6.26,1.6389
rights,2,6.48,1.555
austin,1,5.5,1.0738
arms,2,5.38,0.9875
ambassador,2,5.78,1.5687
diplomat,1,5.28,1.4852
evan,2,5.6,1.178
set,2,5.58,1.1968
defense,2,5.18,1.5345
ministers,1,5.4,1.7728
need,1,4.84,1.4337
artillery,2,3.88,1.5361
seeing,1,6.38,1.3076
weeks,1,5.06,1.0768
extending,1,6.1,1.2588
japan,1,6.0,1.3093
diplomatic,1,5.82,1.6374
tensions,1,2.66,1.2554
supreme,1,6.64,1.3365
court,1,3.78,1.799
judicial,2,4.98,1.2534
