abstract,document_type,_id,keywords,news_desk,print_page,print_section,pub_date,section_name,snippet,source,subsection_name,type_of_material,uri,web_url,word_count,byline.original,headline.main,headline.kicker,headline.print_headline,multimedia.caption,multimedia.credit,multimedia.default.url,multimedia.default.height,multimedia.default.width,multimedia.thumbnail.url,multimedia.thumbnail.height,multimedia.thumbnail.width,headline,text
President-elect Donald J. Trump has threatened to impose tariffs on Canadian exports unless the country stops the flow of migrants and fentanyl to the U.S.,article,nyt://article/057efa19-09d5-5377-a996-48e669c07379,"[{'name': 'Location', 'value': 'Canada', 'rank': 1}, {'name': 'Person', 'value': 'Trudeau, Justin', 'rank': 2}, {'name': 'Subject', 'value': 'Politics and Government', 'rank': 3}, {'name': 'Subject', 'value': 'United States International Relations', 'rank': 4}, {'name': 'Subject', 'value': 'International Trade and World Market', 'rank': 5}, {'name': 'Subject', 'value': 'Customs (Tariff)', 'rank': 6}, {'name': 'Subject', 'value': 'Protectionism (Trade)', 'rank': 7}, {'name': 'Person', 'value': 'Trump, Donald J', 'rank': 8}, {'name': 'Subject', 'value': 'Illegal Immigration', 'rank': 9}, {'name': 'Subject', 'value': 'Fentanyl', 'rank': 10}]",Washington,3,B,2024-12-27 17:40:59+00:00,World,President-elect Donald J. Trump has threatened to impose tariffs on Canadian exports unless the country stops the flow of migrants and fentanyl to the U.S.,The New York Times,Canada,News,nyt://article/057efa19-09d5-5377-a996-48e669c07379,https://www.nytimes.com/2024/12/27/world/canada/canada-ministers-trump-border-tariffs.html,837,By Ian Austen and Lisa Friedman,"Canadian Ministers Meet Trump Aides at Mar-a-Lago to Discuss Border, and Tariffs",,Two Ministers From Canada Meeting Aides At Mar-a-Lago,"Mélanie Joly, Canada’s foreign minister, and Dominic LeBlanc, who recently became finance minister, last year in Ottawa.","Justin Tang/The Canadian Press, via Associated Press",https://static01.nyt.com/images/2024/12/27/multimedia/27dc-trump-lhpf/27dc-trump-lhpf-articleLarge.jpg,415,600,https://static01.nyt.com/images/2024/12/27/multimedia/27dc-trump-lhpf/27dc-trump-lhpf-thumbStandard.jpg,75,75,"Canadian Ministers Meet Trump Aides at Mar-a-Lago to Discuss Border, and Tariffs","Canadian Ministers Meet Trump Aides at Mar-a-Lago to Discuss Border, and Tariffs President-elect Donald J. Trump has threatened to impose tariffs on Canadian exports unless the country stops the flow of migrants and fentanyl to the U.S. President-elect Donald J. Trump has threatened to impose tariffs on Canadian exports unless the country stops the flow of migrants and fentanyl to the U.S."
"As Donald J. Trump prepares to take office in the United States, President Volodymyr Zelensky attended a meeting hosted by the NATO chief to plot the path forward in the war with Russia.",article,nyt://article/5b2ae543-8135-5f2f-8a46-caf1be5c5729,"[{'name': 'Subject', 'value': 'International Relations', 'rank': 1}, {'name': 'Subject', 'value': 'Peace Process', 'rank': 2}, {'name': 'Subject', 'value': 'Russian Invasion of Ukraine (2022)', 'rank': 3}, {'name': 'Subject', 'value': 'Defense and Military Forces', 'rank': 4}, {'name': 'Person', 'value': 'Trump, Donald J', 'rank': 5}, {'name': 'Person', 'value': 'Zelensky, Volodymyr', 'rank': 6}, {'name': 'Location', 'value': 'Europe', 'rank': 7}, {'name': 'Location', 'value': 'Ukraine', 'rank': 8}, {'name': 'Organization', 'value': 'North Atlantic Treaty Organization', 'rank': 9}, {'name': 'Organization', 'value': 'European Union', 'rank': 10}, {'name': 'Person', 'value': 'Rutte, Mark', 'rank': 11}]",Foreign,8,A,2024-12-18 14:48:33+00:00,World,"As Donald J. Trump prepares to take office in the United States, President Volodymyr Zelensky attended a meeting hosted by the NATO chief to plot the path forward in the war with Russia.",The New York Times,Europe,News,nyt://article/5b2ae543-8135-5f2f-8a46-caf1be5c5729,https://www.nytimes.com/2024/12/18/world/europe/zelensky-eu-ukraine.html,713,By Jenny Gross and Steven Erlanger,Zelensky Meets With European Leaders to Discuss Ukraine’s Future,,E.U. Leaders And Zelensky Discussing Kyiv’s Future,"President Volodymyr Zelensky of Ukraine, left, with Mark Rutte, the head of NATO, in Brussels, in October.","Olivier Matthys/EPA, via Shutterstock",https://static01.nyt.com/images/2024/12/18/multimedia/18eu-ukraine-zkhb/18eu-ukraine-zkhb-articleLarge.jpg,400,600,https://static01.nyt.com/images/2024/12/18/multimedia/18eu-ukraine-zkhb/18eu-ukraine-zkhb-thumbStandard.jpg,75,75,Zelensky Meets With European Leaders to Discuss Ukraine’s Future,"Zelensky Meets With European Leaders to Discuss Ukraine’s Future As Donald J. Trump prepares to take office in the United States, President Volodymyr Zelensky attended a meeting hosted by the NATO chief to plot the path forward in the war with Russia. As Donald J. Trump prepares to take office in the United States, President Volodymyr Zelensky attended a meeting hosted by the NATO chief to plot the path forward in the war with Russia."
"Defense Secretary Lloyd J. Austin III spoke with his Israeli counterpart, Yoav Gallant, on Thursday, the Pentagon said.",article,nyt://article/9ae01d40-79c0-5505-aa93-12f793a0e633,"[{'name': 'Subject', 'value': 'Israel-Gaza War (2023- )', 'rank': 1}, {'name': 'Subject', 'value': 'Iran-Israel Proxy Conflict', 'rank': 2}, {'name': 'Person', 'value': 'Austin, Lloyd J III', 'rank': 3}, {'name': 'Person', 'value': 'Gallant, Yoav', 'rank': 4}, {'name': 'Organization', 'value': 'Hezbollah', 'rank': 5}, {'name': 'Location', 'value': 'Iran', 'rank': 6}, {'name': 'Location', 'value': 'Israel', 'rank': 7}, {'name': 'Location', 'value': 'Lebanon', 'rank': 8}, {'name': 'Subject', 'value': 'Defense and Military Forces', 'rank': 9}, {'name': 'Subject', 'value': 'War and Armed Conflicts', 'rank': 10}]",Foreign,,,2024-10-11 18:00:52+00:00,World,"Defense Secretary Lloyd J. Austin III spoke with his Israeli counterpart, Yoav Gallant, on Thursday, the Pentagon said.",The New York Times,Middle East,News,nyt://article/9ae01d40-79c0-5505-aa93-12f793a0e633,https://www.nytimes.com/2024/10/11/world/middleeast/gallant-austin-israel-war.html,415,By Eric Schmitt,Israeli and U.S. Defense Ministers Discuss Israel’s Expanding Conflicts in Mideast,,,"Defense Minister Yoav Gallant of Israel at the Pentagon in June. Mr. Gallant and Defense Secretary Lloyd J. Austin III had been scheduled to meet in Washington this week, but the visit was postponed.",Kevin Lamarque/Reuters,https://static01.nyt.com/images/2024/10/11/multimedia/11mideast-crisis-austin-gallant-twkh/11mideast-crisis-austin-gallant-twkh-articleLarge.jpg,400,600,https://static01.nyt.com/images/2024/10/11/multimedia/11mideast-crisis-austin-gallant-twkh/11mideast-crisis-austin-gallant-twkh-thumbStandard.jpg,75,75,Israeli and U.S. Defense Ministers Discuss Israel’s Expanding Conflicts in Mideast,"Israeli and U.S. Defense Ministers Discuss Israel’s Expanding Conflicts in Mideast Defense Secretary Lloyd J. Austin III spoke with his Israeli counterpart, Yoav Gallant, on Thursday, the Pentagon said. Defense Secretary Lloyd J. Austin III spoke with his Israeli counterpart, Yoav Gallant, on Thursday, the Pentagon said."
"The cabinet was expected to authorize initiating a retaliatory attack, officials said. They didn’t make their decision public.",article,nyt://article/32341277-c267-5ee8-82b3-7fb1252deebd,"[{'name': 'Subject', 'value': 'Israel-Gaza War (2023- )', 'rank': 1}, {'name': 'Subject', 'value': 'Nuclear Weapons', 'rank': 2}, {'name': 'Subject', 'value': 'Iran-Israel Proxy Conflict', 'rank': 3}, {'name': 'Location', 'value': 'Israel', 'rank': 4}, {'name': 'Location', 'value': 'Iran', 'rank': 5}, {'name': 'Organization', 'value': 'Hezbollah', 'rank': 6}]",Foreign,,,2024-10-10 14:38:00+00:00,World,"The cabinet was expected to authorize initiating a retaliatory attack, officials said. They didn’t make their decision public.",The New York Times,Middle East,News,nyt://article/32341277-c267-5ee8-82b3-7fb1252deebd,https://www.nytimes.com/2024/10/10/world/middleeast/israel-iran-attack-response-security-cabinet-meeting.html,364,By Aaron Boxerman,Israel’s Security Cabinet Met to Discuss Response to Iran Attack,,,An Israeli soldier inspects the remains of an Iranian ballistic missile in southern Israel on Wednesday.,Amir Cohen/Reuters,https://static01.nyt.com/images/2024/10/09/multimedia/10mideast-israel-security-cabinet/09mideast-crisis-carousel-vmlq-articleLarge.jpg,400,600,https://static01.nyt.com/images/2024/10/09/multimedia/10mideast-israel-security-cabinet/09mideast-crisis-carousel-vmlq-thumbStandard.jpg,75,75,Israel’s Security Cabinet Met to Discuss Response to Iran Attack,"Israel’s Security Cabinet Met to Discuss Response to Iran Attack The cabinet was expected to authorize initiating a retaliatory attack, officials said. They didn’t make their decision public. The cabinet was expected to authorize initiating a retaliatory attack, officials said. They didn’t make their decision public."
"The president was asked about a potential strike on the oil infrastructure of Iran, which accounts for about 2 percent of the world’s supply.",article,nyt://article/97a461d2-7d56-5d3f-b37a-707428c54989,"[{'name': 'Subject', 'value': 'Oil (Petroleum) and Gasoline', 'rank': 1}, {'name': 'Subject', 'value': 'Israel-Gaza War (2023- )', 'rank': 2}, {'name': 'Subject', 'value': 'Iran-Israel Proxy Conflict', 'rank': 3}, {'name': 'Subject', 'value': 'War and Armed Conflicts', 'rank': 4}, {'name': 'Location', 'value': 'Iran', 'rank': 5}, {'name': 'Location', 'value': 'Israel', 'rank': 6}, {'name': 'Person', 'value': 'Biden, Joseph R Jr', 'rank': 7}, {'name': 'Subject', 'value': 'United States International Relations', 'rank': 8}, {'name': 'Organization', 'value': 'Hezbollah', 'rank': 9}, {'name': 'Subject', 'value': 'Prices (Fares, Fees and Rates)', 'rank': 10}, {'name': 'Subject', 'value': 'International Relations', 'rank': 11}, {'name': 'Subject', 'value': 'Embargoes and Sanctions', 'rank': 12}, {'name': 'Subject', 'value': 'Missiles and Missile Defense Systems', 'rank': 13}, {'name': 'Person', 'value': 'Netanyahu, Benjamin', 'rank': 14}]",Foreign,,,2024-10-03 17:37:56+00:00,World,"The president was asked about a potential strike on the oil infrastructure of Iran, which accounts for about 2 percent of the world’s supply.",The New York Times,Middle East,News,nyt://article/97a461d2-7d56-5d3f-b37a-707428c54989,https://www.nytimes.com/2024/10/03/world/middleeast/oil-price-biden-iran-strike.html,391,By Jason Karaian and Stanley Reed,Oil Prices Jump After Biden Says ‘Discussing’ Israeli Strike on Iranian Facilities,,,President Biden spoke to the news media as he prepared to board Marine One from the White House on Thursday. ,Tierney L. Cross for The New York Times,https://static01.nyt.com/images/2024/10/03/multimedia/03mideast-crisis-oil-biden-zhck/03mideast-crisis-oil-biden-zhck-articleLarge.jpg,400,600,https://static01.nyt.com/images/2024/10/03/multimedia/03mideast-crisis-oil-biden-zhck/03mideast-crisis-oil-biden-zhck-thumbStandard.jpg,75,75,Oil Prices Jump After Biden Says ‘Discussing’ Israeli Strike on Iranian Facilities,"Oil Prices Jump After Biden Says ‘Discussing’ Israeli Strike on Iranian Facilities The president was asked about a potential strike on the oil infrastructure of Iran, which accounts for about 2 percent of the world’s supply. The president was asked about a potential strike on the oil infrastructure of Iran, which accounts for about 2 percent of the world’s supply."
"On the agenda for Prime Minister Keir Starmer in New York: private talks with the U.S. over whether to allow Ukraine to use long range weapons in Russia, and Middle East tensions.",article,nyt://article/e89ce15e-0291-5e98-ba52-009f6e04e937,"[{'name': 'Subject', 'value': 'International Relations', 'rank': 1}, {'name': 'Subject', 'value': 'United States International Relations', 'rank': 2}, {'name': 'Organization', 'value': 'Labour Party (Great Britain)', 'rank': 3}, {'name': 'Organization', 'value': 'General Assembly (UN)', 'rank': 4}, {'name': 'Person', 'value': 'Lammy, David', 'rank': 5}, {'name': 'Person', 'value': 'Starmer, Keir', 'rank': 6}, {'name': 'Location', 'value': 'Europe', 'rank': 7}, {'name': 'Location', 'value': 'United States', 'rank': 8}, {'name': 'Location', 'value': 'Ukraine', 'rank': 9}, {'name': 'Location', 'value': 'Gaza Strip', 'rank': 10}, {'name': 'Location', 'value': 'Israel', 'rank': 11}, {'name': 'Location', 'value': 'Great Britain', 'rank': 12}]",Foreign,,,2024-09-25 19:44:51+00:00,World,"On the agenda for Prime Minister Keir Starmer in New York: private talks with the U.S. over whether to allow Ukraine to use long range weapons in Russia, and Middle East tensions.",The New York Times,Europe,Live Blog Post,nyt://article/e89ce15e-0291-5e98-ba52-009f6e04e937,https://www.nytimes.com/live/2024/09/25/world/united-nations-zelensky-speeches/for-the-second-time-in-two-weeks-uks-starmer-will-discuss-the-ukraine-weapons-dilemma,552,By Stephen Castle,"For the second time in two weeks, U.K.’s Starmer will discuss the Ukraine weapons dilemma.",,,"Britain’s prime minister, Keir Starmer, in Liverpool, Britain, on Tuesday.",Temilade Adelaja/Reuters,https://static01.nyt.com/images/2024/09/25/multimedia/25uk-unga-lwpk/25uk-unga-lwpk-articleLarge.jpg,374,600,https://static01.nyt.com/images/2024/09/25/multimedia/25uk-unga-lwpk/25uk-unga-lwpk-thumbStandard.jpg,75,75,"For the second time in two weeks, U.K.’s Starmer will discuss the Ukraine weapons dilemma.","For the second time in two weeks, U.K.’s Starmer will discuss the Ukraine weapons dilemma. On the agenda for Prime Minister Keir Starmer in New York: private talks with the U.S. over whether to allow Ukraine to use long range weapons in Russia, and Middle East tensions. On the agenda for Prime Minister Keir Starmer in New York: private talks with the U.S. over whether to allow Ukraine to use long range weapons in Russia, and Middle East tensions."
,article,nyt://article/9cd3b60f-3249-5acc-88cb-efab2e3aaf42,[],Foreign,,,2024-09-19 17:42:36+00:00,World,,The New York Times,Middle East,Live Blog Post,nyt://article/9cd3b60f-3249-5acc-88cb-efab2e3aaf42,https://www.nytimes.com/live/2024/09/19/world/israel-hezbollah-gaza-hamas/an-israeli-man-is-charged-with-meeting-with-iranian-agents-and-discussing-a-plot-to-kill-netanyahu,326,By Matthew Mpoke Bigg,An Israeli man is charged with meeting with Iranian agents and discussing a plot to kill Netanyahu.,,,"Motti Maman, 73, appears in Beersheba District Court in southern Israel on Thursday where he was accused of being involved in an Iranian plot to assassinate the Israeli prime minister, Benjamin Netanyahu.",Reuters,https://static01.nyt.com/images/2024/09/19/multimedia/19mideast-crisis-iran-indictment-khbg/19mideast-crisis-iran-indictment-khbg-articleLarge.jpg,450,600,https://static01.nyt.com/images/2024/09/19/multimedia/19mideast-crisis-iran-indictment-khbg/19mideast-crisis-iran-indictment-khbg-thumbStandard.jpg,75,75,An Israeli man is charged with meeting with Iranian agents and discussing a plot to kill Netanyahu.,An Israeli man is charged with meeting with Iranian agents and discussing a plot to kill Netanyahu.
"Secretary of State Antony J. Blinken and his British counterpart, David Lammy, made a rare joint trip to Ukraine to show allied solidarity as the American presidential election looms.",article,nyt://article/4b5b8d54-60a6-5047-b3a6-2a45206a6539,"[{'name': 'Person', 'value': 'Blinken, Antony J', 'rank': 1}, {'name': 'Organization', 'value': 'State Department', 'rank': 2}, {'name': 'Location', 'value': 'Kyiv (Ukraine)', 'rank': 3}, {'name': 'Subject', 'value': 'Russian Invasion of Ukraine (2022)', 'rank': 4}, {'name': 'Subject', 'value': 'Foreign Aid', 'rank': 5}, {'name': 'Location', 'value': 'Ukraine', 'rank': 6}]",Foreign,7,A,2024-09-11 08:31:42+00:00,World,"Secretary of State Antony J. Blinken and his British counterpart, David Lammy, made a rare joint trip to Ukraine to show allied solidarity as the American presidential election looms.",The New York Times,Europe,News,nyt://article/4b5b8d54-60a6-5047-b3a6-2a45206a6539,https://www.nytimes.com/2024/09/11/world/europe/ukraine-war-blinken-visit-kyiv.html,1258,By Edward Wong,"In Kyiv, Blinken Discusses Ukraine’s Push for Deep Missile Strikes into Russia",,Blinken Discusses Strikes on Kyiv Trip,"Secretary of State Antony J. Blinken, center, walking beside his British counterpart, David Lammy, as they arrived via train in Kyiv, Ukraine, on Wednesday.",Mark Schiefelbein/Associated Press,https://static01.nyt.com/images/2024/09/11/multimedia/11ukraine-blinken-hlck/11ukraine-blinken-hlck-articleLarge.jpg,400,600,https://static01.nyt.com/images/2024/09/11/multimedia/11ukraine-blinken-hlck/11ukraine-blinken-hlck-thumbStandard.jpg,75,75,"In Kyiv, Blinken Discusses Ukraine’s Push for Deep Missile Strikes into Russia","In Kyiv, Blinken Discusses Ukraine’s Push for Deep Missile Strikes into Russia Secretary of State Antony J. Blinken and his British counterpart, David Lammy, made a rare joint trip to Ukraine to show allied solidarity as the American presidential election looms. Secretary of State Antony J. Blinken and his British counterpart, David Lammy, made a rare joint trip to Ukraine to show allied solidarity as the American presidential election looms."
"In discussions in Beijing, the two sides made clear that many differences remain over Taiwan, technology export controls and trade disputes.",article,nyt://article/275ed32b-45a7-558b-b062-2f7a88f065a6,"[{'name': 'Subject', 'value': 'United States International Relations', 'rank': 1}, {'name': 'Subject', 'value': 'International Relations', 'rank': 2}, {'name': 'Subject', 'value': 'United States Politics and Government', 'rank': 3}, {'name': 'Person', 'value': 'Austin, Lloyd J III', 'rank': 4}, {'name': 'Person', 'value': 'Biden, Joseph R Jr', 'rank': 5}, {'name': 'Person', 'value': 'Sullivan, Jacob J (1976- )', 'rank': 6}, {'name': 'Person', 'value': 'Xi Jinping', 'rank': 7}, {'name': 'Location', 'value': 'China', 'rank': 8}, {'name': 'Location', 'value': 'United States', 'rank': 9}]",Foreign,10,A,2024-08-28 15:36:59+00:00,World,"In discussions in Beijing, the two sides made clear that many differences remain over Taiwan, technology export controls and trade disputes.",The New York Times,Asia Pacific,News,nyt://article/275ed32b-45a7-558b-b062-2f7a88f065a6,https://www.nytimes.com/2024/08/28/world/asia/us-china-biden-xi.html,848,By Keith Bradsher and David Pierson,U.S. and Chinese Officials Discuss Future Talks Between Biden and Xi,,U.S. and Chinese Officials Weigh Next Talks Between Leaders and Militaries,"Jake Sullivan, President Biden’s national security adviser, and Wang Yi, China’s top foreign policy official, in Beijing on Wednesday.",Pool photo by Ng Han Guan,https://static01.nyt.com/images/2024/08/29/multimedia/29china-us-photo-jqfh/29china-us-photo-jqfh-articleLarge.jpg,400,600,https://static01.nyt.com/images/2024/08/29/multimedia/29china-us-photo-jqfh/29china-us-photo-jqfh-thumbStandard.jpg,75,75,U.S. and Chinese Officials Discuss Future Talks Between Biden and Xi,"U.S. and Chinese Officials Discuss Future Talks Between Biden and Xi In discussions in Beijing, the two sides made clear that many differences remain over Taiwan, technology export controls and trade disputes. In discussions in Beijing, the two sides made clear that many differences remain over Taiwan, technology export controls and trade disputes."
"Aides to the two men, who met last month at Mar-a-Lago, had denied that such a call had taken place.",article,nyt://article/0aff542c-f417-58bc-919f-3b31cb1cdfa6,"[{'name': 'Person', 'value': 'Woodruff, Judy', 'rank': 1}, {'name': 'Organization', 'value': 'Public Broadcasting Service', 'rank': 2}, {'name': 'Person', 'value': 'Netanyahu, Benjamin', 'rank': 3}, {'name': 'Person', 'value': 'Trump, Donald J', 'rank': 4}, {'name': 'Subject', 'value': 'Israel-Gaza War (2023- )', 'rank': 5}, {'name': 'Organization', 'value': 'Axios Media Inc', 'rank': 6}, {'name': 'Organization', 'value': 'Thomson Reuters Corporation', 'rank': 7}]",Foreign,,,2024-08-21 21:04:44+00:00,World,"Aides to the two men, who met last month at Mar-a-Lago, had denied that such a call had taken place.",The New York Times,Middle East,News,nyt://article/0aff542c-f417-58bc-919f-3b31cb1cdfa6,https://www.nytimes.com/2024/08/22/world/middleeast/trump-netanyahu-cease-fire-talks-israel-woodruff-pbs.html,394,"By Maggie Haberman, Jonathan Swan and Isabel Kershner",PBS’s Woodruff Calls Comments Suggesting Trump and Netanyahu Discussed Cease-Fire a ‘Mistake’,,,"Former President Donald J. Trump greeting Prime Minister Benjamin Netanyahu of Israel and his wife, Sara Netanyahu, at Mar-a-Lago in West Palm Beach on July 26. ",Doug Mills/The New York Times,https://static01.nyt.com/images/2024/08/21/multimedia/21mideast-crisis-trump-denial-tfzk/21mideast-crisis-trump-denial-tfzk-articleLarge.jpg,390,600,https://static01.nyt.com/images/2024/08/21/multimedia/21mideast-crisis-trump-denial-tfzk/21mideast-crisis-trump-denial-tfzk-thumbStandard.jpg,75,75,PBS’s Woodruff Calls Comments Suggesting Trump and Netanyahu Discussed Cease-Fire a ‘Mistake’,"PBS’s Woodruff Calls Comments Suggesting Trump and Netanyahu Discussed Cease-Fire a ‘Mistake’ Aides to the two men, who met last month at Mar-a-Lago, had denied that such a call had taken place. Aides to the two men, who met last month at Mar-a-Lago, had denied that such a call had taken place."
