word,count,happs_score,stddev
claims,29,4.72,1.4434
strike,2,3.96,1.3547
complex,1,5.04,1.5903
situation,1,5.0,1.3093
ground,1,5.26,1.2906
candidate,2,5.34,1.0994
fraud,1,2.3,1.1824
opponent,1,3.9,1.5419
declared,1,5.28,1.3407
victor,1,6.18,1.7225
claim,13,5.18,1.4941
oil,2,4.88,1.6368
fields,1,5.92,1.2428
touches,1,6.38,1.2599
nerve,1,4.82,1.4815
reached,1,6.08,1.2591
war,3,1.8,1.4142
gets,2,5.84,1.2993
military,4,4.78,1.753
winner,1,7.78,1.6938
false,4,3.18,1.3506
critics,1,3.8,1.6782
say,4,5.54,0.9941
cross,1,4.68,1.7076
christian,1,6.3,1.6444
says,18,5.28,1.1959
strikes,1,4.02,1.3626
boats,1,6.45,1.2427
trump,15,5.3,1.7053
drugs,1,2.66,1.6364
illegal,1,2.86,1.3704
art,1,6.6,1.4983
letting,1,5.18,1.3656
walking,1,6.18,1.5609
away,1,4.22,1.2664
stronger,1,7.12,1.0812
control,3,5.38,1.4831
key,4,5.82,1.0631
army,1,4.48,2.0126
judge,1,4.92,1.6015
brothers,1,6.98,1.4497
florida,1,6.7,1.6568
lawsuit,1,2.96,1.6157
india,4,6.42,1.9804
latest,1,6.06,1.3614
russian,1,5.52,1.7052
opposition,3,3.48,1.2329
victory,4,7.98,1.0784
oldest,1,4.68,1.6468
president,4,5.86,2.1094
australia,2,6.4,1.5908
ended,1,3.84,1.4479
seven,1,5.66,1.2554
closer,1,5.82,1.1008
right,1,6.54,1.2651
charlie,1,5.62,1.276
kirk,1,5.24,1.4507
responsibility,2,5.72,1.6542
bus,1,5.1,1.2495
stop,2,3.9,1.3439
shooting,2,2.52,1.7407
jerusalem,1,5.12,1.7916
draws,1,6.18,1.32
cancer,1,1.54,1.073
killed,6,1.56,1.2316
gaza,5,4.44,1.3874
hospital,1,3.5,1.6194
repeats,1,5.2,1.1899
mexico,1,5.84,1.7186
brazil,1,6.1,1.359
violence,3,1.86,1.05
cities,1,5.58,1.4995
hundreds,2,5.96,1.6655
indian,2,6.26,1.7706
lawmakers,1,4.7,1.4604
protest,3,3.56,1.4591
vote,2,5.8,1.5779
grounds,1,5.68,1.2362
flights,1,5.98,1.8897
nuclear,3,3.28,1.7847
program,2,5.68,1.2196
early,1,5.66,1.239
intelligence,2,7.3,1.1995
israel,9,4.78,1.7296
ties,1,5.24,1.4507
potential,1,6.68,1.0774
rights,1,6.48,1.555
violations,1,2.86,1.4287
does,2,5.22,1.2501
iran,3,4.3,1.632
secret,2,4.84,1.6081
rival,1,3.68,1.5043
presidential,1,5.94,1.5174
election,2,5.18,1.3506
goes,1,5.26,1.1214
wire,1,5.12,0.8722
government,5,4.64,1.6383
polls,1,5.42,1.2792
leader,3,6.38,1.3384
south,6,6.16,1.6081
africa,2,5.26,2.0782
white,2,6.28,1.5391
african,2,5.66,1.7567
video,1,6.48,1.111
know,5,6.1,1.3887
pakistan,2,3.94,1.1502
new,3,6.82,1.1373
pope,3,5.6,1.5649
russia,7,5.5,1.374
final,1,5.02,1.7319
village,1,6.28,1.1256
region,1,5.14,1.143
company,1,5.44,1.58
global,1,6.0,1.4846
aims,1,6.27,1.2209
toronto,1,5.82,1.7577
island,1,6.78,1.5425
chinese,3,5.64,1.4813
fighting,2,2.76,1.5722
capture,1,4.18,1.6986
citizens,1,6.1,1.5152
fought,1,3.1,1.3887
save,2,6.54,1.1643
lives,1,6.22,1.148
earthquake,1,1.9,1.1995
claimed,1,5.4,1.178
sue,1,4.3,2.1595
giant,1,5.34,1.1886
forced,2,3.16,1.2675
labor,1,4.22,1.6199
