word,count,happs_score,stddev
set,2,5.58,1.1968
rights,10,6.48,1.555
issues,4,3.9,1.374
minister,8,5.18,1.4097
greece,1,5.76,1.6107
security,7,6.1,1.632
meeting,8,5.46,1.3433
threat,3,2.36,1.3056
afghanistan,11,3.56,1.7861
legacy,1,5.9,1.6067
meet,5,6.38,1.2599
prime,4,6.46,1.2811
advance,1,6.58,1.3262
americans,4,6.5,1.6933
leader,15,6.38,1.3384
head,2,5.96,1.0683
economy,3,4.38,1.6646
disaster,2,1.96,1.428
response,3,5.68,1.2688
scientists,1,6.34,1.4654
religious,3,5.46,2.0123
leaders,14,5.88,1.3192
climate,9,5.8,1.4286
change,5,5.56,1.3426
missing,5,2.98,1.3775
journalist,10,5.54,1.3584
nations,7,6.0,1.5518
flies,1,3.6,1.6782
arabia,3,5.4,1.6413
diplomatic,2,5.82,1.6374
members,3,5.66,1.2224
trade,8,6.18,1.0039
amid,13,5.08,1.14
terror,4,1.76,1.0012
alert,2,5.28,1.8075
murder,2,1.48,1.015
rate,2,5.34,1.2224
year,2,5.38,1.3536
report,233,4.76,1.3334
says,115,5.28,1.1959
powerful,1,7.08,1.5365
rebel,2,4.38,1.6022
reported,76,5.12,1.2558
wants,2,5.38,1.3231
immediately,1,5.66,1.1359
hits,3,4.98,2.1899
southern,3,5.64,1.6258
sending,1,5.8,0.9258
handling,1,5.28,1.0887
child,5,7.24,1.5592
allegations,2,3.84,1.4479
guide,2,6.1,1.165
soldiers,5,5.38,1.6399
suspect,5,3.14,1.3095
spoke,1,5.8,0.9035
say,16,5.54,0.9941
battle,6,2.98,1.7319
indians,1,6.3,1.6933
spread,4,5.48,1.1292
businessman,2,5.42,1.3864
dies,3,2.08,1.5628
health,7,7.22,1.2501
media,17,5.62,1.8058
abroad,2,6.96,1.2282
reporting,15,5.12,1.1718
california,1,6.08,1.5097
shooting,2,2.52,1.7407
status,3,5.62,1.1761
unity,1,6.92,1.7478
economic,2,5.36,1.6874
adds,2,5.5,0.953
commander,3,5.26,1.5093
strike,5,3.96,1.3547
kill,2,1.56,1.0529
prominent,2,6.26,1.1031
iranian,4,4.22,1.148
mass,1,5.44,1.1095
grave,1,2.56,1.8534
army,4,4.48,2.0126
lawyers,1,4.26,1.8715
face,3,6.12,1.1718
burns,1,2.78,1.4469
coal,4,4.96,1.7138
delayed,2,3.24,1.1877
summer,2,6.4,2.3905
turkish,5,5.56,1.2149
journalists,8,5.2,1.5119
offices,1,5.0,1.4428
aim,2,5.86,1.1068
meat,1,6.2,2.1381
industry,2,5.38,1.3076
cancer,2,1.54,1.073
risks,1,3.78,1.7646
billion,2,7.56,1.6679
protests,6,4.24,1.6358
violence,6,1.86,1.05
jason,2,5.12,1.3192
prisoner,2,2.86,1.8518
exchange,2,5.68,1.1683
cases,11,4.82,0.919
past,2,4.62,1.6022
agency,9,5.26,0.9216
press,5,5.36,1.2249
far,1,4.38,1.817
homes,1,6.62,1.2436
plan,4,6.14,1.2779
called,5,5.6,1.1066
donations,1,6.56,1.3118
refugees,3,3.06,1.6587
american,5,6.74,1.5228
finds,29,5.94,1.2521
women,10,7.12,1.4658
hope,2,7.38,1.3076
students,3,6.28,1.8299
mexico,7,5.84,1.7186
force,1,4.0,1.6903
toll,3,4.06,1.0956
banned,1,2.88,1.2879
used,7,4.6,1.4846
dead,8,2.0,1.3248
strikes,7,4.02,1.3626
flow,2,5.44,1.5928
foreign,5,5.68,1.6956
weapons,2,2.4,1.6903
using,3,5.0,1.0498
poison,3,1.94,1.1502
gas,2,4.76,1.6483
wall,1,4.98,0.9581
street,2,5.44,0.8369
journal,1,5.7,1.3132
reporter,1,5.16,1.3456
political,3,4.12,1.5205
connections,1,6.31,1.2111
jewish,4,5.72,1.0506
paper,2,5.8,1.1952
sees,1,5.76,1.4078
plot,3,5.26,1.3822
destroy,1,2.52,1.8097
israel,12,4.78,1.7296
fall,3,4.04,1.9687
voice,6,5.76,1.0606
experimental,1,5.84,1.4479
tested,1,5.16,1.1132
shows,9,6.08,1.0467
led,2,5.48,1.1292
charges,6,3.94,1.5308
human,5,6.26,1.6389
crimes,8,2.14,1.3704
ahead,4,6.08,1.3679
rome,2,6.98,1.4213
factory,1,5.08,1.4961
global,3,6.0,1.4846
poverty,1,1.98,1.1156
making,1,6.24,1.1877
big,5,6.22,1.5022
pilot,2,6.0,1.069
acknowledged,1,6.1,1.4321
cutting,1,4.08,1.3974
wrong,1,3.14,0.9691
crash,5,2.6,1.3702
hong,4,4.86,0.9691
kong,4,5.44,1.1808
democracy,1,6.36,1.7233
rough,1,3.54,1.4458
bad,2,2.64,1.4675
annual,4,5.28,1.0506
ethnic,1,5.84,1.3303
region,3,5.14,1.143
describes,3,5.76,1.0797
trends,1,5.94,1.2843
children,14,7.12,1.3498
evidence,3,5.64,1.2578
palestinian,9,4.62,1.6022
lets,2,5.58,1.012
fingers,1,5.58,1.1445
talking,1,6.46,1.2324
houses,1,6.16,1.6333
parliament,8,4.98,1.2856
quick,1,6.02,1.6349
fix,1,6.28,1.5258
ministry,1,5.58,1.8526
defending,1,5.22,1.5022
conduct,2,5.14,1.325
million,10,7.38,1.427
lack,1,3.16,1.2835
basic,1,5.16,1.3456
backs,3,5.34,1.4373
tactics,3,5.3,1.5811
military,18,4.78,1.753
government,7,4.64,1.6383
changes,3,5.06,1.3157
law,3,4.9,1.5551
expenses,1,3.32,1.3468
investigation,4,4.02,1.4776
assembly,1,5.6,1.088
armed,1,3.84,1.8556
conflict,2,3.1,1.5286
administration,2,4.84,1.5696
congress,1,4.34,1.7567
victims,1,2.32,1.5043
virus,3,2.08,1.3377
forced,3,3.16,1.2675
african,2,5.66,1.7567
countries,6,5.68,0.9781
urged,4,4.54,1.2969
russian,15,5.52,1.7052
weapon,1,3.36,1.663
greatly,1,6.86,1.3403
treaty,5,6.22,1.3293
fewer,3,3.72,1.1256
hungry,1,3.38,1.9261
people,3,6.16,1.5826
jimmy,3,5.36,1.1205
workers,6,5.78,1.183
patients,2,3.66,1.4086
incident,1,4.02,1.3923
years,7,5.28,1.4714
links,2,5.6,1.1606
needs,4,4.98,1.5185
reforms,1,5.7,1.5286
wake,1,4.72,1.6542
officials,11,4.76,1.3637
drop,2,4.3,1.1995
preliminary,1,5.26,1.1031
flight,5,6.06,1.834
korean,9,5.48,1.4741
student,2,6.58,1.2469
brazil,5,6.1,1.359
dutch,3,5.62,1.1761
united,4,7.32,1.2027
internal,2,5.2,1.3093
man,9,5.9,1.4033
flying,1,6.24,1.6483
japanese,2,6.02,1.5713
air,3,6.8,1.6537
saddam,1,2.48,1.568
hussein,1,3.62,1.8724
aide,2,5.56,1.4165
northern,3,5.22,1.3293
fight,5,2.7,1.7409
washington,4,6.04,1.2115
post,1,5.48,1.0925
writer,1,5.96,1.5381
seen,1,5.4,1.1952
trial,2,3.96,1.6898
ran,1,5.5,1.4604
oil,11,4.88,1.6368
giant,1,5.34,1.1886
court,12,3.78,1.799
nato,3,4.92,1.7004
caps,1,5.36,1.0254
size,1,5.04,0.9681
mission,1,5.68,1.3468
starts,3,5.96,1.1945
drive,1,6.08,1.5232
scale,1,4.88,1.3037
differ,1,4.58,1.3415
german,7,5.34,1.394
ships,1,5.96,1.0093
britain,7,5.78,1.8767
ensure,1,6.12,1.3649
taking,1,5.32,1.3005
lawsuit,4,2.96,1.6157
west,1,5.68,1.3468
bank,1,5.92,1.6268
doubts,2,3.3,1.4321
video,5,6.48,1.111
final,2,5.02,1.7319
moments,1,6.1,1.1112
deep,1,5.74,1.3969
depression,1,1.98,1.5583
civilians,8,5.64,1.1386
share,1,6.78,1.4039
rumors,1,4.08,1.9455
online,4,6.72,1.2784
lowest,1,3.3,1.165
weekly,1,5.3,1.594
total,1,5.78,0.9538
weeks,1,5.06,1.0768
aid,8,6.24,1.3637
relief,2,6.86,1.6037
vast,3,5.64,1.5354
damage,3,2.58,1.4995
mexican,8,5.4,1.5253
fired,2,2.3,1.5682
lady,2,6.6,1.4569
failed,2,1.84,0.9971
address,1,5.6,1.0498
sign,1,5.66,1.2875
distress,1,2.7,1.4178
