pub_date,headline,happs_score
2020-11-02,British media report Prince William had Covid-19 in April.,5.454285714285715
2020-11-02,Australia reports no new cases for the first time in nearly five months.,5.44
2020-10-30,"New C.D.C. report shows how quickly the virus can spread within households, even when the first case is a child.",5.261176470588234
2020-10-29,A Top Aide to Saddam Hussein Is Reported Dead,4.5488888888888885
2020-10-29,"At least 116 attendees of school retreat in Wisconsin over the summer tested positive, C.D.C. report says.",5.205
2020-10-28,"M.T.A. service cuts could cost the New York metropolitan area 450,000 jobs by 2022, a report finds.",5.363076923076923
2020-10-28,"U.S. reports a record 500,000 new cases in the past week, as the Trump administration says it is ending the pandemic.",5.151764705882352
2020-10-24,"Record numbers of daily infections are reported in six states, including Ohio and Illinois.",5.189166666666667
2020-10-23,"Istanbul has 40 percent of Turkey’s virus cases, a top official reports.",4.988571428571428
2020-10-23,The U.S. reported its second-highest daily case total since the start of the pandemic.,5.2272727272727275
2020-10-21,A Dozen Protesters in Nigeria Reported Killed by Security Forces,4.66
2020-10-21,"As McConnell advises White House against a pre-election stimulus deal, Pelosi reports progress in talks.",5.546666666666666
2020-10-20,"Argentina, which had early success in controlling the virus, reports its millionth case.",5.34
2020-10-18,"Indonesian ex-pilot, convicted in midair poison plot, is reported dead from Covid-19.",4.017142857142857
2020-10-17,"Armenia and Azerbaijan Reach New Cease-Fire for Nagorno-Karabakh, Then Report Violations",5.137142857142857
2020-10-16,Quarantine U: College journalists file their reports.,5.63
2020-10-08,"El Paso officials report a single-day record of new cases, and caution against ‘virus fatigue.’",5.069999999999999
2020-10-04,A timeline of statements reveals conflicting reports on Trump’s infection and condition.,5.084444444444445
2020-09-29,Venezuelan doctors say the virus has killed at least 200 health workers. The government has reported only 12.,4.702857142857143
2020-09-29,The Titans report the N.F.L. season’s first outbreak.,5.385
2020-09-12,Trump Loyalists Tried to Influence C.D.C. Virus Reports,4.746666666666667
2020-09-07,Belarus Protest Leader Vanishes Amid Reports of Masked Abductors,4.992
2020-08-26,"Almost 500 Million Children Are Cut Off From School in Pandemic, Report Says",5.343636363636364
2020-08-13,"California Becomes First State to Report 600,000 Coronavirus Cases",5.505714285714285
2020-08-10,Algerian Journalist Sentenced to 3 Years for Reporting on Protests,4.955
2020-08-06,"‘Racism Is Pervasive and Systemic’ at Canada’s Museum of Human Rights, Report Says",5.4025
2020-07-31,Lawmakers ‘Alarmed’ by Reports U.S. Envoy Told Brazil It Could Help Re-elect Trump,5.308888888888888
2020-07-21,Five Takeaways From the Report on Russia’s Interference in Britain,5.21375
2020-07-21,"‘No One’ Protected British Democracy From Russia, U.K. Report Concludes",5.712000000000001
2020-07-20,Three Coronavirus Vaccine Developers Report Promising Initial Results,5.6499999999999995
2020-07-17,"U.S. Reports More Than 70,000 New Coronavirus Cases for the Second Time",5.437777777777779
2020-07-17,"$174 Million Afghan Drone Program Is Riddled With Problems, U.S. Report Says",5.666666666666667
2020-07-16,Vatican Tells Bishops to Report Sex Abuse to Police (but Doesn’t Require It),4.811111111111111
2020-07-08,"Over 180 Bodies Found Dumped in Burkina Faso Town, Report Says",5.263333333333333
2020-07-01,"U.S. Reports Nearly 50,000 New Coronavirus Cases, Another Single-Day Record",5.612
2020-06-26,Horses and Reporting in the Field,5.59
2020-06-18,"Number of Refugees Worldwide Has Doubled in a Decade, U.N. Report Says",5.091111111111111
2020-06-16,"Common Drug Reduces Coronavirus Deaths, Scientists Report",4.805
2020-06-13,China Reports 57 New Coronavirus Cases Amid Beijing Outbreak,5.3933333333333335
2020-05-21,Reported Coronavirus Cases Top 5 Million Worldwide,6.128
2020-05-10,"Ethiopian Troops May Have Shot Down Aid Plane in Somalia, Report Says",5.069999999999999
2020-05-07,"Cardinal George Pell Knew of Clergy Sex Abuse, Australian Report Finds",5.707777777777777
2020-05-05,New Report Says Coronavirus May Have Made Early Appearance in France,5.74
2020-04-30,Top E.U. Diplomat Says Disinformation Report Was Not Watered Down for China,4.98
2020-04-24,"Pressured by China, E.U. Softens Report on Covid-19 Disinformation",5.1000000000000005
2020-04-24,E.U. Waters Down Report on China’s Coronavirus Propaganda,5.075
2020-04-21,"Coronavirus Threatens Press Freedom Around the World, Report Says",5.650000000000001
2020-04-21,Is Kim Jong-un Ailing? South Korea Disputes Report Saying He Is,5.3575
2020-03-20,Smile? The Results From the 2020 World Happiness Report Are In,5.713333333333334
2020-03-18,Trump Signs Relief Package; China Reports Zero New Local Infections,5.156666666666666
2020-03-17,Behind the Virus Report That Jarred the U.S. and the U.K. to Action,4.732000000000001
2020-03-09,Ethiopian Report on 737 Max Crash Blames Boeing,4.772
2020-03-01,Second Death From Virus Is Reported in the U.S.,4.37
2020-02-28,Confusion and Contradiction Reign in Iran’s Coronavirus Reporting,4.843999999999999
2020-02-28,New Unexplained Cases Reported in Oregon and California,5.651428571428572
2020-02-20,"South Sudan’s Feuding Leaders Announce Unity Deal, Amid War Crimes Report",4.802499999999999
2020-02-19,Japan Reports 2 Deaths Among Cruise Ship Passengers,5.24
2020-02-15,"31 Reported Dead in Mali, as Attackers Return to Scene of a Massacre",4.904444444444445
2020-02-14,New Cases Are Reported as Beijing Sets New Rules,5.395555555555556
2020-02-11,Indonesia Has No Reported Coronavirus Cases. Is That the Whole Picture?,4.98
2020-02-06,Scottish Official Quits Amid Reports That He Messaged Teen Hundreds of Times,5.357777777777778
2020-02-04,Hong Kong Reports Its First Coronavirus Death as Outbreak Widens,4.8342857142857145
2020-02-03,Hong Kong Reports First Death From Coronavirus Outbreak,4.806666666666667
2020-02-02,Philippines Reports First Coronavirus Death Outside China,4.912000000000001
2020-01-19,Deadly Mystery Virus Reported in 2 New Chinese Cities and South Korea,5.090909090909091
2020-01-16,Ukraine Investigates Trump Allies Amid Reports of Surveillance of Marie Yovanovitch,5.3342857142857145
2020-01-11,China Reports First Death From New Virus,4.691428571428571
2020-12-30,Indian State Ruled by Modi’s Party Bans Islamic Schools,5.665714285714287
2020-12-30,"As the U.S. vaccine drive lags, a fast-moving coronavirus variant reaches a second state.",5.442857142857144
2020-12-30,Prisoners in Oregon can sue state officials in federal court over their handling of the pandemic.,4.886666666666667
2020-12-28,New York State’s positive test rate reaches its highest point since May: 8.3%.,5.8020000000000005
2020-12-26,"Central and Southern California have 0 percent I.C.U. capacity, in a state already low on hospital beds.",5.20923076923077
2020-12-23,"As Evidence Mounts that Navalny Was Poisoned by State, Russians Just Sigh",5.0625
2020-12-21,A Florida scientist has sued state law enforcement in an ongoing battle over Covid-19 data.,5.065454545454545
2020-12-20,"A Minnesota state senator, one of several who contracted the coronavirus after local Republican meetings, has died.",5.161666666666668
2020-12-18,Penn State will delay in-person spring classes after state officials urge keeping students away.,5.481666666666666
2020-12-18,"To Understand Red-State America, He Urges a Look at Red-State Israel",5.345714285714286
2020-12-14,Cuomo warns New York State that ‘a shutdown is something to worry about.’,5.0888888888888895
2020-12-14,The first vaccine reached New York on Monday at a fraught moment in the state.,5.54
2020-12-12,How many vaccine doses will your state get?,5.4799999999999995
2020-12-11,A state scientist questioned Florida’s virus data. Now her home’s been raided.,4.974999999999999
2020-12-08,The Michigan-Ohio State football game gets canceled after Michigan’s virus cases increase.,4.953333333333333
2020-12-05,Outbreaks at nursing homes appear to be linked to Washington State wedding. Seven have died.,5.614999999999999
2020-12-04,Restaurants in Washington State defy governor and invite guests inside.,5.822500000000001
2020-12-04,Revenue losses in the pandemic are forcing state and local governments to slash their budgets.,5.049090909090908
2020-11-29,‘In the fight of our lives’: New Jersey’s governor spotlights his state’s return to crisis.,5.155555555555556
2020-11-28,"Ohio State cancels a game after a coronavirus outbreak, potentially imperiling its Big Ten chances.",5.556
2020-11-28,"U.S. coronavirus infections shoot past 13 million, even as the Thanksgiving holiday blurs state reporting.",5.2011111111111115
2020-11-27,"Iran’s Top Nuclear Scientist Killed in Ambush, State Media Say",4.965
2020-11-27,An Australian state declares victory after 28 days with no new cases.,5.69111111111111
2020-11-19,"There were 743,000 new state claims for unemployment insurance filed in the U.S. last week.",4.868333333333334
