headline,pub_date
Did a network of New York clinics ignore rules on who gets vaccinated first?,2020-12-27 22:49:20
The big question for the U.S. vaccine campaign: Who’s next?,2020-12-27 20:56:13
The pandemic is accelerating Turkey’s economic tailspin.,2020-12-27 18:48:10
Battered Turkish Economy Puts a Powerful Erdogan to the Test,2020-12-27 17:18:42
Ex-Military Officers Criticize Spain’s Government and Praise Franco,2020-12-27 15:31:39
"In a Village of Widows, the Opium Trade Has Taken a Deadly Toll",2020-12-27 13:56:33
"Pope Francis welcomed a vaccine’s arrival in Italy, where nearly 10,000 doses were given on Sunday.",2020-12-27 13:29:03
Some E.U. countries will start vaccinations within days. The Dutch are waiting till Jan. 8.,2020-12-27 13:09:58
"In efforts to vaccinate Europeans, a push to overcome skepticism.",2020-12-27 12:52:30
Germany’s vaccine rollout comes after months of preparation.,2020-12-27 11:08:35
"‘The second wave is here,’ and African doctors fear it will be worse than the first.",2020-12-27 10:48:54
"E.U.’s Mass Vaccination Campaign Starts, With Nursing Homes as Focus",2020-12-27 08:33:31
"Canada, France, Japan, Spain, Sweden and Norway find cases of the new coronavirus variant.",2020-12-27 08:20:23
"The E.U. begins its vaccine rollout, aiming to inoculate more than 450 million people.",2020-12-27 08:20:19
Welcoming a New Year at an Ancient Festival in Pakistan,2020-12-27 08:00:15
"Central and Southern California have 0 percent I.C.U. capacity, in a state already low on hospital beds.",2020-12-26 23:29:34
Unemployment aid set to lapse Saturday as Trump resists signing relief bill.,2020-12-26 22:04:49
"Even as health workers receive the vaccine, their family members must wait.",2020-12-26 21:42:17
Thanksgiving travel swelled caseloads less than expected. Could a Christmas surge also be muted?,2020-12-26 20:42:35
A Beloved World War II Photo Comes to Life in a Virtual Reunion,2020-12-26 19:51:28
"The E.U.’s vaccinations are set to begin Sunday, but a few places have jumped the gun.",2020-12-26 19:16:39
The pandemic’s blow to performing artists may create a ‘great cultural depression.’,2020-12-26 18:10:52
"In its first wave, New York City was overwhelmed by a crush of bodies. Now it’s better prepared.",2020-12-26 16:38:10
"Japan, Spain, France, Sweden and Canada find cases of the new coronavirus variant.",2020-12-26 16:15:56
Austria enters its third lockdown. Israel is set to follow suit.,2020-12-26 16:04:41
"Snail, Fish and Sheep Soup, Anyone? Savory New Finds at Pompeii",2020-12-26 15:51:07
A nurse recalls 10 grueling months: ‘That’s how we took care of Louisiana.’,2020-12-26 15:20:39
"The truck jam at a U.K. port is easing, days after France reopened its border.",2020-12-26 14:53:08
"‘The second wave is here,’ and African doctors fear it will hit the continent harder than the first.",2020-12-26 14:53:08
A citizen journalist who chronicled Wuhan’s epidemic is going on trial.,2020-12-26 14:53:07
"In a shift, more Americans say they are eager to get vaccinated.",2020-12-26 14:53:07
A teacher in Iran bought hundreds of tablets for schoolchildren who could not afford them.,2020-12-26 14:53:06
"Vaccines promise an end to the pandemic, but that future will not be evenly distributed.",2020-12-26 14:53:06
"It’s lonely on the top, and in the lodge, as ski resorts struggle.",2020-12-26 14:53:05
Truck Jam Eases at U.K. Port Days After France Reopens Border,2020-12-26 14:07:29
"George Blake, British Spy Who Betrayed the West, Dies at 98",2020-12-26 12:29:04
Brazil Is Famous for Its Meat. But Vegetarianism Is Soaring.,2020-12-26 10:00:18
1895: Wretched Weather Mars Christmas in London,2020-12-26 09:00:03
"As Virus Resurges in Africa, Doctors Fear the Worst Is Yet to Come",2020-12-26 08:00:19
France and Japan report cases of the virus variant that prompted lockdowns in Britain.,2020-12-26 05:08:31
She Chronicled China’s Crisis. Now She Is Accused of Spreading Lies.,2020-12-26 02:33:15
Duke women’s basketball is ending its season early because of Covid concerns.,2020-12-26 00:16:37
The relief bill’s fate is uncertain as the clock runs down on unemployment aid.,2020-12-25 23:54:01
"Brexit Deal Done, Britain Now Scrambles to See How It Will Work",2020-12-25 21:45:03
Images of Light: Christmas Services Penetrate Darkness Around the World,2020-12-25 21:40:52
"Turkey announces a good result for a Chinese vaccine, but with little backup data.",2020-12-25 21:08:27
"London is giving homeless people shelter, and the ability to avoid the coronavirus.",2020-12-25 20:09:34
"In a first for the Moderna vaccine, a doctor in Boston reported suffering a severe allergic reaction.",2020-12-25 19:17:22
A Texas funeral home director learns the hard way to ‘never let your guard down.’,2020-12-25 18:57:41
"With Pandemic Raging, London Homeless Take Shelter in Hotels for a While",2020-12-25 18:23:55
‘Box’ or Gem? A Scramble to Save Asia’s Modernist Buildings,2020-12-25 18:10:04
‘It’s OK to let go’: A nurse’s goodbye to her father.,2020-12-25 16:45:39
Russian Police Arrest a Top Navalny Ally,2020-12-25 16:17:05
"In his annual Christmas address, Pope Francis urges equitable vaccine access for ‘the health of humanity.’",2020-12-25 16:05:39
The U.S. requirement of a negative test for all U.K. travelers adds to Britain’s isolation.,2020-12-25 16:00:08
Pope Francis Makes Christmas Appeal for Nations to Share Vaccines,2020-12-25 15:41:32
‘Just maintain status quo and survive’: U.S. ski resorts brace for another season of big losses.,2020-12-25 15:01:04
Boris Johnson Delivered on Brexit. It May Not Soothe His Unruly Party.,2020-12-25 14:53:35
An Italian bookstore asked for a few volunteers to read to people in lockdown. The response was overwhelming.,2020-12-25 14:28:12
A new vaccine brings back memories of an old one that rescued childhood.,2020-12-25 14:28:11
"In Southern California’s hospitals, Christmas this year is anything but a silent night.",2020-12-25 14:28:11
Remote learning risks widening the achievement gap for disadvantaged U.S. students.,2020-12-25 14:28:11
"Calling on Yankee grit, New England governors urge residents to be cautious ‘a little bit longer.’",2020-12-25 14:28:10
U.K. Increasingly Isolated as U.S. Restricts Travel,2020-12-25 13:51:46
"Stateless, She Became the Face of a Largely Invisible Plight",2020-12-25 10:00:15
Adapting to a Holiday Season Stripped of Its Essence,2020-12-25 10:00:06
"Calling on Yankee grit, New England governors urge residents to be cautious ‘a little bit longer.’",2020-12-25 01:33:58
"Iran gets clearance to buy vaccine, despite sanctions.",2020-12-25 00:26:25
Singapore Airlines rolls out a new digital health passport for passengers.,2020-12-24 23:57:19
