word,count,happs_score,stddev
issue,6,4.48,1.4032
egyptian,7,5.78,1.5556
affiliate,6,5.68,1.2526
islamic,111,4.66,1.5201
state,662,5.28,0.9697
egypt,12,6.26,1.1572
destruction,2,2.26,1.5093
naval,3,5.48,1.2493
vessel,2,5.78,1.2461
blast,11,4.22,2.1217
italian,4,6.48,1.6318
worried,2,2.42,1.1796
greek,4,6.08,1.2591
line,3,4.98,1.2036
just,11,5.76,1.6233
canadian,12,5.84,1.8556
senator,4,4.58,1.4299
affair,3,4.02,1.8349
bombs,8,2.86,2.2679
counter,2,5.44,1.1808
news,21,5.6,1.5518
progress,17,7.26,1.1572
chemical,10,4.18,1.3952
arms,11,5.38,0.9875
germany,19,5.94,1.5703
drops,4,4.96,1.5513
inquiry,16,4.66,1.3793
phone,4,6.44,1.4309
hotels,1,6.26,1.482
sides,8,5.04,1.1773
victory,27,7.98,1.0784
flee,1,3.54,1.0907
hospital,9,3.5,1.6194
built,2,6.24,1.1877
small,4,4.52,1.3589
nuclear,33,3.28,1.7847
torture,4,1.58,1.0515
truth,2,7.42,1.401
commission,2,5.76,1.6483
stands,1,5.28,0.8816
kerry,5,5.06,1.1851
expected,5,5.74,1.1214
bring,1,5.3,0.9949
visit,27,6.54,1.1988
blogger,2,5.46,1.1287
sweden,5,6.28,1.5124
blocked,3,3.64,1.4535
saved,3,6.88,1.507
life,7,7.32,1.6956
general,12,5.32,1.1328
president,29,5.86,2.1094
official,26,5.38,1.028
republican,4,4.42,1.9176
great,3,7.88,1.2061
war,65,1.8,1.4142
killing,18,1.7,1.359
premier,2,6.2,1.0498
took,2,4.76,1.0214
illegal,7,2.86,1.3704
cash,2,7.42,1.6671
gift,1,7.72,1.3407
witnesses,2,4.78,1.4609
indian,20,6.26,1.7706
dispute,5,3.54,1.7286
florida,6,6.7,1.6568
ties,24,5.24,1.4507
findings,3,5.52,1.4741
bones,2,5.18,1.7343
group,27,5.92,1.2095
linked,10,5.46,1.4028
arrested,9,1.64,1.0053
museum,3,6.68,1.463
reports,253,5.0,1.5119
act,3,6.0,1.2936
iraq,15,3.9,1.6568
gains,11,6.82,1.4803
capital,10,5.92,1.2428
maker,4,5.82,1.0437
investigate,11,5.1,1.2976
spy,4,4.24,1.7677
agencies,1,4.92,1.3377
terrorist,6,1.3,0.9091
return,8,5.2,1.4708
suit,1,5.3,1.5811
spotlight,3,6.35,1.3401
israeli,50,4.82,1.746
embassy,3,5.4,1.3401
fox,4,5.46,1.7168
false,20,3.18,1.3506
areas,6,5.34,1.0224
england,3,6.28,1.5258
france,21,6.32,1.3768
rebels,7,4.24,1.5059
control,16,5.38,1.4831
airport,4,5.88,1.8477
role,11,5.68,0.8908
christians,7,6.02,2.0151
twitter,3,5.46,1.9082
muslims,5,4.3,1.3887
bitter,1,3.0,1.2454
gaza,31,4.44,1.3874
suicide,8,1.3,0.8391
station,4,5.16,0.7384
rape,14,1.44,0.7866
echoes,1,5.94,1.3135
tourists,2,6.08,1.5097
prey,1,4.18,1.9968
obama,6,5.94,2.161
difficulty,1,3.38,1.2271
terrorism,7,1.48,0.9089
conference,1,5.26,1.1572
informal,2,5.98,1.4497
conversation,2,6.24,1.4507
makes,3,5.56,1.248
trip,6,7.0,1.5518
moscow,11,5.06,1.4201
pope,12,5.6,1.5649
johnson,15,5.4,1.3702
threats,5,2.88,1.7687
peace,9,7.86,1.3403
set,8,5.58,1.1968
rights,19,6.48,1.555
issues,8,3.9,1.374
minister,16,5.18,1.4097
greece,1,5.76,1.6107
security,27,6.1,1.632
meeting,12,5.46,1.3433
threat,6,2.36,1.3056
afghanistan,15,3.56,1.7861
legacy,1,5.9,1.6067
meet,17,6.38,1.2599
prime,7,6.46,1.2811
advance,3,6.58,1.3262
americans,12,6.5,1.6933
leader,34,6.38,1.3384
head,9,5.96,1.0683
economy,6,4.38,1.6646
disaster,2,1.96,1.428
response,6,5.68,1.2688
scientists,4,6.34,1.4654
religious,3,5.46,2.0123
leaders,32,5.88,1.3192
climate,13,5.8,1.4286
change,6,5.56,1.3426
missing,14,2.98,1.3775
journalist,20,5.54,1.3584
nations,9,6.0,1.5518
flies,1,3.6,1.6782
arabia,3,5.4,1.6413
diplomatic,3,5.82,1.6374
members,3,5.66,1.2224
trade,10,6.18,1.0039
amid,46,5.08,1.14
terror,4,1.76,1.0012
alert,2,5.28,1.8075
murder,2,1.48,1.015
rate,6,5.34,1.2224
year,3,5.38,1.3536
report,469,4.76,1.3334
says,227,5.28,1.1959
powerful,3,7.08,1.5365
rebel,2,4.38,1.6022
reported,142,5.12,1.2558
wants,4,5.38,1.3231
immediately,1,5.66,1.1359
hits,4,4.98,2.1899
southern,8,5.64,1.6258
sending,2,5.8,0.9258
handling,5,5.28,1.0887
child,8,7.24,1.5592
allegations,2,3.84,1.4479
guide,2,6.1,1.165
soldiers,9,5.38,1.6399
suspect,5,3.14,1.3095
spoke,1,5.8,0.9035
say,33,5.54,0.9941
battle,15,2.98,1.7319
indians,1,6.3,1.6933
spread,11,5.48,1.1292
businessman,2,5.42,1.3864
dies,8,2.08,1.5628
health,21,7.22,1.2501
media,81,5.62,1.8058
abroad,5,6.96,1.2282
reporting,42,5.12,1.1718
california,7,6.08,1.5097
shooting,7,2.52,1.7407
status,4,5.62,1.1761
unity,3,6.92,1.7478
economic,6,5.36,1.6874
adds,4,5.5,0.953
commander,3,5.26,1.5093
strike,19,3.96,1.3547
kill,8,1.56,1.0529
prominent,4,6.26,1.1031
iranian,17,4.22,1.148
mass,4,5.44,1.1095
grave,3,2.56,1.8534
army,10,4.48,2.0126
lawyers,3,4.26,1.8715
face,5,6.12,1.1718
burns,1,2.78,1.4469
coal,4,4.96,1.7138
delayed,4,3.24,1.1877
summer,4,6.4,2.3905
turkish,8,5.56,1.2149
journalists,11,5.2,1.5119
offices,2,5.0,1.4428
aim,3,5.86,1.1068
meat,1,6.2,2.1381
industry,3,5.38,1.3076
cancer,3,1.54,1.073
risks,2,3.78,1.7646
billion,4,7.56,1.6679
protests,16,4.24,1.6358
violence,19,1.86,1.05
jason,2,5.12,1.3192
prisoner,5,2.86,1.8518
exchange,2,5.68,1.1683
cases,51,4.82,0.919
past,7,4.62,1.6022
agency,15,5.26,0.9216
press,6,5.36,1.2249
far,4,4.38,1.817
homes,4,6.62,1.2436
plan,9,6.14,1.2779
called,8,5.6,1.1066
donations,1,6.56,1.3118
refugees,4,3.06,1.6587
american,10,6.74,1.5228
finds,50,5.94,1.2521
women,15,7.12,1.4658
hope,5,7.38,1.3076
students,10,6.28,1.8299
mexico,11,5.84,1.7186
force,3,4.0,1.6903
toll,5,4.06,1.0956
banned,6,2.88,1.2879
used,13,4.6,1.4846
dead,22,2.0,1.3248
strikes,18,4.02,1.3626
flow,2,5.44,1.5928
foreign,16,5.68,1.6956
weapons,9,2.4,1.6903
using,5,5.0,1.0498
poison,4,1.94,1.1502
gas,6,4.76,1.6483
wall,1,4.98,0.9581
street,7,5.44,0.8369
journal,1,5.7,1.3132
reporter,2,5.16,1.3456
political,7,4.12,1.5205
connections,1,6.31,1.2111
jewish,6,5.72,1.0506
paper,2,5.8,1.1952
sees,6,5.76,1.4078
plot,7,5.26,1.3822
destroy,3,2.52,1.8097
israel,56,4.78,1.7296
fall,4,4.04,1.9687
voice,6,5.76,1.0606
experimental,1,5.84,1.4479
tested,4,5.16,1.1132
shows,15,6.08,1.0467
led,5,5.48,1.1292
charges,8,3.94,1.5308
human,10,6.26,1.6389
crimes,13,2.14,1.3704
ahead,8,6.08,1.3679
rome,2,6.98,1.4213
factory,1,5.08,1.4961
global,10,6.0,1.4846
poverty,1,1.98,1.1156
making,1,6.24,1.1877
big,11,6.22,1.5022
pilot,2,6.0,1.069
acknowledged,1,6.1,1.4321
cutting,1,4.08,1.3974
wrong,1,3.14,0.9691
crash,11,2.6,1.3702
hong,8,4.86,0.9691
kong,8,5.44,1.1808
democracy,2,6.36,1.7233
rough,1,3.54,1.4458
bad,5,2.64,1.4675
annual,4,5.28,1.0506
ethnic,3,5.84,1.3303
region,6,5.14,1.143
describes,6,5.76,1.0797
trends,1,5.94,1.2843
children,30,7.12,1.3498
evidence,10,5.64,1.2578
palestinian,47,4.62,1.6022
lets,2,5.58,1.012
fingers,1,5.58,1.1445
talking,2,6.46,1.2324
houses,1,6.16,1.6333
parliament,13,4.98,1.2856
quick,1,6.02,1.6349
fix,2,6.28,1.5258
ministry,3,5.58,1.8526
defending,1,5.22,1.5022
conduct,3,5.14,1.325
million,20,7.38,1.427
lack,2,3.16,1.2835
basic,1,5.16,1.3456
backs,8,5.34,1.4373
tactics,4,5.3,1.5811
military,49,4.78,1.753
government,20,4.64,1.6383
changes,3,5.06,1.3157
law,5,4.9,1.5551
expenses,1,3.32,1.3468
investigation,7,4.02,1.4776
assembly,2,5.6,1.088
armed,3,3.84,1.8556
