word,count,happs_score,stddev
million,1,7.38,1.427
claim,23,5.18,1.4941
shows,4,6.08,1.0467
soccer,1,6.44,1.5407
feeling,1,5.7,1.5152
strain,1,3.73,1.8071
plays,1,6.72,1.5784
gains,3,6.82,1.4803
stream,3,6.42,1.4995
site,1,5.32,0.7939
backs,3,5.34,1.4373
european,3,5.94,1.1678
claims,45,4.72,1.4434
brazil,2,6.1,1.359
votes,1,6.08,1.5758
faces,3,6.2,1.4569
fraud,1,2.3,1.1824
nuclear,10,3.28,1.7847
finds,4,5.94,1.2521
evidence,6,5.64,1.2578
agency,4,5.26,0.9216
investigating,4,4.84,1.1669
voices,1,5.56,1.5005
united,1,7.32,1.2027
states,1,5.64,1.2578
victory,2,7.98,1.0784
chinese,4,5.64,1.4813
helped,2,7.28,1.2943
spread,4,5.48,1.1292
false,2,3.18,1.3506
firm,1,5.32,1.1683
state,77,5.28,0.9697
russian,35,5.52,1.7052
russians,3,5.2,1.3851
status,1,5.62,1.1761
southern,1,5.64,1.6258
city,4,5.76,1.546
remains,1,4.42,1.4441
german,4,5.34,1.394
cyber,1,5.88,1.4797
chief,3,6.18,1.1551
removed,1,3.72,1.3856
ties,2,5.24,1.4507
russia,39,5.5,1.374
doubts,1,3.3,1.4321
identity,1,5.98,1.1156
spark,1,6.26,1.6637
does,1,5.22,1.2501
recognize,1,6.08,1.4119
north,7,5.52,1.2162
korea,9,5.34,1.3793
supports,1,6.22,1.5292
illegal,2,2.86,1.3704
news,2,5.6,1.5518
residents,1,5.66,1.2715
newly,2,6.5,1.2495
bishop,1,5.3,1.6194
child,2,7.24,1.5592
abuse,4,1.88,1.2395
red,1,5.56,1.6183
silence,1,5.14,1.738
arms,1,5.38,0.9875
sales,1,5.8,1.1066
military,8,4.78,1.753
crossed,1,4.7,1.374
river,1,6.68,1.3316
marked,1,4.92,1.2911
defensive,1,4.0,1.5253
progress,2,7.26,1.1572
south,6,6.16,1.6081
calls,3,5.42,1.0319
israel,1,4.78,1.7296
new,22,6.82,1.1373
called,1,5.6,1.1066
forum,1,5.94,1.2521
air,3,6.8,1.6537
broken,2,3.02,1.4068
multiple,1,5.7,1.4604
points,2,6.04,1.4702
says,22,5.28,1.1959
major,3,5.76,1.4223
claimed,3,5.4,1.178
ship,2,5.96,1.2282
carrying,1,5.26,1.2747
stolen,1,2.5,1.3887
grain,3,5.84,1.2675
allowed,1,5.96,1.7375
lebanon,1,4.62,1.3536
contains,1,5.71,1.2076
orders,2,4.24,1.4786
search,1,5.44,1.1808
results,1,5.9,1.374
high,2,6.64,1.2081
court,2,3.78,1.799
sides,1,5.04,1.1773
prince,1,6.44,1.3426
harry,1,5.24,1.2545
media,13,5.62,1.8058
forces,5,4.18,1.5868
bringing,1,6.04,1.1421
miles,1,5.3,1.165
occupied,1,5.04,1.3395
want,1,5.7,1.3439
invasion,2,3.42,2.0212
hits,1,4.98,2.1899
nerve,1,4.82,1.4815
reports,32,5.0,1.5119
increase,2,6.56,1.1095
cases,8,4.82,0.919
despite,3,4.48,1.3438
virus,3,2.08,1.3377
responsibility,1,5.72,1.6542
attack,1,2.42,1.4299
italian,1,6.48,1.6318
near,3,5.72,1.6041
advances,1,6.24,1.3486
amid,7,5.08,1.14
highway,1,5.48,1.2656
described,1,5.58,1.1445
chancellor,1,5.18,1.4803
fighting,6,2.76,1.5722
accused,1,2.92,1.5497
hundreds,2,5.96,1.6655
thousands,1,6.14,1.0692
went,1,4.88,1.4518
intended,1,5.2,1.0498
broader,1,5.58,1.2631
war,16,1.8,1.4142
bold,1,5.66,1.7912
based,1,5.26,0.7508
calling,1,5.74,1.2586
steel,3,5.08,1.1578
plant,4,6.74,1.3524
assault,1,2.56,1.6557
tries,2,5.58,1.2631
economy,1,4.38,1.6646
widespread,3,4.8,1.1429
strikes,3,4.02,1.3626
offensive,1,3.02,1.5583
surrounded,1,4.72,1.5524
holding,1,5.64,1.1205
hit,3,4.58,1.808
sites,2,6.0,1.1606
western,6,6.1,1.359
powers,1,6.66,1.3188
look,2,5.54,1.1287
possible,2,6.24,1.598
use,3,5.64,1.1563
chemical,1,4.18,1.3952
agent,1,5.08,1.4405
satellite,1,5.72,1.3559
images,1,6.34,1.2224
bodies,1,4.68,1.6218
lay,2,5.58,1.2792
vote,2,5.8,1.5779
accept,1,6.42,1.0708
result,1,6.0,1.1606
big,1,6.22,1.5022
prize,2,7.62,1.2103
pentagon,1,5.02,1.6098
doubt,2,3.16,1.2675
pulling,1,4.36,1.3962
troops,5,5.16,2.0639
battle,3,2.98,1.7319
make,1,6.0,0.9897
disagree,1,3.68,1.2526
destroy,1,2.52,1.8097
landing,1,5.82,1.2403
shoot,1,3.46,1.6686
cities,3,5.58,1.4995
order,2,5.22,1.2337
spare,1,5.74,1.5093
joined,1,6.3,1.0926
outside,2,5.8,1.6782
send,1,5.38,1.3536
defense,7,5.18,1.5345
ministry,2,5.58,1.8526
said,1,5.38,0.901
planes,1,5.9,1.6812
indicate,1,5.48,0.9528
remain,2,5.52,1.1471
restaurant,1,7.06,1.2521
bombing,1,2.24,1.4786
killing,1,1.7,1.359
dozens,2,5.7,1.2817
control,2,5.38,1.4831
strategic,1,5.9,1.4743
hint,1,6.04,1.5903
videos,4,6.52,1.581
eastern,2,5.76,1.4223
fears,1,2.68,1.2688
built,1,6.24,1.1877
long,2,4.74,1.6637
competing,1,5.02,1.6597
arise,1,6.2,1.1249
spain,1,6.2,1.6903
british,3,5.66,1.6977
officials,7,4.76,1.3637
say,3,5.54,0.9941
pulled,1,4.76,1.1528
protesters,2,3.8,1.6903
push,1,4.44,1.473
snow,1,6.32,2.1801
beijing,1,5.24,1.685
mail,1,6.36,1.6874
abroad,1,6.96,1.2282
experts,3,6.28,1.4434
rare,2,6.02,1.7201
strike,3,3.96,1.3547
minister,3,5.18,1.4097
visits,1,6.4,1.2936
discuss,15,5.96,1.2282
leaders,2,5.88,1.3192
held,2,5.28,1.2784
emergency,9,3.06,1.7775
meeting,2,5.46,1.3433
deadly,2,2.9,1.8171
blast,1,4.22,2.1217
china,3,5.4,1.7023
discussed,2,5.56,1.4591
taiwan,1,5.36,1.2739
threats,1,2.88,1.7687
head,2,5.96,1.0683
visiting,1,6.6,1.2122
security,3,6.1,1.632
draft,1,5.02,1.4068
safety,1,6.18,1.7343
concerns,1,4.06,1.5572
daily,2,5.4,1.0302
podcast,1,5.8,1.3401
heat,1,4.16,1.8223
wave,1,6.34,1.1537
climate,1,5.8,1.4286
