abstract,document_type,_id,keywords,news_desk,print_page,print_section,pub_date,section_name,snippet,source,subsection_name,type_of_material,uri,web_url,word_count,byline.original,headline.main,headline.kicker,headline.print_headline,multimedia.caption,multimedia.credit,multimedia.default.url,multimedia.default.height,multimedia.default.width,multimedia.thumbnail.url,multimedia.thumbnail.height,multimedia.thumbnail.width,headline,text
Officials are meeting on Monday on a range of issues about Afghanistan.,article,nyt://article/1258a66e-335b-5885-9837-efec6f944416,[],Foreign,,,2021-08-28 22:32:08+00:00,World,Officials are meeting on Monday on a range of issues about Afghanistan.,The New York Times,Asia Pacific,Live Blog Post,nyt://article/1258a66e-335b-5885-9837-efec6f944416,https://www.nytimes.com/live/2021/08/28/world/afghanistan-taliban-biden-isis-news/turkey-qatar-and-g7-to-discuss-the-future-of-kabul-airport,246,By Lara Jakes,"Turkey, Qatar and G7 to discuss the future of Kabul airport.",,,A member of the Taliban’s Badri 313 Battalion guarding a gate at the Kabul airport on Saturday.,Jim Huylebroek for The New York Times,https://static01.nyt.com/images/2021/08/28/world/28afghanistan-briefing-airport/merlin_193804980_afe1cc8a-0350-4218-bf61-c24587c1bfc4-articleLarge.jpg,400,600,https://static01.nyt.com/images/2021/08/28/world/28afghanistan-briefing-airport/28afghanistan-briefing-airport-thumbStandard.jpg,75,75,"Turkey, Qatar and G7 to discuss the future of Kabul airport.","Turkey, Qatar and G7 to discuss the future of Kabul airport. Officials are meeting on Monday on a range of issues about Afghanistan. Officials are meeting on Monday on a range of issues about Afghanistan."
"Russian political prisoners today are subjected to “psychological” pressure, said the opposition leader Aleksei A. Navalny, who is forced to watch state TV for more than eight hours a day.",article,nyt://article/278d3981-207e-581c-80b6-1e3e42cd01c0,"[{'name': 'Person', 'value': 'Navalny, Aleksei A', 'rank': 1}, {'name': 'Subject', 'value': 'Political Prisoners', 'rank': 2}, {'name': 'Person', 'value': 'Putin, Vladimir V', 'rank': 3}, {'name': 'Location', 'value': 'Russia', 'rank': 4}, {'name': 'Subject', 'value': 'Assassinations and Attempted Assassinations', 'rank': 5}, {'name': 'Subject', 'value': 'Politics and Government', 'rank': 6}]",Foreign,1,A,2021-08-25 15:58:33+00:00,World,"Russian political prisoners today are subjected to “psychological” pressure, said the opposition leader Aleksei A. Navalny, who is forced to watch state TV for more than eight hours a day.",The New York Times,Europe,News,nyt://article/278d3981-207e-581c-80b6-1e3e42cd01c0,https://www.nytimes.com/2021/08/25/world/europe/navalny-jail-prison.html,1447,By Andrew E. Kramer,"In First Interview From Jail, an Upbeat Navalny Discusses Prison Life",,Navalny is Given Propoganda Diet,"Aleksei A. Navalny in May. “Imagine something like a Chinese labor camp,” he said of his prison experience, adding, “There is constant control and a culture of snitching.”",Dimitar Dilkoff/Agence France-Presse — Getty Images,https://static01.nyt.com/images/2021/08/24/world/00navalny1/00navalny1-articleLarge.jpg,400,600,https://static01.nyt.com/images/2021/08/24/world/00navalny1/00navalny1-thumbStandard.jpg,75,75,"In First Interview From Jail, an Upbeat Navalny Discusses Prison Life","In First Interview From Jail, an Upbeat Navalny Discusses Prison Life Russian political prisoners today are subjected to “psychological” pressure, said the opposition leader Aleksei A. Navalny, who is forced to watch state TV for more than eight hours a day. Russian political prisoners today are subjected to “psychological” pressure, said the opposition leader Aleksei A. Navalny, who is forced to watch state TV for more than eight hours a day."
"The militants have engaged the former officials Hamid Karzai and Abdullah Abdullah, as well as Moscow, to seek help in building an “inclusive” government while cementing their rule.",article,nyt://article/39d5c676-2f79-578c-8e6a-f5ccd00ae772,"[{'name': 'Subject', 'value': 'Afghanistan War (2001- )', 'rank': 1}, {'name': 'Organization', 'value': 'Taliban', 'rank': 2}, {'name': 'Person', 'value': 'Karzai, Hamid', 'rank': 3}, {'name': 'Location', 'value': 'Kabul (Afghanistan)', 'rank': 4}, {'name': 'Location', 'value': 'Afghanistan', 'rank': 5}, {'name': 'Person', 'value': 'Biden, Joseph R Jr', 'rank': 6}, {'name': 'Location', 'value': 'United States', 'rank': 7}, {'name': 'Subject', 'value': 'Airlifts', 'rank': 8}, {'name': 'Subject', 'value': 'Politics and Government', 'rank': 9}, {'name': 'Location', 'value': 'Panjshir Valley (Afghanistan)', 'rank': 10}, {'name': 'Person', 'value': 'Abdullah, Abdullah', 'rank': 11}, {'name': 'Person', 'value': 'Baradar, Abdul Ghani', 'rank': 12}, {'name': 'Person', 'value': 'Haqqani, Khalil Ahmed', 'rank': 13}, {'name': 'Person', 'value': 'Saleh, Amrullah', 'rank': 14}, {'name': 'Subject', 'value': 'International Relations', 'rank': 15}, {'name': 'Subject', 'value': 'Evacuations and Evacuees', 'rank': 16}]",Foreign,1,A,2021-08-22 23:05:52+00:00,World,"The militants have engaged the former officials Hamid Karzai and Abdullah Abdullah, as well as Moscow, to seek help in building an “inclusive” government while cementing their rule.",The New York Times,Asia Pacific,News,nyt://article/39d5c676-2f79-578c-8e6a-f5ccd00ae772,https://www.nytimes.com/2021/08/22/world/asia/afghanistan-taliban-biden-karzai.html,1465,By Roger Cohen,Chaos Persists at Kabul Airport as Taliban Discuss New Government,,Chaos at Airport as Taliban Work on Creating State,Afghans waving their documents at U.S. Marines standing guard atop the blast walls at the Kabul airport on Sunday.,Jim Huylebroek for The New York Times,https://static01.nyt.com/images/2021/08/22/world/22-Afghan-Ledeall1/merlin_193550511_cb95adbb-3657-478d-83b6-6446270e300b-articleLarge.jpg,400,600,https://static01.nyt.com/images/2021/08/22/world/22-Afghan-Ledeall1/22-Afghan-Ledeall1-thumbStandard.jpg,75,75,Chaos Persists at Kabul Airport as Taliban Discuss New Government,"Chaos Persists at Kabul Airport as Taliban Discuss New Government The militants have engaged the former officials Hamid Karzai and Abdullah Abdullah, as well as Moscow, to seek help in building an “inclusive” government while cementing their rule. The militants have engaged the former officials Hamid Karzai and Abdullah Abdullah, as well as Moscow, to seek help in building an “inclusive” government while cementing their rule."
,article,nyt://article/742198da-5ab4-5d32-bb1e-de737d904342,[],Foreign,,,2021-08-22 16:03:45+00:00,World,,The New York Times,Asia Pacific,Live Blog Post,nyt://article/742198da-5ab4-5d32-bb1e-de737d904342,https://www.nytimes.com/live/2021/08/22/world/taliban-afghanistan-biden-news/g7-leaders-will-meet-virtually-on-tuesday-to-discuss-afghanistan,260,By Thomas Kaplan,G7 leaders will meet virtually on Tuesday to discuss Afghanistan.,,,"A gathering of the Group of 7 leaders in Cornwall, England, in June. Britain holds the group presidency this year.",Pool photo by Leon Neal,https://static01.nyt.com/images/2021/08/22/world/22afghanistan-briefing-g7/merlin_189052851_c5bcd99f-e43e-4834-a273-8daf272590a0-articleLarge.jpg,399,600,https://static01.nyt.com/images/2021/08/22/world/22afghanistan-briefing-g7/22afghanistan-briefing-g7-thumbStandard.jpg,75,75,G7 leaders will meet virtually on Tuesday to discuss Afghanistan.,G7 leaders will meet virtually on Tuesday to discuss Afghanistan.
Exhibits at the house where the writer lived in the early 1800s are being updated to add historical context. Not everyone is thrilled.,article,nyt://article/c84a86da-2f8d-503b-a87d-21e28d26aa94,"[{'name': 'Subject', 'value': 'Museums', 'rank': 1}, {'name': 'Subject', 'value': 'Slavery (Historical)', 'rank': 2}, {'name': 'Person', 'value': 'Austen, Jane', 'rank': 3}, {'name': 'Subject', 'value': 'Colonization', 'rank': 4}, {'name': 'Location', 'value': 'Hampshire (England)', 'rank': 5}, {'name': 'Subject', 'value': 'Black Lives Matter Movement', 'rank': 6}]",Express,,,2021-04-27 13:35:18+00:00,World,Exhibits at the house where the writer lived in the early 1800s are being updated to add historical context. Not everyone is thrilled.,The New York Times,Europe,News,nyt://article/c84a86da-2f8d-503b-a87d-21e28d26aa94,https://www.nytimes.com/2021/04/27/world/europe/jane-austen-slavery-museum.html,1076,By Jenny Gross,A Jane Austen Museum Wants to Discuss Slavery. Will Her Fans Listen?,,,"The house in Chawton, England, where the author Jane Austen lived for eight years is now a museum dedicated to her life. She died in 1817.",Luke Wolagiewicz for The New York Times,https://static01.nyt.com/images/2021/04/21/multimedia/00xp-jane-austen-1/merlin_90406354_3e65ecb7-7f9c-4b6a-80be-332d5fb878d7-articleLarge.jpg,400,600,https://static01.nyt.com/images/2021/04/21/multimedia/00xp-jane-austen-1/merlin_90406354_3e65ecb7-7f9c-4b6a-80be-332d5fb878d7-thumbStandard.jpg,75,75,A Jane Austen Museum Wants to Discuss Slavery. Will Her Fans Listen?,A Jane Austen Museum Wants to Discuss Slavery. Will Her Fans Listen? Exhibits at the house where the writer lived in the early 1800s are being updated to add historical context. Not everyone is thrilled. Exhibits at the house where the writer lived in the early 1800s are being updated to add historical context. Not everyone is thrilled.
,article,nyt://article/8114590a-4887-5f37-9d9b-6c4a482ada76,[],Foreign,,,2021-03-25 12:30:23+00:00,World,,The New York Times,,News,nyt://article/8114590a-4887-5f37-9d9b-6c4a482ada76,https://www.nytimes.com/2021/03/25/world/president-biden-is-expected-to-discuss-the-pandemic-today-at-his-first-news-conference.html,152,By The New York Times,President Biden is expected to discuss the pandemic today at his first news conference.,,,President Biden will face reporters on Thursday afternoon.,Anna Moneymaker for The New York Times,https://static01.nyt.com/images/2021/03/25/world/25virus-briefing-biden-1/merlin_185459385_d21fc68b-b693-4a06-b0cb-74d8697ece63-articleLarge.jpg,400,600,https://static01.nyt.com/images/2021/03/25/world/25virus-briefing-biden-1/25virus-briefing-biden-1-thumbStandard.jpg,75,75,President Biden is expected to discuss the pandemic today at his first news conference.,President Biden is expected to discuss the pandemic today at his first news conference.
,article,nyt://article/09dfc7d9-04ca-57c6-9290-2ad6b909b8a1,[],Foreign,,,2021-03-08 22:14:17+00:00,World,,The New York Times,Europe,Live Blog Post,nyt://article/09dfc7d9-04ca-57c6-9290-2ad6b909b8a1,https://www.nytimes.com/live/2021/03/08/world/meghan-harry-oprah-interview/harry-and-meghan-discuss-the-financial-strain-of-independence,604,By Marie Fazio,Harry and Meghan discuss the financial strain of independence.,,,"Prince Harry and Meghan, the Duke and Duchess of Sussex, leave after visiting Canada House on Jan. 7, 2020, in London.",Frank Augstein/Associated Press,https://static01.nyt.com/images/2021/03/08/multimedia/08royals-briefing-cost/merlin_181781652_c96790ea-cb6e-4720-892e-b669b519e004-articleLarge.jpg,482,600,https://static01.nyt.com/images/2021/03/08/multimedia/08royals-briefing-cost/08royals-briefing-cost-thumbStandard.jpg,75,75,Harry and Meghan discuss the financial strain of independence.,Harry and Meghan discuss the financial strain of independence.
Two religious leaders with much in common held a historic meeting in the Shiite holy city of Najaf.,article,nyt://article/1bfb0f1a-4634-59d8-8c6f-cf2b6d869484,[],Foreign,,,2021-03-06 09:22:58+00:00,World,Two religious leaders with much in common held a historic meeting in the Shiite holy city of Najaf.,The New York Times,Middle East,Live Blog Post,nyt://article/1bfb0f1a-4634-59d8-8c6f-cf2b6d869484,https://www.nytimes.com/live/2021/03/06/world/pope-francis-iraq-visit/a-revered-shiite-cleric-and-the-pope-discuss-injustice-and-oppression,446,By Jane Arraf and Jason Horowitz,A revered Shiite cleric and the pope discuss injustice and oppression.,,,"Pope Francis, right, meeting with Grand Ayatollah Ali al-Sistani in Najaf, Iraq, on Saturday.","Vatican Media, via Associated Press",https://static01.nyt.com/images/2021/03/06/world/06pope-iraq-briefing-sistani/merlin_184646391_db35d4f6-ea9b-4457-b8ee-01651b7435f4-articleLarge.jpg,439,600,https://static01.nyt.com/images/2021/03/06/world/06pope-iraq-briefing-sistani/06pope-iraq-briefing-sistani-thumbStandard.jpg,75,75,A revered Shiite cleric and the pope discuss injustice and oppression.,A revered Shiite cleric and the pope discuss injustice and oppression. Two religious leaders with much in common held a historic meeting in the Shiite holy city of Najaf. Two religious leaders with much in common held a historic meeting in the Shiite holy city of Najaf.
,article,nyt://article/dcb8747f-57d4-5f4b-b5a3-1cc80df85f2f,[],Politics,,,2021-02-11 02:41:32+00:00,World,,The New York Times,,Live Blog Post,nyt://article/dcb8747f-57d4-5f4b-b5a3-1cc80df85f2f,https://www.nytimes.com/live/2021/02/10/world/covid-19-coronavirus/the-first-lady-and-the-second-gentleman-called-nurses-to-discuss-their-covid-19-concerns,364,By Katie Rogers,The first lady and the second gentleman called nurses to discuss their Covid-19 concerns.,,,Jill Biden and Doug Emhoff hosted a series of phone calls on Wednesday with nurses’ unions.,Chandler West/White House Photo Office,https://static01.nyt.com/images/2021/02/10/world/10virus-briefing-first-lady/10virus-briefing-first-lady-articleLarge.jpg,400,600,https://static01.nyt.com/images/2021/02/10/world/10virus-briefing-first-lady/10virus-briefing-first-lady-thumbStandard.jpg,75,75,The first lady and the second gentleman called nurses to discuss their Covid-19 concerns.,The first lady and the second gentleman called nurses to discuss their Covid-19 concerns.
,article,nyt://article/9c397633-8f61-509d-ac84-55f3422dc1ed,[],Foreign,,,2021-01-24 18:12:14+00:00,World,,The New York Times,,Live Blog Post,nyt://article/9c397633-8f61-509d-ac84-55f3422dc1ed,https://www.nytimes.com/live/2021/01/24/world/covid-19-coronavirus/a-bipartisan-group-of-lawmakers-met-with-biden-administration-officials-to-discuss-1-9-trillion-stimulus-plan,767,By Emily Cochrane,A bipartisan group of lawmakers met with Biden administration officials to discuss $1.9 trillion stimulus plan.,,,"From left, Senators Mark Warner, Democrat of Virginia; Susan Collins, Republican of Maine; and Joe Manchin III, Democrat of West Virginia, speaking to reporters after a news conference to introduce a Covid relief bill at the Capitol on Dec. 14.",Anna Moneymaker for The New York Times,https://static01.nyt.com/images/2021/01/24/us/politics/24virus-briefing-stimulus1/24virus-briefing-stimulus1-articleLarge.jpg,400,600,https://static01.nyt.com/images/2021/01/24/us/politics/24virus-briefing-stimulus1/24virus-briefing-stimulus1-thumbStandard.jpg,75,75,A bipartisan group of lawmakers met with Biden administration officials to discuss $1.9 trillion stimulus plan.,A bipartisan group of lawmakers met with Biden administration officials to discuss $1.9 trillion stimulus plan.
