headline,happs_score
A study suggests many people in the U.S. gained more than the ‘quarantine 15.’,5.627272727272728
Foes in Afghan War See a Common Threat of Islamic State’s Return,4.411
Live in one state and work in another? It can be tricky getting a vaccination.,5.436923076923078
Florida is the latest state to widen eligibility for vaccinations.,5.485714285714286
"Cologne Catholic Church Failed in Handling Sex Abuse Claims, Report Finds",4.8244444444444445
Latest Claim in the Effort Against Aung San Suu Kyi: A Bag of Cash,5.385454545454546
"The W.H.O. and the head of the European Commission urge countries to keep using AstraZeneca vaccines, arguing benefits outweigh risks.",5.314666666666667
"To save the summer tourist season, travel certificates are proposed in Europe.",5.906666666666667
A Texas noodle shop is vandalized after its owner said on TV that lifting the state’s mask mandate was ‘selfish.’,5.42
Why the Rape Claim Against Australia’s Attorney General Seems Familiar,4.564444444444444
India’s cases rise with an outbreak in the state that includes Mumbai.,5.368888888888889
"It wasn’t Queen Elizabeth or Prince Philip who commented on the baby’s skin color, Harry said.",5.492727272727273
Mexico Set to Reshape Power Sector to Favor the State,5.4688888888888885
"The U.S. risks a new surge as variants spread and restrictions are relaxed, Fauci said.",5.024444444444445
Parents urged children to burn masks at a demonstration on the steps of the Idaho State Capitol.,5.29
"‘I live a nightmare every day,’ said the owner of an overwhelmed funeral home.",4.838
"India’s Covaxin shots could be effective and safe, interim trial results suggest.",5.16
It ‘Just Didn’t Happen’: Australia’s Attorney General Denies Rape Claim,4.215999999999999
Israeli Court Says Converts to Non-Orthodox Judaism Can Claim Citizenship,4.943333333333333
New analysis shows that state revenue in U.S. did not take the hit in the past year that economists expected.,5.314444444444444
The E.U. will propose a vaccine passport system for Europe.,5.351999999999999
"Amid turmoil over elections, rising cases in Somalia fuel talk of a new lockdown.",5.298181818181818
Iran Rejects Nuclear Deal Talks With U.S. Proposed by Europe,5.3825
Gov. Beshear of Kentucky says his state is leading in the rush to vaccinate teachers.,5.296363636363636
The N.B.A. is investigating after Jeremy Lin said he was called ‘coronavirus’ on court.,5.206
"The top health official in Memphis resigns after the state finds 2,400 wasted doses.",5.392727272727273
California has now lost more people to Covid-19 than any other state in the U.S.,5.235384615384616
She Made a ‘Soul-Destroying’ Rape Claim. Then 3 Others Came Forward.,4.971428571428571
State lawmakers defy governors in a Covid-era battle for power.,4.811428571428571
"One vaccine shot could be enough for people who’ve already had Covid-19, studies suggest.",5.236
"Six million vaccine doses were delayed by bad weather, the White House said.",5.115555555555556
Indian Court Clears Journalist of Defamation Claim in #MeToo Case,5.174285714285714
Biden suggests vaccines will be available for every American ‘by the end of July.’,5.5840000000000005
"New York sues Amazon, claiming the company failed to adequately protect workers from Covid-19.",5.271111111111112
Parliament Rape Claim Roils Australian Government,4.5
Montana becomes the latest state to undo its mask order.,5.295
"The U.S. vaccine rollout is improving in every state, but still hindered by supply.",5.3275
Biden’s Top Challenge Abroad Is Something No One Wants to Talk About,5.467272727272728
