word,count,happs_score,stddev
prince,6,6.44,1.3426
william,1,5.46,1.0539
time,11,5.74,1.209
shows,6,6.08,1.0467
case,14,5.02,1.3013
saddam,1,2.48,1.568
hussein,1,3.62,1.8724
dead,14,2.0,1.3248
school,7,6.26,1.8824
retreat,3,5.18,1.9659
wisconsin,3,5.56,1.4165
summer,2,6.4,2.3905
tested,3,5.16,1.1132
service,4,6.0,1.1606
cuts,2,3.64,1.3962
cost,5,4.1,1.4033
york,21,5.62,1.1761
metropolitan,1,6.3,1.6812
area,4,5.44,0.8843
jobs,1,6.32,1.7431
administration,2,4.84,1.5696
ending,2,4.02,1.4213
numbers,3,6.04,1.1421
daily,10,5.4,1.0302
including,1,5.96,0.9026
ohio,3,5.22,1.4184
percent,5,5.34,0.9172
total,1,5.78,0.9538
start,2,6.1,1.5419
dozen,1,5.46,1.1104
stimulus,3,5.68,1.8232
early,7,5.66,1.239
success,2,7.86,1.6414
controlling,1,4.42,2.0513
convicted,4,3.2,1.7728
poison,1,1.94,1.1502
reach,2,5.74,1.3969
violations,2,2.86,1.4287
file,1,5.22,1.2664
paso,1,4.98,1.1865
timeline,1,5.54,1.1287
statements,1,5.46,0.9733
reveals,4,5.96,1.4702
infection,1,2.84,1.6458
doctors,3,5.54,1.6563
health,14,7.22,1.2501
government,13,4.64,1.6383
tried,2,5.48,1.6443
influence,2,5.64,1.2415
protest,9,3.56,1.4591
amid,33,5.08,1.14
cut,2,3.42,1.295
california,6,6.08,1.5097
museum,2,6.68,1.463
human,5,6.26,1.6389
lawmakers,5,4.7,1.4604
told,1,5.08,1.3827
brazil,5,6.1,1.359
help,4,6.08,1.4686
interference,3,4.71,1.7321
britain,5,5.78,1.8767
protected,1,6.6,1.178
democracy,1,6.36,1.7233
developers,1,5.46,1.7168
promising,2,6.64,1.1205
initial,2,5.42,1.0515
second,9,5.38,1.1933
program,3,5.68,1.2196
bishops,1,4.92,1.9466
sex,6,7.44,1.6801
require,3,4.44,1.3118
bodies,2,4.68,1.6218
horses,1,6.84,1.4758
field,2,5.88,1.1891
refugees,1,3.06,1.6587
worldwide,2,6.56,1.2643
common,2,4.92,1.2591
drug,9,3.2,2.0702
scientists,3,6.34,1.4654
beijing,4,5.24,1.685
shot,2,2.5,1.6568
aid,10,6.24,1.3637
plane,7,6.3,1.632
cardinal,2,5.54,1.6062
george,1,5.26,1.0654
knew,1,5.94,1.3001
clergy,2,5.29,1.8819
australian,10,6.26,1.2257
finds,21,5.94,1.2521
appearance,2,5.8,1.4846
diplomat,2,5.28,1.4852
waters,1,6.32,1.1507
press,1,5.36,1.2249
freedom,2,7.9,1.4178
kim,2,5.22,1.5817
saying,3,5.6,0.8571
happiness,1,8.44,0.9723
signs,3,5.54,0.8621
zero,2,3.44,1.6433
local,7,5.46,1.3584
action,3,5.98,1.4213
max,1,5.7,1.233
crash,6,2.6,1.3702
boeing,2,5.24,1.3637
death,23,1.54,1.2811
confusion,1,3.32,1.3619
reign,1,5.06,1.5308
oregon,5,6.0,1.178
announce,1,5.68,0.8676
unity,2,6.92,1.7478
crimes,5,2.14,1.3704
deaths,11,1.64,1.1386
cruise,2,6.7,1.9614
ship,5,5.96,1.2282
passengers,1,5.72,1.0506
return,5,5.2,1.4708
scene,1,5.94,1.3311
sets,3,5.08,1.3377
rules,4,4.28,1.2296
indonesia,1,5.08,1.7478
teen,3,5.92,1.9361
hundreds,8,5.96,1.6655
times,10,5.58,1.1968
hong,4,4.86,0.9691
kong,4,5.44,1.1808
outside,3,5.8,1.6782
deadly,19,2.9,1.8171
mystery,1,5.64,1.849
cities,5,5.58,1.4995
allies,4,6.5,1.2495
marie,1,5.58,1.0319
indian,9,6.26,1.7706
ruled,1,4.92,1.4961
party,4,7.58,1.4581
islamic,27,4.66,1.5201
schools,1,5.98,1.4356
drive,1,6.08,1.5232
reaches,3,5.96,1.3696
sue,3,4.3,2.1595
federal,4,4.94,1.0768
court,9,3.78,1.799
handling,4,5.28,1.0887
test,5,4.06,1.4057
rate,4,5.34,1.2224
highest,3,6.8,1.7613
point,2,5.42,0.9055
central,3,5.6,0.8806
southern,5,5.64,1.6258
low,2,3.66,1.1178
hospital,7,3.5,1.6194
evidence,7,5.64,1.2578
russians,8,5.2,1.3851
just,8,5.76,1.6233
sigh,1,4.16,1.8223
law,2,4.9,1.5551
enforcement,2,4.1,1.4178
battle,9,2.98,1.7319
minnesota,2,5.24,1.5328
republican,2,4.42,1.9176
penn,1,5.42,1.295
delay,3,3.38,1.3231
spring,1,7.16,1.4337
classes,1,5.84,1.3303
urge,2,5.18,1.3045
keeping,1,6.1,1.1112
students,7,6.28,1.8299
understand,1,6.56,1.7043
look,3,5.54,1.1287
cuomo,7,5.16,0.7918
worry,1,2.82,1.7106
reached,2,6.08,1.2591
monday,2,4.3,1.8871
moment,1,5.68,1.1147
questioned,1,4.24,1.2707
football,2,6.34,2.0062
game,4,6.92,1.6015
gets,4,5.84,1.2993
canceled,1,3.24,1.5722
