word,count,happs_score,stddev,2015,2016,2017,2018,2019
kerry,5,5.06,1.1851,3,2,,,
expected,5,5.74,1.1214,2,,1,,
bring,1,5.3,0.9949,1,,,,
visit,27,6.54,1.1988,5,2,,,4
blogger,2,5.46,1.1287,1,,1,,
sweden,5,6.28,1.5124,1,1,,,1
blocked,3,3.64,1.4535,1,,1,,
saved,3,6.88,1.507,1,,,,
life,7,7.32,1.6956,2,1,1,,1
general,12,5.32,1.1328,2,1,1,,1
president,29,5.86,2.1094,5,2,1,2,2
official,26,5.38,1.028,5,2,2,1,
republican,4,4.42,1.9176,1,,,1,
great,3,7.88,1.2061,1,1,,,
war,65,1.8,1.4142,9,5,4,3,
killing,18,1.7,1.359,3,8,1,1,
premier,2,6.2,1.0498,1,1,,,
took,2,4.76,1.0214,1,,,,
illegal,7,2.86,1.3704,1,,,1,
cash,2,7.42,1.6671,1,,,,
gift,1,7.72,1.3407,1,,,,
witnesses,2,4.78,1.4609,1,,,,
indian,20,6.26,1.7706,4,4,2,1,
dispute,5,3.54,1.7286,1,1,1,,1
florida,6,6.7,1.6568,1,,,,
ties,24,5.24,1.4507,6,5,2,2,2
findings,3,5.52,1.4741,2,1,,,
bones,2,5.18,1.7343,1,,,,
group,27,5.92,1.2095,11,5,1,,1
linked,10,5.46,1.4028,5,2,,,1
arrested,9,1.64,1.0053,4,,1,,
museum,3,6.68,1.463,1,,,,
reports,253,5.0,1.5119,47,25,12,10,10
act,3,6.0,1.2936,2,,,1,
iraq,15,3.9,1.6568,6,4,1,1,1
gains,11,6.82,1.4803,3,,,1,
capital,10,5.92,1.2428,1,1,,,1
maker,4,5.82,1.0437,1,,,,
investigate,11,5.1,1.2976,4,1,3,1,
spy,4,4.24,1.7677,1,,,1,
agencies,1,4.92,1.3377,1,,,,
terrorist,6,1.3,0.9091,1,,1,,
return,8,5.2,1.4708,1,1,,1,
suit,1,5.3,1.5811,1,,,,
spotlight,3,6.35,1.3401,1,,,,
israeli,50,4.82,1.746,4,2,,3,2
embassy,3,5.4,1.3401,1,,1,,
fox,4,5.46,1.7168,3,,,,1
false,20,3.18,1.3506,3,,1,3,
areas,6,5.34,1.0224,1,,,,
england,3,6.28,1.5258,1,,1,1,
france,21,6.32,1.3768,1,2,,2,
rebels,7,4.24,1.5059,1,3,,,
control,16,5.38,1.4831,1,1,,1,1
airport,4,5.88,1.8477,1,1,,,
role,11,5.68,0.8908,4,2,,,
christians,7,6.02,2.0151,5,1,1,,
twitter,3,5.46,1.9082,1,,1,,
muslims,5,4.3,1.3887,1,1,,1,2
bitter,1,3.0,1.2454,1,,,,
gaza,31,4.44,1.3874,5,,,1,
suicide,8,1.3,0.8391,3,,2,,
station,4,5.16,0.7384,1,1,,,
rape,14,1.44,0.7866,1,4,2,,1
echoes,1,5.94,1.3135,1,,,,
tourists,2,6.08,1.5097,1,,,,
prey,1,4.18,1.9968,1,,,,
obama,6,5.94,2.161,5,1,,,
difficulty,1,3.38,1.2271,1,,,,
terrorism,7,1.48,0.9089,3,,,1,1
conference,1,5.26,1.1572,1,,,,
informal,2,5.98,1.4497,2,,,,
conversation,2,6.24,1.4507,1,,,1,
makes,3,5.56,1.248,1,1,,,
trip,6,7.0,1.5518,1,,,,
moscow,11,5.06,1.4201,4,,,,1
pope,12,5.6,1.5649,2,1,,,2
johnson,15,5.4,1.3702,1,,,,3
threats,5,2.88,1.7687,1,1,,,1
peace,9,7.86,1.3403,1,1,1,1,1
set,8,5.58,1.1968,2,,,,
rights,19,6.48,1.555,5,3,1,1,
issues,8,3.9,1.374,3,,,,1
minister,16,5.18,1.4097,3,2,,1,2
greece,1,5.76,1.6107,1,,,,
security,27,6.1,1.632,2,3,1,1,
meeting,12,5.46,1.3433,2,,2,3,1
threat,6,2.36,1.3056,3,,,,
