word,count,happs_score,stddev,2020,2021,2022,2023,2024,2025
nuclear,33,3.28,1.7847,2,,10,7,,3
torture,4,1.58,1.0515,,,1,,,
truth,2,7.42,1.401,,,,,,
commission,2,5.76,1.6483,,,,,,
stands,1,5.28,0.8816,,,,,,
kerry,5,5.06,1.1851,,,,,,
expected,5,5.74,1.1214,,1,,1,,
bring,1,5.3,0.9949,,,,,,
visit,27,6.54,1.1988,,,3,5,1,7
blogger,2,5.46,1.1287,,,,,,
sweden,5,6.28,1.5124,1,,1,,,
blocked,3,3.64,1.4535,,,,1,,
saved,3,6.88,1.507,,2,,,,
life,7,7.32,1.6956,,1,1,,,
general,12,5.32,1.1328,,3,1,,2,1
president,29,5.86,2.1094,,4,2,3,4,4
official,26,5.38,1.028,6,4,,4,2,
republican,4,4.42,1.9176,1,1,,,,
great,3,7.88,1.2061,,,,,1,
war,65,1.8,1.4142,4,10,16,4,7,3
killing,18,1.7,1.359,1,,1,1,2,
premier,2,6.2,1.0498,,,,,,
took,2,4.76,1.0214,,,,,,1
illegal,7,2.86,1.3704,1,,2,1,,1
cash,2,7.42,1.6671,,1,,,,
gift,1,7.72,1.3407,,,,,,
witnesses,2,4.78,1.4609,1,,,,,
indian,20,6.26,1.7706,1,1,2,2,1,2
dispute,5,3.54,1.7286,,1,,,,
florida,6,6.7,1.6568,2,2,,,,1
ties,24,5.24,1.4507,1,,2,,3,1
findings,3,5.52,1.4741,,,,,,
bones,2,5.18,1.7343,,1,,,,
group,27,5.92,1.2095,1,1,,4,1,2
linked,10,5.46,1.4028,1,,,1,,
arrested,9,1.64,1.0053,,2,,1,1,
museum,3,6.68,1.463,1,1,,,,
reports,253,5.0,1.5119,24,42,32,21,26,4
act,3,6.0,1.2936,,,,,,
iraq,15,3.9,1.6568,,1,,,,1
gains,11,6.82,1.4803,,1,3,2,1,
capital,10,5.92,1.2428,1,2,,,1,3
maker,4,5.82,1.0437,1,2,,,,
investigate,11,5.1,1.2976,,,,,2,
spy,4,4.24,1.7677,,1,,1,,
agencies,1,4.92,1.3377,,,,,,
terrorist,6,1.3,0.9091,1,,1,,2,
return,8,5.2,1.4708,3,1,,,1,
suit,1,5.3,1.5811,,,,,,
spotlight,3,6.35,1.3401,,2,,,,
israeli,50,4.82,1.746,1,2,1,10,23,2
embassy,3,5.4,1.3401,,,,1,,
fox,4,5.46,1.7168,,,,,,
false,20,3.18,1.3506,,3,2,4,,4
areas,6,5.34,1.0224,1,,1,3,,
england,3,6.28,1.5258,,,,,,
france,21,6.32,1.3768,5,7,,1,1,2
rebels,7,4.24,1.5059,,2,,,1,
control,16,5.38,1.4831,2,1,2,4,,3
airport,4,5.88,1.8477,,2,,,,
role,11,5.68,0.8908,2,,2,1,,
christians,7,6.02,2.0151,,,,,,
twitter,3,5.46,1.9082,1,,,,,
muslims,5,4.3,1.3887,,,,,,
bitter,1,3.0,1.2454,,,,,,
gaza,31,4.44,1.3874,,,,6,14,5
suicide,8,1.3,0.8391,,,,1,1,1
station,4,5.16,0.7384,,,,1,,1
rape,14,1.44,0.7866,,5,,,,1
echoes,1,5.94,1.3135,,,,,,
tourists,2,6.08,1.5097,,,,,,1
prey,1,4.18,1.9968,,,,,,
obama,6,5.94,2.161,,,,,,
difficulty,1,3.38,1.2271,,,,,,
terrorism,7,1.48,0.9089,,,,,2,
conference,1,5.26,1.1572,,,,,,
informal,2,5.98,1.4497,,,,,,
conversation,2,6.24,1.4507,,,,,,
makes,3,5.56,1.248,,,,,1,
trip,6,7.0,1.5518,,1,,2,1,1
moscow,11,5.06,1.4201,,,3,3,,
pope,12,5.6,1.5649,,1,,2,1,3
johnson,15,5.4,1.3702,1,,8,2,,
threats,5,2.88,1.7687,,,1,,1,
peace,9,7.86,1.3403,1,,,,1,2
set,8,5.58,1.1968,,2,,2,2,
rights,19,6.48,1.555,1,1,3,2,1,1
issues,8,3.9,1.374,,1,,2,1,
minister,16,5.18,1.4097,,1,3,2,2,
greece,1,5.76,1.6107,,,,,,
security,27,6.1,1.632,4,1,3,4,4,4
meeting,12,5.46,1.3433,,,2,,2,
threat,6,2.36,1.3056,1,2,,,,
afghanistan,15,3.56,1.7861,1,1,,2,,
legacy,1,5.9,1.6067,,,,,,
meet,17,6.38,1.2599,1,2,2,4,1,2
prime,7,6.46,1.2811,,,2,1,,
advance,3,6.58,1.3262,,1,,1,,
americans,12,6.5,1.6933,2,4,1,,,1
leader,34,6.38,1.3384,3,2,4,3,4,3
head,9,5.96,1.0683,1,1,2,3,,
economy,6,4.38,1.6646,1,,1,1,,
disaster,2,1.96,1.428,,,,,,
