word,count,happs_score,stddev,2020,2021,2022,2023,2024,2025
millions,2,7.26,1.5361,,,,1,,
come,4,5.82,1.0039,,,,1,,
body,1,5.96,1.0294,,,,,,
newspapers,1,6.02,1.4637,,,,,,
covering,1,5.36,0.8751,,,,,,
scandal,3,3.18,1.5609,,,,,1,
fund,4,6.04,1.1241,,1,,,,
functioning,1,6.46,1.237,,,,,,
uses,1,5.72,1.1613,,,,,,
tool,2,5.26,1.5361,,1,,,,
declared,5,5.28,1.3407,,,1,,1,1
strategy,2,6.24,1.2382,,,,,,
ancient,1,5.6,1.4142,,,,,,
sites,3,6.0,1.1606,,,2,,,
cartoon,1,7.2,1.4428,,,,,,
diplomacy,3,5.74,1.7001,,,1,,,
board,1,4.76,1.5194,,,,,,
company,8,5.44,1.58,1,1,1,,,1
signing,1,6.04,1.4841,,,,,,
computer,2,7.24,1.3933,,,,,,
failure,1,2.06,1.2191,,,,,,
leaves,2,5.62,1.7944,,,,,,1
unable,2,3.1,0.8391,1,,,,,
aids,3,4.28,2.3477,,,,,,
doctors,4,5.54,1.6563,1,1,,1,,
shame,1,2.68,1.3005,,,,,,
facebook,5,6.08,1.9361,,,,,,1
images,5,6.34,1.2224,,,1,1,,
filthy,1,2.82,1.826,,,,,,
hospitals,5,3.54,1.5677,,3,1,,,
joined,4,6.3,1.0926,,1,1,,,
secretary,9,5.42,1.3107,,2,2,1,3,
taken,9,4.28,1.4714,,,,5,,
ownership,1,6.38,1.4126,,,,,,
nicholas,1,5.54,0.9082,,,,,,
markets,1,6.1,1.165,,,,,,
recognize,14,6.08,1.4119,,,1,,6,6
marie,2,5.58,1.0319,1,,,,,
silence,2,5.14,1.738,,,1,,,
baltimore,1,5.38,1.1933,,,,,,
internet,4,7.48,1.313,,,1,1,,
lines,2,5.26,1.0063,,,,1,,
cut,3,3.42,1.295,1,,,,,1
rio,1,5.74,1.3372,,,,,,
secrets,8,5.28,1.8187,,,,,1,
receive,3,6.5,1.1112,,,1,,,
verdict,1,4.2,1.6537,,,,,,
friday,1,6.88,1.686,,,,,,
reality,1,5.94,1.6464,,,,,,
grip,3,5.47,1.7091,2,,,,,
city,13,5.76,1.546,,1,4,5,,
appears,3,5.68,1.0774,,,,,,
acknowledge,1,6.24,1.318,,,,,,
blocks,5,4.54,1.4172,,1,1,,,
website,2,6.28,1.1613,,,,,,
veil,1,5.02,1.4356,,,,,,
door,3,5.38,1.2103,1,,,,,
white,11,6.28,1.5391,2,,,2,,2
house,8,6.34,1.6239,2,1,1,2,,
custody,3,4.36,1.6995,,,,2,,
moves,8,5.68,0.957,,,,2,,1
hold,4,5.7,1.2164,,1,,,,
message,2,6.08,1.122,,,,,,
large,2,6.06,1.2683,,1,,,,
parts,2,5.24,1.1168,,,,,,
uncertainty,1,3.64,1.0451,,,,,,
poor,3,2.32,1.2848,,,,,,1
subsidies,1,5.14,1.4984,,,,,,
possession,1,5.36,1.9873,,,,,,
sale,3,6.58,1.6424,,,,1,,
beef,2,5.28,2.1763,,,,,,
released,4,6.34,1.5201,,,,,,
local,9,5.46,1.3584,4,1,,1,,1
longer,4,5.18,1.1726,,2,1,,,
scores,2,5.9,1.1294,,,,,,
concern,4,4.04,1.6157,,,,1,,
seek,5,5.72,1.1613,,1,1,,,
join,3,6.22,1.5556,,,,1,,1
newly,3,6.5,1.2495,,,2,,,
sophisticated,2,6.02,1.7553,,,,1,,
cited,1,4.88,1.409,,,,,,
assault,9,2.56,1.6557,,1,1,,,1
planned,2,5.98,1.2696,,,,,1,
spring,2,7.16,1.4337,1,,,,,
son,2,7.12,1.8142,,,,,,
crude,1,3.6,1.4428,,,,,,
comment,1,5.58,1.2792,,,,,,
base,5,5.08,1.0467,1,,,1,2,
make,5,6.0,0.9897,,1,1,,,
drives,1,5.78,1.4039,,,,,,
inside,5,5.4,0.7284,1,,,1,2,
abandoned,2,2.54,1.3734,,,,,,1
holds,3,5.4,1.069,,,,,,1
stole,1,2.6,1.4142,,,,,,
australian,19,6.26,1.2257,3,3,1,2,,1
course,2,5.42,1.3716,,1,,,,
losing,2,2.62,1.1761,,,,,,
vote,11,5.8,1.5779,,1,2,1,1,2
jordan,3,5.44,1.7515,,,,,1,
deadline,1,3.66,1.1537,,,,,,
pass,3,5.9,1.4321,,1,,,,
newspaper,3,6.32,1.3468,,,,1,,
mother,2,7.68,1.6714,,1,,,,
spare,2,5.74,1.5093,,,1,,,
releases,7,5.96,1.4702,,,1,1,2,
berlin,1,5.26,1.5884,,,,,,
involvement,1,5.64,1.3667,,,,,,
church,8,5.48,1.8543,,2,1,,,
power,17,6.68,1.4907,3,2,2,2,,3
schools,3,5.98,1.4356,1,,,,,
cradle,1,6.38,1.6091,,,,,,
conservatives,3,4.08,1.9984,,1,1,,,
center,6,5.3,0.9949,1,,,2,,
india,23,6.42,1.9804,,4,1,5,,4
shot,5,2.5,1.6568,1,,,1,,
successful,2,8.16,1.0759,,,,,,
credit,3,5.86,1.6661,,,,,1,
senior,3,5.64,1.2081,,,,,,1
truck,4,5.48,1.555,,1,,,,
angry,2,2.32,1.2362,,,1,,,
organ,2,5.46,1.6563,,,,,,
world,16,6.52,1.6567,2,1,1,,4,3
questioned,2,4.24,1.2707,1,,,,,
right,6,6.54,1.2651,,1,,1,,1
road,2,5.86,1.0882,,,1,,,
israelis,2,5.14,1.3554,,,,,,
hotel,6,6.16,1.5954,,,,,,
polish,2,6.16,1.3903,,,,1,,
limits,4,4.0,1.1952,,,,,1,
demonstration,2,5.88,1.2185,,1,,,,
liberal,1,5.8,2.1665,,,,,,
interference,4,4.71,1.7321,1,,,,2,
files,3,5.38,1.427,,,,,,
malcolm,1,5.4,1.0102,,,,,,
australia,13,6.4,1.5908,3,1,,1,1,2
contest,1,5.78,1.4039,,,,,,
identity,2,5.98,1.1156,,,1,,,
investigating,7,4.84,1.1669,1,1,4,,,
climbing,1,6.04,1.3838,,,,,,
christian,4,6.3,1.6444,,,,1,,1
sinai,1,4.76,1.1528,,,,,,
water,3,6.7,1.2164,,,,,,
app,3,5.2,1.4286,,,1,1,,
palestinians,8,4.5,1.1995,1,,,1,2,1
enter,2,5.84,1.2835,,,,1,,
stake,2,5.02,1.1865,,,,,,
french,13,5.96,1.5381,,4,1,,,1
officer,1,5.22,1.6449,,,,,,
including,3,5.96,0.9026,1,,,,,
attorney,3,4.12,1.3037,,2,,,,
worker,1,5.56,1.6308,,,,,,
wins,5,7.44,1.2643,,,1,,1,
treatment,2,4.42,1.5398,,,,,,
sara,1,5.52,1.764,,,,,,
shop,2,6.76,1.0412,,1,,,,
lesson,1,5.3,1.488,,,,,,
senate,2,4.7,1.4178,1,,,,,
passes,2,5.44,1.4868,,,,,,1
legal,3,5.18,1.746,,1,,,,
beijing,6,5.24,1.685,2,1,1,,,
tries,6,5.58,1.2631,1,1,2,1,,
whip,1,3.3,1.7409,,,,,,
support,10,6.44,1.4309,,1,2,3,2,
investment,1,5.82,1.8148,,,,,,
sails,2,6.38,1.3834,,,,,,
arsenal,1,4.18,1.8371,,,,,,
colonel,1,4.96,1.6031,,,,,,
focus,3,6.12,1.0622,,,1,,1,
shut,4,3.56,1.0333,,,1,,,
shake,1,5.14,1.1954,,,,,,
european,11,5.94,1.1678,1,,3,3,1,1
stadium,1,5.96,1.5774,,,,,,
prosecutor,4,4.06,1.6587,,,,,1,
preacher,1,5.28,2.1193,,,,,,
involving,2,5.6,1.3401,,,1,,,
track,3,5.14,1.143,,,,,,
stars,1,7.1,1.5419,,,,,,
decades,1,4.84,1.3756,,,,,,
later,1,4.6,1.3553,,,,,,
public,4,5.18,1.3656,,2,,,,1
hand,1,5.9,1.0738,,,,,,
governing,1,5.0,1.5779,,,,,,
plane,11,6.3,1.632,1,4,,,,2
presents,2,7.2,1.4569,,,,,1,
revised,1,5.27,1.3961,,,,,,
territory,2,5.12,1.1891,,,,1,,
challenges,2,5.74,1.4957,,,,1,,
operation,3,3.72,1.6041,,,,,1,1
teen,4,5.92,1.9361,1,1,,,,1
restaurant,2,7.06,1.2521,,,1,,,
tells,6,5.32,1.2688,2,,1,,,
cnn,2,5.18,1.4525,,,,,,
oppose,1,3.82,1.4384,,,,,,
committed,2,6.38,1.4126,,,,,1,
trump,63,5.3,1.7053,14,2,,1,4,15
japan,14,6.0,1.3093,2,5,2,1,,
discussing,15,5.76,1.7209,2,,2,4,2,1
prince,10,6.44,1.3426,1,,1,2,2,
harry,7,5.24,1.2545,1,1,1,2,1,
regrets,1,3.08,1.5232,,,,,,
interior,1,5.8,0.8806,,,,,,
visits,7,6.4,1.2936,,,1,2,,1
york,23,5.62,1.1761,7,11,3,,,
maintain,1,5.76,1.0412,,,,,,
union,5,6.04,1.3991,,,1,,2,
francis,3,5.32,1.4348,,,,2,,
mideast,4,4.82,1.5609,,,,,2,1
collapse,3,2.9,1.4463,,1,,1,,
safety,3,6.18,1.7343,,,1,,,
fears,4,2.68,1.2688,,,1,1,,
discussed,16,5.56,1.4591,2,,2,5,2,2
violations,3,2.86,1.4287,1,,,,,1
hours,2,5.22,1.0359,,,,,1,
protesters,7,3.8,1.6903,2,2,2,,,
job,1,5.96,1.7257,,,,,,
investigators,1,4.96,1.6157,,,,,,
search,4,5.44,1.1808,,,1,,,
educated,1,7.29,1.307,,,,,,
residents,4,5.66,1.2715,,1,1,1,,
increasing,1,6.4,1.2936,,,,,,
desperation,2,2.7,1.9086,,1,,,,
voices,3,5.56,1.5005,,,1,,,
widespread,5,4.8,1.1429,,,3,,,
times,15,5.58,1.1968,1,5,3,1,,
close,2,4.94,1.3911,,,,,,
efforts,9,5.6,1.4569,,,2,3,,
increase,6,6.56,1.1095,,,2,1,1,
hate,2,2.34,1.8802,,,,,,
tied,2,4.4,1.3553,,,,,,
airlines,4,5.6,1.5908,,1,,,,
mystery,3,5.64,1.849,1,,,,,
breathe,1,6.28,1.5258,,,,,,
highly,1,6.6,1.178,,,,,,
perfect,1,7.42,1.7154,,,,,,
hot,1,5.02,1.9218,,,,,,
seasons,1,6.76,1.2216,,,,,,
output,1,5.86,1.3844,,,,,,
pressure,3,3.66,1.5467,,,,,1,1
questions,9,5.0,1.0498,,1,,2,3,1
nearly,11,5.26,1.2423,4,2,2,1,,1
wider,1,5.34,1.0422,,,,,,
wealth,2,7.38,1.2271,,,,,,
nation,3,6.06,1.5039,,,1,1,,
prison,7,2.06,1.4765,,1,,,2,2
term,1,4.94,1.5039,,,,,,
reuters,3,5.18,1.3656,,,,,,
charity,3,6.4,1.906,,,,,,
ban,7,2.66,1.3188,,2,,1,,
use,10,5.64,1.1563,,2,3,1,1,
executed,4,3.94,2.2023,,1,,,,
deputy,1,4.68,1.3468,,,,,,
spokesman,1,5.06,1.1678,,,,,,
school,9,6.26,1.8824,2,3,,,2,
thesis,1,5.35,1.8507,,,,,,
girl,2,7.0,1.1606,,,,,,
held,9,5.28,1.2784,,2,2,1,,1
day,5,6.24,1.3637,,,,3,,
nice,1,7.38,1.5104,,,,,,
panel,3,5.54,1.2811,,1,,,,
projects,1,5.46,1.5935,,,,,,
regret,1,3.12,1.507,,,,,,
tony,3,5.52,1.1822,,,,,,
blair,2,5.04,1.2115,,,,,,
family,7,7.72,1.3099,,1,1,,,1
wounds,1,2.8,2.0203,,,,,,
relatives,2,6.6,1.8626,,,,,1,
fallen,1,3.52,1.4177,,,,,,
offers,7,6.48,1.555,,1,1,1,1,1
music,3,8.02,1.1156,,,,,,1
cracks,2,4.0,1.3553,,,,,,1
expect,1,5.9,0.9742,,,,,,
aims,4,6.27,1.2209,,1,,,,1
mining,2,4.84,1.5434,,1,,,,
companies,3,5.26,1.0264,,,,,,
buy,1,6.28,1.3559,,,,,,
influence,4,5.64,1.2415,1,1,,,,
conditions,5,4.78,1.4748,,1,,1,2,
guards,2,4.3,1.7173,1,,,,,
tell,2,5.42,1.0319,,,,,,
trail,1,6.14,1.143,,,,,,
seas,1,6.86,1.6289,,,,,,
woman,5,6.84,1.6458,,1,1,,1,
let,3,5.38,1.0079,,,,,1,
home,13,7.14,1.8296,,4,1,3,,
humanity,1,7.02,1.6265,,,,,,
drug,11,3.2,2.0702,2,3,,4,,
mob,2,3.56,1.8644,,,,,,
festival,4,7.7,1.0738,,,,,1,1
chapter,2,5.6,1.2122,,,,,,
tobacco,1,3.48,2.1782,,,,,,
alive,2,7.18,1.2887,,,,,,
contrary,1,4.24,1.5211,,,,,,
turkey,14,6.16,1.8111,1,1,1,4,,
distance,1,4.5,1.3132,,,,,,
classified,1,5.34,1.4514,,,,,,
pages,1,5.62,0.9875,,,,,,
easter,1,6.88,1.698,,,,,,
rising,3,6.54,1.1104,,,,,1,
suspects,3,3.6,1.1952,,,,,,
growing,2,6.52,0.9947,,,,,,
rich,2,7.98,1.3169,,,,,,
crisis,8,2.48,1.6689,1,2,1,,,1
payments,2,5.76,2.1434,,,,1,,
politicians,4,3.34,1.1359,,,,1,1,
plants,2,7.1,1.2976,,,,,,1
work,4,5.24,2.105,,1,,1,,
born,1,6.82,1.6499,,,,,,
need,4,4.84,1.4337,,,1,1,,
complaint,1,2.86,1.0104,,,,,,
queen,5,6.24,1.7907,1,1,1,,,
elizabeth,4,6.14,1.7263,,1,1,,,
exit,1,4.78,1.5687,,,,,,
earthquake,4,1.9,1.1995,,,1,,,1
little,3,4.6,1.3401,1,,,,,1
subjected,1,3.86,1.3999,,,,,,
strife,1,4.02,1.8349,,,,,,
turning,3,5.32,1.019,,,,,,
failing,1,2.52,1.2656,,,,,,
southeast,2,5.68,1.2196,,,,1,,
lung,1,5.4,1.3093,,,,,,
steel,4,5.08,1.1578,,,3,,,
send,4,5.38,1.3536,,,1,,1,
art,2,6.6,1.4983,,,,,,1
training,3,5.74,1.3969,,,2,,,
pregnant,2,6.22,2.0829,,,1,,,
birth,1,7.12,1.6117,,,,,,
defect,1,3.21,1.7005,,,,,,
rise,16,6.36,1.5618,1,5,1,,3,
leading,3,6.64,1.5086,,2,,,,
key,12,5.82,1.0631,1,,1,2,1,4
draft,5,5.02,1.4068,,,1,2,,
culture,3,6.72,1.8075,,,2,,,
active,3,6.82,1.7692,,1,,,,
program,4,5.68,1.2196,1,,,,,2
yields,1,6.2,1.4286,,,,,,
dividends,1,6.14,1.552,,,,,,
core,2,5.38,1.0859,,,,,,
conflicts,3,2.96,1.4563,,,,,1,
accused,7,2.92,1.5497,,1,1,,,
look,4,5.54,1.1287,1,,2,,,
tension,2,2.94,1.5832,,,,1,,
happened,3,5.02,1.1865,,,,,,
wonders,1,6.78,1.8876,,,,,,
long,8,4.74,1.6637,1,,2,2,,
solution,8,6.84,1.3756,,,,1,,1
david,1,5.5,1.1473,,,,,,
choice,1,6.24,1.318,,,,,,
hostile,2,3.02,1.9737,,,,,,
cure,2,7.14,1.512,,,,,,
dam,2,4.84,1.2349,,,,1,,
tests,5,4.28,1.6787,,1,1,1,,
apparently,1,5.54,1.1104,,,,,,
expert,2,6.64,1.3211,,,,,1,
donald,1,5.48,1.2493,,,,,,
trained,1,5.86,1.4984,,,,,,
ranks,1,5.42,1.6793,,,,,,
reminds,1,5.4,1.1952,,,,,,
boss,2,4.18,1.5868,,1,,,,
leaving,1,3.58,1.2792,,,,,,
dozen,2,5.46,1.1104,1,,,,,
violent,3,2.06,1.3463,1,,,,1,
study,7,6.12,1.6243,,2,2,,1,
policies,1,5.12,1.6368,,,,,,
license,1,5.56,1.3426,,,,,,
cow,2,5.82,1.4665,,,,,,
protection,1,6.56,1.3273,,,,,,
helped,6,7.28,1.2943,,,2,,1,1
extends,2,5.56,1.0134,,1,,,,
cell,1,5.12,1.409,,,,,,
conservative,1,4.54,1.9505,,,,,,
puts,5,5.1,0.6468,,1,,1,,2
grants,2,6.7,1.2495,,1,,,,
jews,3,5.62,1.5372,1,1,,,,
minority,1,4.24,1.546,,,,,,
explanation,1,5.56,0.993,,,,,,
fish,1,6.58,1.7507,,,,,,
vietnam,4,4.42,1.9804,,1,,,,1
taxes,2,2.7,1.5286,,,,,,
rebounds,1,5.32,1.3161,,,,,,
votes,4,6.08,1.5758,,,1,,,
extend,2,6.0,0.9035,,,,,,
bars,6,5.68,1.5836,2,,1,1,,
lifted,3,6.2,1.2289,,,1,,,
islam,1,4.68,2.325,,,,,,
religion,2,6.0,1.8295,,,,,,
goes,9,5.26,1.1214,,2,1,1,1,1
rocket,3,6.38,1.7366,,,,,1,
does,10,5.22,1.2501,,1,1,1,3,2
marine,1,5.72,1.6542,,,,,,
point,4,5.42,0.9055,1,,,,,1
bid,6,5.26,1.192,,,,2,2,
natural,1,6.56,1.4868,,,,,,
men,4,5.94,1.3911,,1,,,,
convicted,5,3.2,1.7728,2,,,2,,
win,6,8.12,1.0812,1,2,,1,,
sanctions,6,3.86,1.7844,,,1,1,2,
raise,1,6.74,1.209,,,,,,
campaign,2,5.34,1.5467,,,,,,
remedy,1,6.45,1.5419,,,,,,
targets,1,4.76,1.4786,,,,,,
uncertain,1,3.88,1.1481,,,,,,
controls,2,5.02,1.3323,,,,1,,
port,1,5.36,1.4394,,,,,,
arrests,4,2.72,1.5913,1,,,1,,
land,6,6.18,1.3354,,,,3,,2
hill,1,5.98,1.3923,,,,,,
acts,1,5.48,1.1471,,,,,,
temporary,1,4.5,1.3439,,,,,,
surface,1,5.32,1.0774,,,,,,
shines,1,7.6,1.5944,,,,,,
priests,2,5.51,2.0117,,,1,,,
urban,1,5.84,1.5566,,,,,,
developed,2,6.36,1.4813,,,,,,
save,5,6.54,1.1643,,,,,1,2
italy,7,6.18,1.4665,3,,1,1,1,
quiet,1,5.5,1.8098,,,,,,
farmers,3,6.34,1.1886,,,,,,
tensions,7,2.66,1.2554,,,,1,3,
file,2,5.22,1.2664,1,,,,,
medicine,1,5.08,1.6884,,,,,,
raised,2,6.56,1.2316,,,,1,,
maximum,1,6.38,1.5238,,,,,,
manchester,1,5.56,1.3273,,,,,,
quit,2,3.9,1.4604,,1,,,,
doctor,3,5.34,1.6239,1,1,,,,
holocaust,3,2.22,1.7876,,,,2,,
survivors,2,6.66,1.3342,,,,,,1
poland,4,5.88,1.3346,,,,3,,
powers,3,6.66,1.3188,,1,1,,,
narrow,2,4.54,0.9941,,,,,,
hindu,1,5.69,1.8583,,,,,,
tried,3,5.48,1.6443,1,,1,,,
orders,11,4.24,1.4786,2,1,2,2,1,
goal,2,7.02,1.2204,,1,,,,
checking,2,5.2,1.3702,,,,,,
slow,3,3.78,1.1119,,,1,,1,
migration,1,5.7,1.374,,,,,,
route,1,5.48,1.2162,,,,,,
thousands,9,6.14,1.0692,,4,1,1,1,
film,1,6.56,1.58,,,,,,
chance,2,6.44,1.4165,,,,,,1
democrats,3,5.5,1.9923,1,1,,,,
grand,2,7.06,1.3614,,,,,,
coalition,3,5.46,1.4172,,,,,,1
ireland,5,5.98,1.3626,,1,,,2,
socks,1,5.06,1.4201,,,,,,
steal,2,2.46,1.6807,,,1,,,
holiday,3,7.68,1.3005,2,,,,,
broke,2,2.54,1.2811,,,,,1,
ethics,1,6.52,1.3589,,,,,,
gets,7,5.84,1.2993,1,,1,,,2
jail,2,1.76,1.0214,1,,,,,
spill,1,4.47,1.6845,,,,,,
chief,10,6.18,1.1551,,1,3,3,,
slave,1,2.06,1.4626,,,,,,
auction,1,5.78,1.5425,,,,,,
raped,2,1.64,1.4251,,,,,,
read,7,6.52,1.581,,,4,,,1
latest,10,6.06,1.3614,,3,,3,1,1
reconstruction,1,5.8,1.6036,,,,,,
theory,2,5.42,1.4859,,,,,,
citing,3,4.72,1.4434,,1,1,,,
amazon,1,6.8,1.5386,,,,,,
tribe,1,5.92,1.3679,,,,,,
heed,1,5.31,1.2111,,,,,,
russians,11,5.2,1.3851,1,,3,,4,
catch,1,5.74,1.3822,,,,,,
voting,5,6.02,1.3775,,1,1,,,
levels,1,5.3,0.953,,,,,,
charged,5,5.04,1.5903,,,,,1,
twice,2,5.6,1.1429,,1,,,,
night,1,6.22,1.2982,,,,,,
launch,1,6.4,1.2936,,,,,,
boat,2,6.08,1.4824,,,,,,1
worst,5,2.1,1.3439,1,,1,,,
helps,1,6.6,1.5649,,,,,,
slaughter,1,2.41,1.8362,,,,,,
bishop,3,5.3,1.6194,,,1,,,
hide,2,4.36,1.4107,,1,,,,
scheme,1,4.82,1.6668,,,,,,
ship,7,5.96,1.2282,1,,2,1,1,
earlier,3,5.4,1.2289,,,,2,,
footage,4,5.68,1.0583,,,1,,1,
abc,1,5.24,1.0012,,,,,,
defend,1,5.22,1.7177,,,,,,
view,2,5.72,1.1256,,,,,,
babies,3,7.46,1.5012,,,,,,
likely,8,6.44,1.2149,,2,2,1,,
diplomat,3,5.28,1.4852,1,,,1,,
saying,4,5.6,0.8571,1,,,1,,1
practices,1,5.66,1.3188,,,,,,
survived,2,6.88,1.4797,,,,,,
intelligence,13,7.3,1.1995,,1,3,4,1,2
service,6,6.0,1.1606,1,,2,,1,
aides,3,5.92,1.3827,,1,,,1,
contact,1,6.08,0.9864,,,,,,
agents,4,5.0,1.2936,,1,,,1,
half,2,4.6,1.0102,,,,1,,
brother,1,7.22,1.2337,,,,,,
began,1,5.98,0.9581,,,,,,
psychiatric,1,4.24,1.3334,,,,,,
africa,10,5.26,2.0782,,2,2,,1,2
died,6,1.56,1.198,,1,1,,1,1
pentagon,8,5.02,1.6098,,,1,2,1,
communist,3,4.32,1.7431,1,,,,1,
live,4,6.84,1.5167,,1,,,,1
benjamin,1,5.68,1.2196,,,,,,
sought,1,5.06,1.3001,,,,,,
hunting,1,4.1,2.0127,,,,,,
feet,1,5.58,1.2631,,,,,,
mean,4,3.68,1.9213,,1,,,1,1
ready,3,6.58,1.1622,,,,,,1
remains,7,4.42,1.4441,,2,1,2,,
stuck,2,3.66,1.1178,,1,,,,
offensive,3,3.02,1.5583,,,1,,1,
place,3,5.56,1.198,,1,,,,
names,1,5.32,0.9988,,,,,,
die,3,1.74,1.192,,1,,,,
sergeant,1,5.26,1.2747,,,,,,
trying,5,5.78,1.1657,,,,2,,
closed,3,3.66,1.5986,,,,1,,1
reorganization,1,5.4,1.4846,,,,,,
assistance,1,5.96,1.428,,,,,,
takes,5,5.04,1.1421,1,2,1,,,
julie,1,5.42,1.1796,,,,,,
satellite,2,5.72,1.3559,,,1,,,
reveal,2,5.96,1.3547,,,,,,
edges,1,5.1,1.5332,,,,,,
digital,1,6.12,1.4234,,,,,,
gulf,3,5.4,1.7143,1,,,,,
republic,2,5.76,1.5851,,,,,,
race,5,5.76,1.4365,1,3,,,,
george,3,5.26,1.0654,1,,,,,
occupy,1,5.66,1.5598,,,,,,
clear,1,6.3,1.1294,,,,,,
remarks,2,4.88,1.5732,,,,1,,
speaks,1,5.68,1.1856,,,,,,
promise,1,7.18,1.1899,,,,,,
expanding,4,5.72,1.3254,,,1,,2,
penalty,1,2.84,1.3149,,,,,,
storm,3,4.26,2.0082,,,,1,,
compound,2,5.48,1.2974,,,,,1,
lot,1,5.78,1.3746,,,,,,
like,1,7.22,1.2171,,,,,,
bin,1,4.96,1.3087,,,,,,
re-election,2,4.76,1.6971,,,1,,,
widely,1,5.62,1.0476,,,,,,
watched,1,5.46,1.2651,,,,,,
pick,1,5.6,0.9689,,,,,,
sullivan,1,5.34,0.8947,,,,,,
largest,7,6.34,1.3793,,3,2,1,,
happens,1,5.2,1.2122,,,,,,
exist,1,5.9,1.6812,,,,,,
require,4,4.44,1.3118,1,2,,,,
raising,3,6.26,1.2257,,1,,1,,
drugs,2,2.66,1.6364,,,,,,1
america,3,6.76,1.5194,,,1,,,1
faces,8,6.2,1.4569,,1,3,1,,
voters,3,5.58,1.3107,,,1,1,,
cable,2,5.64,1.5221,,,,,,1
eastern,9,5.76,1.4223,,,2,5,,
yellow,1,5.8,1.4569,,,,,,
fever,1,2.78,1.5556,,,,,,
block,4,4.02,1.4213,1,,,,,
access,6,5.88,1.2558,2,1,,,2,
scientist,5,6.18,1.2887,4,,,,,
edited,1,5.24,1.135,,,,,,
kept,3,5.74,1.1031,,1,1,,,
guard,3,4.88,1.6243,,,1,1,,
advocate,1,5.18,1.6622,,,,,,
princess,2,7.08,1.5758,1,,,,,
2nd,2,4.88,1.5471,,,,,,1
wait,1,3.74,1.209,,,,,,
camps,7,5.56,1.6801,,,1,1,,1
did,2,5.58,1.1265,,1,,,,
count,3,5.5,1.0546,,1,1,,,
fed,1,5.78,1.4886,,,,,,
book,1,7.24,1.2048,,,,,,
changing,1,5.8,1.4428,,,,,,
mount,1,5.54,1.2651,,,,,,
atomic,2,4.61,1.789,,,,1,,
link,3,5.78,1.1119,,,,1,1,
fact,3,5.9,1.3286,,,,,,
bold,2,5.66,1.7912,,,1,,,
crime,5,2.2,1.2617,,2,,,1,
immigration,2,5.2,1.3553,,,,,,1
contain,1,5.7,1.1824,,,,,,
keeps,2,5.88,1.3192,,,,,,
offer,3,6.62,1.028,,,,1,,
question,2,4.98,1.7319,,,,,,
western,9,6.1,1.359,,,6,1,,
step,1,5.32,0.8676,,,,,,
aside,1,4.76,0.9161,,,,,,
protest,12,3.56,1.4591,1,1,,3,1,3
deficit,1,3.08,1.3529,,,,,,
talk,3,6.06,1.0577,,,1,,,1
youth,2,6.62,1.8832,,,,,,
october,1,5.88,1.4234,,,,,,
pressed,1,4.62,1.3076,,,,,,
ambassador,6,5.78,1.5687,,,,2,2,
silent,3,5.12,1.5471,,,,,1,1
rural,1,5.78,1.6573,,,,,,
victim,1,2.38,1.4126,,,,,,
prisoners,8,2.44,1.4591,2,,2,2,,
appear,5,5.84,0.8172,1,,1,2,,
crown,4,6.62,1.4693,1,,,1,1,
enemies,1,2.44,1.473,,,,,,
mike,1,5.3,1.4463,,,,,,
fate,2,4.78,1.2664,,,,1,,
officers,3,4.98,1.672,2,,,,,
3rd,2,4.96,1.1945,,,1,,,
summit,2,5.52,1.6193,,,,,,
end,6,4.36,1.7351,,1,2,1,,
tech,1,6.22,1.3293,,,,,,
olympics,2,7.02,1.3476,,1,,,,
potential,2,6.68,1.0774,,,,,,1
hockey,1,5.42,1.6793,,,,,,
team,8,6.26,1.4259,,,,2,2,1
wanted,1,5.08,1.7825,,,,,,
brought,1,5.9,1.3286,,,,,,
black,4,4.88,1.8366,,,,3,,
recent,4,5.56,1.1095,,3,,,,
dangerous,2,2.44,1.4591,,,,,,1
problem,2,2.98,1.4068,,,,,,1
driving,3,6.18,1.6499,,1,,,,1
gain,1,6.4,1.5386,,,,,,
university,4,6.74,1.3822,,2,,1,,
iphone,1,6.54,1.854,,,,,,
teachers,1,6.44,1.2961,,,,,,
national,9,5.98,1.1516,2,3,2,1,,
stronger,2,7.12,1.0812,,,,,,1
unions,1,5.28,1.6542,,,,,,
higher,1,6.46,1.2157,,,,,,
catholic,4,5.3,1.8323,,2,,,,
heard,1,5.36,0.802,,,,,,
adviser,3,5.48,1.821,,,,2,,
cabinet,4,5.68,1.1328,,,,,2,1
undercover,1,5.04,1.6031,,,,,,
surprisingly,1,6.82,1.32,,,,,,
high,7,6.64,1.2081,,2,2,1,1,
slavery,1,2.02,1.5842,,,,,,
doing,1,5.5,1.1995,,,,,,
theft,2,2.3,1.374,,,,,,
cave,1,5.73,1.5913,,,,,,
soccer,4,6.44,1.5407,,,1,2,,
sharp,1,4.84,1.6946,,,,,,
husband,1,6.62,1.7484,,,,,,
lawyer,2,3.84,1.4194,,,,,1,
left,3,4.64,1.4394,,,1,,,1
judge,7,4.92,1.6015,,5,,,,1
source,1,5.72,1.2129,,,,,,
sense,1,6.3,1.0351,,,,,,
father,3,7.06,1.7427,,,,2,,
skip,1,5.32,1.463,,,,,,
royal,8,5.82,1.6374,1,,1,,,4
site,2,5.32,0.7939,,,1,,,
plays,4,6.72,1.5784,,1,1,,1,
asked,3,5.36,1.2739,,1,1,,,
