word,count,happs_score,stddev
israel,24,4.78,1.7296
claim,11,5.18,1.4941
wins,1,7.44,1.2643
fighting,2,2.76,1.5722
northern,2,5.22,1.3293
gaza,14,4.44,1.3874
claims,20,4.72,1.4434
credit,1,5.86,1.6661
sees,2,5.76,1.4078
risk,1,3.62,1.6399
absence,1,3.58,1.0708
trump,4,5.3,1.7053
let,1,5.38,1.0079
victory,3,7.98,1.0784
says,24,5.28,1.1959
nato,1,4.92,1.7004
official,2,5.38,1.028
israeli,23,4.82,1.746
military,9,4.78,1.753
footage,1,5.68,1.0583
shortly,1,5.58,1.3107
killed,9,1.56,1.2316
goes,1,5.26,1.1214
offensive,1,3.02,1.5583
foreign,4,5.68,1.6956
interference,2,4.71,1.7321
supermarkets,1,6.44,1.445
australia,1,6.4,1.5908
fake,1,2.9,1.2495
affiliate,1,5.68,1.2526
claimed,2,5.4,1.178
attacks,3,2.46,1.4598
does,3,5.22,1.2501
criticism,2,3.1,1.1473
islamic,6,4.66,1.5201
responsibility,3,5.72,1.6542
bombing,1,2.24,1.4786
rebels,1,4.24,1.5059
regional,1,5.34,0.8234
base,2,5.08,1.0467
major,1,5.76,1.4223
photo,1,6.88,1.3944
title,1,5.6,1.088
million,2,7.38,1.427
new,11,6.82,1.1373
aid,6,6.24,1.3637
china,4,5.4,1.7023
sea,2,6.94,1.2843
releases,2,5.96,1.4702
palestinian,21,4.62,1.6022
authority,1,4.74,1.5884
funds,2,6.12,1.8254
west,4,5.68,1.3468
bank,2,5.92,1.6268
agreed,1,6.98,1.3013
conditions,2,4.78,1.4748
met,3,5.82,0.919
spread,1,5.48,1.1292
updates,1,6.14,1.2124
rules,2,4.28,1.2296
soldiers,3,5.38,1.6399
rocket,1,6.38,1.7366
attack,9,2.42,1.4299
death,8,1.54,1.2811
terrorist,2,1.3,0.9091
helped,1,7.28,1.2943
lead,1,6.28,1.4574
deadly,5,2.9,1.8171
kills,2,1.78,1.2337
workers,3,5.78,1.183
iraqi,1,3.96,1.3991
gas,1,4.76,1.6483
save,1,6.54,1.1643
children,3,7.12,1.3498
offices,1,5.0,1.4428
searched,1,5.19,1.299
abuse,2,1.88,1.2395
killing,2,1.7,1.359
southern,1,5.64,1.6258
lebanon,4,4.62,1.3536
draws,1,6.18,1.32
miles,1,5.3,1.165
inside,2,5.4,0.7284
germany,2,5.94,1.5703
arms,1,5.38,0.9875
sales,1,5.8,1.1066
austin,1,5.5,1.0738
carrying,3,5.26,1.2747
banned,1,2.88,1.2879
bringing,1,6.04,1.1421
commercial,1,4.6,1.6162
ship,1,5.96,1.2282
struggling,1,2.72,1.2129
deal,1,6.32,1.0774
blow,1,4.48,1.7407
russia,8,5.5,1.374
used,2,4.6,1.4846
missile,3,3.24,1.8905
time,2,5.74,1.209
president,4,5.86,2.1094
election,2,5.18,1.3506
hit,2,4.58,1.808
oil,3,4.88,1.6368
coast,1,6.44,1.3874
set,2,5.58,1.1968
investigate,2,5.1,1.2976
employees,1,5.64,1.1205
prince,2,6.44,1.3426
harry,1,5.24,1.2545
mail,1,6.36,1.6874
sunday,2,7.28,1.9171
publisher,1,5.82,1.0821
presents,1,7.2,1.4569
defense,3,5.18,1.5345
wednesday,1,5.38,1.3384
court,2,3.78,1.799
state,61,5.28,0.9697
iran,5,4.3,1.632
canadian,4,5.84,1.8556
ministers,5,5.4,1.7728
meet,1,6.38,1.2599
aides,1,5.92,1.3827
discuss,14,5.96,1.2282
meets,3,5.98,1.0971
european,1,5.94,1.1678
leaders,4,5.88,1.3192
future,2,6.76,1.4223
expanding,2,5.72,1.3254
conflicts,1,2.96,1.4563
mideast,2,4.82,1.5609
security,4,6.1,1.632
cabinet,2,5.68,1.1328
response,1,5.68,1.2688
prices,1,4.38,1.6022
jump,1,5.48,1.7407
strike,4,3.96,1.3547
iranian,7,4.22,1.148
facilities,1,5.76,1.4507
second,1,5.38,1.1933
weapons,2,2.4,1.6903
man,1,5.9,1.4033
charged,1,5.04,1.5903
meeting,2,5.46,1.3433
agents,1,5.0,1.2936
discussing,2,5.76,1.7209
plot,1,5.26,1.3822
kill,2,1.56,1.0529
push,3,4.44,1.473
deep,2,5.74,1.3969
strikes,3,4.02,1.3626
chinese,3,5.64,1.4813
officials,6,4.76,1.3637
talks,5,5.82,1.207
calls,4,5.42,1.0319
comments,1,5.62,1.0476
suggesting,1,5.54,1.1988
discussed,2,5.56,1.4591
gather,2,5.94,1.0768
italy,1,6.18,1.4665
world,4,6.52,1.6567
minister,2,5.18,1.4097
egyptian,1,5.78,1.5556
arab,3,4.5,1.594
plans,4,6.2,1.0102
tensions,3,2.66,1.2554
return,1,5.2,1.4708
planned,1,5.98,1.2696
political,1,4.12,1.5205
leader,4,6.38,1.3384
achieve,1,7.42,1.2304
permanent,1,5.68,1.4769
peace,1,7.86,1.3403
sanctions,2,3.86,1.7844
send,1,5.38,1.3536
team,2,6.26,1.4259
washington,1,6.04,1.2115
council,1,4.94,1.3157
sexual,7,6.2,1.4569
violence,6,1.86,1.05
limits,1,4.0,1.1952
access,2,5.88,1.2558
important,1,6.32,1.3316
egypt,1,6.26,1.1572
palestinians,2,4.5,1.1995
italian,1,6.48,1.6318
journalist,1,5.54,1.3584
reporting,2,5.12,1.1718
police,1,4.58,1.8526
chiefs,1,5.92,1.3974
slow,1,3.78,1.1119
react,2,5.16,1.2835
summer,1,6.4,2.3905
report,37,4.76,1.3334
pay,1,5.3,2.3234
injured,5,2.22,1.1119
building,1,5.94,1.1141
internal,1,5.2,1.3093
reports,26,5.0,1.5119
arrested,1,1.64,1.0053
citizen,1,5.92,1.3827
issues,1,3.9,1.374
immediate,1,5.6,1.666
face,1,6.12,1.1718
remain,2,5.52,1.1471
silent,1,5.12,1.5471
reported,9,5.12,1.2558
near,2,5.72,1.6041
russian,7,5.52,1.7052
school,2,6.26,1.8824
women,2,7.12,1.4658
use,1,5.64,1.1563
suicide,1,1.3,0.8391
debate,1,4.94,1.5174
ambassador,2,5.78,1.5687
media,19,5.62,1.8058
broke,1,2.54,1.2811
case,3,5.02,1.3013
health,3,7.22,1.2501
service,1,6.0,1.1606
finds,5,5.94,1.2521
final,1,5.02,1.7319
bad,1,2.64,1.4675
weather,2,5.88,1.5205
caused,1,4.54,0.9082
crash,1,2.6,1.3702
russians,4,5.2,1.3851
bomb,1,1.96,1.2771
wave,1,6.34,1.1537
traveler,1,6.56,1.445
arrived,1,6.14,1.3999
africa,1,5.26,2.0782
declared,1,5.28,1.3407
global,1,6.0,1.4846
emergency,4,3.06,1.7775
widow,1,2.86,1.8737
compound,1,5.48,1.2974
multiple,1,5.7,1.4604
people,1,6.16,1.5826
settlement,1,5.9,1.5017
activity,1,6.32,0.9988
died,1,1.56,1.198
pulmonary,1,4.72,1.3856
disease,1,2.0,1.3093
south,1,6.16,1.6081
korea,1,5.34,1.3793
intelligence,1,7.3,1.1995
command,1,4.54,1.5806
hours,1,5.22,1.0359
sent,1,5.46,0.9082
thousands,1,6.14,1.0692
bombs,1,2.86,2.2679
missiles,1,2.82,1.5868
vulnerable,1,3.34,1.5066
adults,1,6.06,1.3001
abused,1,1.83,1.3101
human,1,6.26,1.6389
rights,1,6.48,1.555
watch,3,5.7,1.2495
committed,1,6.38,1.4126
numerous,1,6.08,1.1925
war,7,1.8,1.4142
cooking,1,7.08,1.2911
dirty,1,3.2,1.5119
fuel,2,5.4,1.178
raises,2,6.66,1.6239
said,1,5.38,0.901
civilians,2,5.64,1.1386
questions,3,5.0,1.0498
hunger,1,3.37,1.9968
adds,1,5.5,0.953
restrictions,1,3.32,0.957
forces,2,4.18,1.5868
prison,2,2.06,1.4765
led,2,5.48,1.1292
terrorism,2,1.48,0.9089
heavy,1,4.1,1.4178
area,1,5.44,0.8843
know,3,6.1,1.3887
groups,1,5.66,1.3032
crimes,2,2.14,1.3704
thursday,1,5.86,1.1068
special,1,7.2,1.1952
launched,1,6.1,1.0351
operation,1,3.72,1.6041
central,1,5.6,0.8806
dozens,1,5.7,1.2817
general,2,5.32,1.1328
branch,1,5.52,1.1471
revolutionary,1,6.24,1.8578
singapore,1,5.98,1.7899
initial,1,5.42,1.0515
flight,1,6.06,1.834
pope,1,5.6,1.5649
toll,1,4.06,1.0956
scandal,1,3.18,1.5609
woman,1,6.84,1.6458
homes,1,6.62,1.2436
destroyed,1,2.04,1.3395
hopes,1,7.0,1.5518
rise,3,6.36,1.5618
relatives,1,6.6,1.8626
signs,1,5.54,0.8621
progress,2,7.26,1.1572
resume,1,5.68,1.2848
describes,2,5.76,1.0797
physical,1,5.88,1.2229
dire,1,3.55,1.9902
elections,4,4.48,1.5285
politicians,1,3.34,1.1359
trade,1,6.18,1.0039
deaths,1,1.64,1.1386
sides,1,5.04,1.1773
kate,1,5.48,1.4741
privacy,1,5.88,2.1537
authorities,1,4.38,1.1586
field,1,5.88,1.1891
grounds,1,5.68,1.2362
support,2,6.44,1.4309
measures,1,5.04,1.2447
prevent,1,5.16,1.7998
ordered,1,4.96,1.428
member,4,5.94,1.1141
group,1,5.92,1.2095
lawyer,1,3.84,1.4194
conduct,1,5.14,1.325
criminal,1,1.98,1.2696
mourn,1,2.72,1.8848
protest,1,3.56,1.4591
leave,2,4.52,1.3285
cause,1,5.22,1.0554
wife,2,6.62,1.8058
makes,1,5.56,1.248
dramatic,1,5.26,1.9146
appearance,1,5.8,1.4846
came,2,5.42,1.4155
requests,1,5.1,1.0546
hospital,1,3.5,1.6194
amid,5,5.08,1.14
pulled,1,4.76,1.1528
department,8,5.26,1.1031
civilian,3,5.64,1.5354
harm,2,2.54,1.4458
study,1,6.12,1.6243
pentagon,1,5.02,1.6098
expert,1,6.64,1.3211
sex,1,7.44,1.6801
maureen,1,5.34,0.7982
dies,1,2.08,1.5628
delayed,1,3.24,1.1877
rising,1,6.54,1.1104
crime,1,2.2,1.2617
travel,1,7.18,1.4241
jordan,1,5.44,1.7515
great,1,7.88,1.2061
seeking,1,5.6,1.1429
outlets,1,6.06,1.0382
cheer,1,7.46,1.6807
threats,1,2.88,1.7687
plays,1,6.72,1.5784
distant,1,4.02,1.5342
high,1,6.64,1.2081
orders,1,4.24,1.4786
explain,1,5.46,1.3433
medical,1,4.72,1.6041
seen,1,5.4,1.1952
turns,1,5.2,0.9035
mexican,1,5.4,1.5253
zone,1,5.32,0.9781
serve,1,5.46,1.3126
explosion,1,2.94,1.596
key,1,5.82,1.0631
german,3,5.34,1.394
planning,1,6.16,1.4619
muslim,1,4.64,1.6995
capital,1,5.92,1.2428
saudi,1,4.58,1.4299
crown,1,6.62,1.4693
ties,3,5.24,1.4507
indian,1,6.26,1.7706
locked,1,3.7,1.2657
bloody,1,2.94,1.6953
conflict,1,3.1,1.5286
months,1,5.16,0.8657
east,3,5.82,1.2887
germans,1,5.84,1.7998
lean,1,5.53,1.4304
visit,1,6.54,1.1988
arrest,1,2.42,1.4859
prosecutor,1,4.06,1.6587
link,1,5.78,1.1119
suspected,1,3.52,1.1648
festival,1,7.7,1.0738
latest,1,6.06,1.3614
country,1,6.28,1.7148
recognize,6,6.08,1.4119
crowds,1,4.46,1.8975
supreme,1,6.64,1.3365
ireland,2,5.98,1.3626
mean,1,3.68,1.9213
history,1,5.84,1.5032
troubles,1,3.42,2.1485
recognition,5,6.54,1.1817
carries,1,5.46,1.2324
significance,1,6.08,1.2721
france,1,6.32,1.3768
protests,1,4.24,1.6358
gains,1,6.82,1.4803
lost,1,2.76,1.3933
secretary,3,5.42,1.3107
suggest,1,5.52,1.2329
ways,1,5.3,1.165
bid,2,5.26,1.192
vote,1,5.8,1.5779
effort,1,5.86,1.6289
secure,1,6.92,1.2911
affect,1,4.92,1.4405
build,1,6.22,1.0746
focus,1,6.12,1.0622
different,1,5.38,1.2436
narrative,1,6.16,1.241
communist,1,4.32,1.7431
party,1,7.58,1.4581
union,2,6.04,1.3991
increase,1,6.56,1.1095
lady,1,6.6,1.4569
invitation,1,6.98,1.3323
address,1,5.6,1.0498
funeral,1,2.1,1.5551
faith,1,7.08,1.4405
scope,1,5.71,1.4136
law,1,4.9,1.5551
international,1,6.56,1.2643
plan,1,6.14,1.2779
government,1,4.64,1.6383
sentenced,1,3.7,1.6568
years,1,5.28,1.4714
secrets,1,5.28,1.8187
signals,1,5.42,1.1445
sooner,1,6.24,1.3933
opposition,1,3.48,1.2329
despite,1,4.48,1.3438
pressure,1,3.66,1.5467
violent,1,2.06,1.3463
depend,2,5.24,1.3933
steps,2,5.38,1.1229
include,1,5.94,1.2022
path,1,5.82,1.1551
offers,1,6.48,1.555
information,1,6.48,1.0544
financial,1,5.42,1.7853
begins,1,5.94,1.1502
