pub_date,headline,happs_score
2017-12-28,Islamic State Claims Deadly Blast at Afghan Shiite Center,4.5685714285714285
2017-12-10,Australia Diary: Claim Your Onions,5.726666666666667
2017-11-30,"Venezuela Arrests 2 Former Oil Officials, Claiming Corruption",3.5650000000000004
2017-11-25,A Defiant Map-Hunter Stakes Vietnam’s Claims in the South China Sea,5.465
2017-11-12,"Lebanon’s Leader, Still in Saudi Arabia, Claims He’s Free to Go",5.488571428571428
2017-11-12,Vast Indigenous Land Claims in Canada Encompass Parliament Hill,5.568571428571429
2017-11-03,"Afghanistan Acts to Ban WhatsApp, but Claims Move Is Temporary",4.56
2017-10-30,Sexual Harassment Claims Surface in U.K. Parliament,5.344
2017-10-05,Vatican Shines Light on Child Abuse as Claims Against Priests Persist,5.281111111111111
2017-10-05,Iraq Claims Victory in ISIS’ Last Urban Stronghold,5.28
2017-09-22,Tony Abbott Claims Head-Butt by Australian Gay-Marriage Supporter,5.647999999999999
2017-09-10,"Indonesia, Long on Sidelines, Starts to Confront China’s Territorial Claims",5.192
2017-09-03,North Korea Claims to Have Developed a Missile-Ready Hydrogen Bomb,5.063333333333334
2017-09-02,Give Up Prosecco to Save Your Teeth? British Claim Riles Italy,5.852499999999999
2017-08-25,ISIS Claims Deadly Attack on Shiite Mosque in Afghanistan,4.109999999999999
2017-08-20,Quiet Epidemic of Suicide Claims France’s Farmers,4.5600000000000005
2017-08-16,Zimbabwe’s First Lady Said to Seek Diplomatic Immunity Over Assault Claim,5.32
2017-08-14,"Barnaby Joyce, Australia’s No. 2, Can Claim New Zealand Citizenship. Too Bad for Him.",5.116666666666666
2017-08-13,ISIS Claims Suicide Bombing That Killed at Least 15 in Pakistan,3.677777777777778
2017-08-10,Kenyan Election Tensions Rise as Opposition Claims Fraud,4.274285714285714
2017-07-27,China and India File Rival Claims Over Tibetan Medicine,5.069999999999999
2017-06-27,Tycoon’s Claims Reverberate in China Despite Censorship and Thin Evidence,5.242857142857143
2017-06-11,Emmanuel Macron’s Party on Track to Claim Majority in France’s Parliament,5.602500000000001
2017-05-25,U.S. Warship Sails Near Island Claimed by Beijing in South China Sea,5.85
