pub_date,headline,happs_score
2018-12-29,Chinese Scientist Who Claimed to Make Genetically Edited Babies Is Kept Under Guard,5.530000000000001
2018-12-28,Human Rights Advocate Under Fire in Case of Arab Princess Who Claimed Abduction,5.318333333333333
2018-12-22,Finnish Lawmaker Accused of Claiming Sauna as His 2nd Home,5.11
2018-12-20,U.S. Will Send Migrants Back to Mexico as They Wait on Asylum Claims,5.226
2018-12-12,Hong Kong Won’t Prosecute Ex-Leader Over Claims of Conflict of Interest,4.8975
2018-12-10,"Australia’s Migrant Camps Are ‘Crime Against Humanity,’ Lawsuit Claims",4.359999999999999
2018-11-20,"Macedonian Ex-Leader, Facing Prison, Claims to Receive Asylum in Hungary",5.392
2018-11-19,Pakistan Angered by Trump’s Claim That It Does ‘Nothing’ for U.S.,4.928571428571429
2018-11-05,Singapore’s Claim as a Street-Food Hub Riles Malaysians,5.213333333333333
2018-10-20,"Did Democrats, or George Soros, Fund Migrant Caravan? Despite Republican Claims, No",4.891428571428571
2018-10-08,Serb Nationalist Claims Victory in Bosnia in Early Vote Count,5.682499999999999
2018-10-06,"Con Man Claimed to ‘Cure’ Childless Women. Blackmail Followed, Then Bodies.",5.064000000000001
2018-10-01,"Spy Poisoned in Britain Fed MI6 Agents Secrets on a Putin Ally, New Book Claims",5.5600000000000005
2018-09-30,Both Sides Claim Victory in Macedonia’s Vote on Changing Its Name,5.746
2018-09-28,Doubts Mount in Botswana Over Charity’s Claim of Elephant ‘Poaching Frenzy’,4.88
2018-09-27,Israeli Leader Claims Iran Has ‘Secret Atomic Warehouse’,5.001666666666666
2018-08-31,She Gambled on Her Claim to Link Russians and Trump. She Is Losing.,5.529999999999999
2018-08-23,Trump Cites False Claims of Widespread Attacks on White Farmers in South Africa,5.041666666666666
2018-08-20,Police Are Attacked in Chechnya; ISIS Claims Responsibility,4.699999999999999
2018-07-17,American-Russian Relations in Syria? Less Rosy Than Trump and Putin Claim,5.191428571428572
2018-06-22,Fact Check: Is There Truth to Trump’s Bold Claims About North Korean Denuclearization?,5.5120000000000005
2018-06-18,Fact Check: Trump’s False and Misleading Claims About Germany’s Crime and Immigration,4.6
2018-06-17,"Claiming ‘Parallel State’ Cabal, Romania’s Leaders Target Anti-Corruption Prosecutor",5.1000000000000005
2018-05-25,Cables Contain Claims Former Colombian Leader Is Tied to Drug Traffickers,4.885
2018-05-22,Can Trump Still Claim Victory if Kim Jong-un Keeps His Nuclear Arms?,5.382
2018-05-21,Italy’s Populists Offer Giuseppe Conte for Prime Minister; N.Y.U. Claim in Question,5.66
2018-05-20,Island or Rock? Taiwan Defends Its Claim in South China Sea,5.695555555555555
2018-05-15,"Taliban Claim They’ve Taken Control of Western Afghan City, Farah",5.176
2018-05-09,Australia’s Dual-Citizenship Contagion Claims 5 More Politicians,4.766666666666667
2018-04-06,Sexual Misconduct Claim Spurs Nobel Members to Step Aside in Protest,5.1450000000000005
2018-04-06,Escort Who Claims to Have Russian Secrets Faces New Charges in Thailand,5.3839999999999995
2018-04-03,South Africa Says Australia Retracted Claim of ‘Persecuted’ White Farmers,5.73
2018-03-25,Saudis Claim to Intercept 7 Missiles Fired at Cities From Yemen,4.42
2018-03-16,Romanian Court Rejects Man’s Claim That He’s Alive,5.27
2018-03-15,"Trump Says He Made Up Deficit Claim in Talk with Trudeau, Baffling Canadians",5.364
2018-03-14,New Zealand to Investigate Decade-Old Poisoning Claim,5.52
2018-03-13,New Zealand Party Is Faulted After Sex-Assault Claims at Youth Camp,5.894999999999999
2018-03-09,"Turkey Sentences 24 Journalists to Prison, Claiming Terrorism Ties",4.7749999999999995
2018-02-18,ISIS Claims Deadly Attack on Church in Russian Region of Dagestan,4.686666666666666
2018-01-18,ISIS Claims Responsibility for Baghdad Bombings,4.82
2018-01-13,ISIS Affiliate Claims October Attack on U.S. Troops in Niger,4.9885714285714275
2018-01-11,"Pressed on False Claims About Muslims, U.S. Ambassador Goes Silent",4.925
2018-01-10,"In Rural Nepal, Menstruation Taboo Claims Another Victim",4.715999999999999
2018-01-07,Rohingya Militants in Myanmar Claim Responsibility for Attack,4.808
2018-12-20,"Kurdish Fighters Discuss Releasing Almost 3,200 ISIS Prisoners",4.366666666666666
2018-12-17,"Taliban Appear Ready to Discuss Peace Talks, Except With Afghan Officials",5.8
2018-11-11,Saudis Close to Crown Prince Discussed Killing Other Enemies a Year Before Khashoggi’s Death,4.581666666666667
2018-10-17,Mike Pompeo Meets Turkish President to Discuss Saudi Journalist’s Fate,5.375
2018-09-08,Trump Administration Discussed Coup Plans With Rebel Venezuelan Officers,5.282857142857142
2018-08-09,North and South Korea to Discuss Plans for a 3rd Summit,5.483636363636364
2018-07-12,North Koreans Are No-Shows at Meeting to Discuss U.S. Soldiers’ Remains,5.2
2018-05-18,U.S. and South Korea to Discuss North’s ‘Bright Future’,5.532
2018-04-29,Pompeo and Palestinians Have ‘Nothing to Discuss’ Amid Gaza Crisis,4.645714285714286
2018-04-18,"Treaty to Formally End Korean War Is Being Discussed, South Confirms",5.0024999999999995
2018-03-08,"Too Much Tech and Secrecy, Not Enough Leadership. Discuss.",5.286666666666666
2018-01-13,Olympics Officials Discuss a Potential First: A Unified Korean Hockey Team,5.784444444444444
2018-01-06,The U.S. Wanted to Discuss Iran. Russia Brought Up Black Lives Matter.,5.515555555555555
2018-12-22,Corruption in South Africa: A Guide to Our Recent Reporting,5.20888888888889
2018-12-07,"U.N. AIDS Agency Is in ‘State of Crisis’ and Needs New Leader, Report Says",5.2219999999999995
2018-11-27,"Most Dangerous Place for Women Is the Home, U.N. Report Finds",5.268888888888888
2018-11-22,"U.K.’s Homelessness Problem Is Growing, and Spreading, Report Finds",4.816000000000001
2018-11-05,Cameroon School Kidnappings Are Reported Amid Secession Battle,4.92
2018-10-31,War in Yemen: New York Times Reports Driving the Conversation,5.302222222222223
